time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;
0;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.001;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.003;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.007;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.015;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.031;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.063;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.127;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.255;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.511;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
1.023;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
2.047;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
4.095;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
8.191;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
16.383;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
26.383;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
36.383;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
46.383;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
56.383;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
66.383;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
76.383;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
86.383;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
96.383;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
100;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
