time;NETWORK_B1_U_value;NETWORK_B2_U_value;NETWORK_B5_U_value;
0.000000;139.968941;137.775852;133.384980;
1.000000;139.960068;137.766177;133.372715;
1.000000;139.960061;137.766169;133.372708;
2.000000;139.950468;137.754719;133.362909;
3.000000;139.947273;137.749506;133.360056;
3.000000;139.947278;137.749512;133.360061;
4.000000;139.946112;137.747446;133.359120;
5.000000;139.945528;137.746683;133.358806;
6.000000;139.945225;137.746411;133.358728;
7.000000;139.945037;137.746278;133.358696;
8.000000;139.945037;137.746278;133.358696;
9.000000;139.945037;137.746278;133.358696;
10.000000;139.945037;137.746278;133.358696;
11.000000;139.945037;137.746278;133.358696;
12.000000;139.945037;137.746278;133.358696;
13.000000;139.945037;137.746278;133.358696;
14.000000;139.945037;137.746278;133.358696;
15.000000;139.945037;137.746278;133.358696;
16.000000;139.945037;137.746278;133.358696;
17.000000;139.945037;137.746278;133.358696;
18.000000;139.945037;137.746278;133.358696;
19.000000;139.945037;137.746278;133.358696;
20.000000;139.945037;137.746278;133.358696;
21.000000;139.945037;137.746278;133.358696;
22.000000;139.945037;137.746278;133.358696;
23.000000;139.945037;137.746278;133.358696;
24.000000;139.945037;137.746278;133.358696;
25.000000;139.945037;137.746278;133.358696;
26.000000;139.945037;137.746278;133.358696;
27.000000;139.945037;137.746278;133.358696;
28.000000;139.945037;137.746278;133.358696;
29.000000;139.945037;137.746278;133.358696;
30.000000;139.945037;137.746278;133.358696;
31.000000;139.945037;137.746278;133.358696;
32.000000;139.945037;137.746278;133.358696;
33.000000;139.945037;137.746278;133.358696;
34.000000;139.945037;137.746278;133.358696;
35.000000;139.945037;137.746278;133.358696;
36.000000;139.945037;137.746278;133.358696;
37.000000;139.945037;137.746278;133.358696;
38.000000;139.945037;137.746278;133.358696;
39.000000;139.945037;137.746278;133.358696;
40.000000;139.945037;137.746278;133.358696;
41.000000;139.945037;137.746278;133.358696;
42.000000;139.945037;137.746278;133.358696;
43.000000;139.945037;137.746278;133.358696;
44.000000;139.945037;137.746278;133.358696;
45.000000;139.945037;137.746278;133.358696;
46.000000;139.945037;137.746278;133.358696;
47.000000;139.945037;137.746278;133.358696;
48.000000;139.945037;137.746278;133.358696;
49.000000;139.945037;137.746278;133.358696;
50.000000;139.945037;137.746278;133.358696;
50.000000;139.052215;134.721662;132.967003;
51.000000;139.203162;134.884427;133.022535;
51.000000;139.203162;134.884427;133.022535;
52.000000;139.332016;134.989819;133.077960;
53.000000;139.383901;135.026749;133.098369;
54.000000;139.403327;135.040165;133.104900;
55.000000;139.411724;135.046174;133.107218;
56.000000;139.415670;135.049092;133.108197;
57.000000;139.417771;135.050668;133.108721;
58.000000;139.419029;135.051622;133.109051;
59.000000;139.419839;135.052244;133.109275;
60.000000;139.420381;135.052665;133.109432;
60.000000;139.404091;135.006237;133.077650;
61.000000;139.407308;135.004218;133.075381;
62.000000;139.410023;135.006960;133.078697;
63.000000;139.410497;135.008041;133.080595;
64.000000;139.410402;135.008240;133.081238;
65.000000;139.410266;135.008239;133.081429;
66.000000;139.410179;135.008226;133.081503;
67.000000;139.410138;135.008225;133.081544;
68.000000;139.410126;135.008235;133.081571;
69.000000;139.410130;135.008248;133.081590;
70.000000;139.410139;135.008262;133.081604;
70.000000;139.400015;134.978225;133.075423;
71.000000;139.401940;134.979720;133.076929;
72.000000;139.403563;134.981438;133.077934;
73.000000;139.404017;134.982013;133.078213;
74.000000;139.404101;134.982157;133.078282;
75.000000;139.404104;134.982189;133.078302;
76.000000;139.404097;134.982197;133.078312;
77.000000;139.404093;134.982201;133.078319;
78.000000;139.404093;134.982206;133.078324;
79.000000;139.404093;134.982206;133.078324;
80.000000;139.404093;134.982206;133.078324;
80.000000;139.391934;134.941847;133.073062;
81.000000;139.394217;134.944243;133.073965;
82.000000;139.395805;134.945556;133.074608;
83.000000;139.396441;134.946009;133.074847;
84.000000;139.396706;134.946191;133.074930;
85.000000;139.396822;134.946273;133.074959;
86.000000;139.396877;134.946314;133.074972;
87.000000;139.396907;134.946336;133.074979;
88.000000;139.396907;134.946336;133.074979;
89.000000;139.396907;134.946336;133.074979;
90.000000;139.396907;134.946336;133.074979;
90.000000;139.391219;134.927020;133.072493;
91.000000;139.392313;134.928177;133.072918;
92.000000;139.393060;134.928794;133.073220;
93.000000;139.393363;134.929009;133.073333;
94.000000;139.393491;134.929096;133.073373;
95.000000;139.393548;134.929136;133.073388;
96.000000;139.393548;134.929136;133.073388;
97.000000;139.393548;134.929136;133.073388;
98.000000;139.393548;134.929136;133.073388;
99.000000;139.393548;134.929136;133.073388;
100.000000;139.393548;134.929136;133.073388;
100.000000;139.391609;134.924482;133.071673;
101.000000;139.392272;134.925153;133.072374;
102.000000;139.392680;134.925796;133.072710;
103.000000;139.392719;134.925978;133.072783;
104.000000;139.392682;134.926005;133.072795;
105.000000;139.392648;134.926000;133.072797;
106.000000;139.392626;134.925992;133.072797;
107.000000;139.392626;134.925992;133.072797;
108.000000;139.392626;134.925992;133.072797;
109.000000;139.392626;134.925992;133.072797;
110.000000;139.392626;134.925992;133.072797;
110.000000;139.392490;134.925674;133.072687;
111.000000;139.392502;134.925669;133.072711;
112.000000;139.392502;134.925669;133.072711;
113.000000;139.392502;134.925669;133.072711;
114.000000;139.392502;134.925669;133.072711;
115.000000;139.392502;134.925669;133.072711;
116.000000;139.392502;134.925669;133.072711;
117.000000;139.392502;134.925669;133.072711;
118.000000;139.392502;134.925669;133.072711;
119.000000;139.392502;134.925669;133.072711;
120.000000;139.392502;134.925669;133.072711;
121.000000;139.392502;134.925669;133.072711;
122.000000;139.392502;134.925669;133.072711;
123.000000;139.392502;134.925669;133.072711;
124.000000;139.392502;134.925669;133.072711;
125.000000;139.392502;134.925669;133.072711;
126.000000;139.392502;134.925669;133.072711;
127.000000;139.392502;134.925669;133.072711;
128.000000;139.392502;134.925669;133.072711;
129.000000;139.392502;134.925669;133.072711;
130.000000;139.392502;134.925669;133.072711;
131.000000;139.392502;134.925669;133.072711;
132.000000;139.392502;134.925669;133.072711;
133.000000;139.392502;134.925669;133.072711;
134.000000;139.392502;134.925669;133.072711;
135.000000;139.392502;134.925669;133.072711;
136.000000;139.392502;134.925669;133.072711;
137.000000;139.392502;134.925669;133.072711;
138.000000;139.392502;134.925669;133.072711;
139.000000;139.392502;134.925669;133.072711;
140.000000;139.392502;134.925669;133.072711;
140.000000;139.398844;134.947106;133.075519;
141.000000;139.397684;134.945914;133.075065;
142.000000;139.396850;134.945234;133.074727;
143.000000;139.396511;134.944995;133.074601;
144.000000;139.396369;134.944900;133.074559;
145.000000;139.396369;134.944900;133.074559;
146.000000;139.396369;134.944900;133.074559;
147.000000;139.396369;134.944900;133.074559;
148.000000;139.396369;134.944900;133.074559;
149.000000;139.396369;134.944900;133.074559;
150.000000;139.396369;134.944900;133.074559;
150.000000;139.402653;134.966142;133.077329;
151.000000;139.401418;134.964885;133.076851;
152.000000;139.400563;134.964185;133.076507;
153.000000;139.400216;134.963938;133.076379;
154.000000;139.400069;134.963837;133.076334;
155.000000;139.400003;134.963791;133.076318;
156.000000;139.400003;134.963791;133.076318;
157.000000;139.400003;134.963791;133.076318;
158.000000;139.400003;134.963791;133.076318;
159.000000;139.400003;134.963791;133.076318;
160.000000;139.400003;134.963791;133.076318;
160.000000;139.402188;134.969023;133.078271;
161.000000;139.401446;134.968243;133.077499;
162.000000;139.400981;134.967510;133.077113;
163.000000;139.400925;134.967299;133.077026;
164.000000;139.400958;134.967264;133.077010;
165.000000;139.400992;134.967267;133.077009;
166.000000;139.401014;134.967274;133.077008;
167.000000;139.401014;134.967274;133.077008;
168.000000;139.401014;134.967274;133.077008;
169.000000;139.401014;134.967274;133.077008;
170.000000;139.401014;134.967274;133.077008;
171.000000;139.401014;134.967274;133.077008;
172.000000;139.401014;134.967274;133.077008;
173.000000;139.401014;134.967274;133.077008;
174.000000;139.401014;134.967274;133.077008;
175.000000;139.401014;134.967274;133.077008;
176.000000;139.401014;134.967274;133.077008;
177.000000;139.401014;134.967274;133.077008;
178.000000;139.401014;134.967274;133.077008;
179.000000;139.401014;134.967274;133.077008;
180.000000;139.401014;134.967274;133.077008;
181.000000;139.401014;134.967274;133.077008;
182.000000;139.401014;134.967274;133.077008;
183.000000;139.401014;134.967274;133.077008;
184.000000;139.401014;134.967274;133.077008;
185.000000;139.401014;134.967274;133.077008;
186.000000;139.401014;134.967274;133.077008;
187.000000;139.401014;134.967274;133.077008;
188.000000;139.401014;134.967274;133.077008;
189.000000;139.401014;134.967274;133.077008;
190.000000;139.401014;134.967274;133.077008;
191.000000;139.401014;134.967274;133.077008;
192.000000;139.401014;134.967274;133.077008;
193.000000;139.401014;134.967274;133.077008;
194.000000;139.401014;134.967274;133.077008;
195.000000;139.401014;134.967274;133.077008;
196.000000;139.401014;134.967274;133.077008;
197.000000;139.401014;134.967274;133.077008;
198.000000;139.401014;134.967274;133.077008;
199.000000;139.401014;134.967274;133.077008;
200.000000;139.401014;134.967274;133.077008;
201.000000;139.401014;134.967274;133.077008;
202.000000;139.401014;134.967274;133.077008;
203.000000;139.401014;134.967274;133.077008;
204.000000;139.401014;134.967274;133.077008;
205.000000;139.401014;134.967274;133.077008;
206.000000;139.401014;134.967274;133.077008;
207.000000;139.401014;134.967274;133.077008;
208.000000;139.401014;134.967274;133.077008;
209.000000;139.401014;134.967274;133.077008;
210.000000;139.401014;134.967274;133.077008;
211.000000;139.401014;134.967274;133.077008;
212.000000;139.401014;134.967274;133.077008;
213.000000;139.401014;134.967274;133.077008;
214.000000;139.401014;134.967274;133.077008;
215.000000;139.401014;134.967274;133.077008;
216.000000;139.401014;134.967274;133.077008;
217.000000;139.401014;134.967274;133.077008;
218.000000;139.401014;134.967274;133.077008;
219.000000;139.401014;134.967274;133.077008;
220.000000;139.401014;134.967274;133.077008;
221.000000;139.401014;134.967274;133.077008;
222.000000;139.401014;134.967274;133.077008;
223.000000;139.401014;134.967274;133.077008;
224.000000;139.401014;134.967274;133.077008;
225.000000;139.401014;134.967274;133.077008;
226.000000;139.401014;134.967274;133.077008;
227.000000;139.401014;134.967274;133.077008;
228.000000;139.401014;134.967274;133.077008;
229.000000;139.401014;134.967274;133.077008;
230.000000;139.401014;134.967274;133.077008;
231.000000;139.401014;134.967274;133.077008;
232.000000;139.401014;134.967274;133.077008;
233.000000;139.401014;134.967274;133.077008;
234.000000;139.401014;134.967274;133.077008;
235.000000;139.401014;134.967274;133.077008;
236.000000;139.401014;134.967274;133.077008;
237.000000;139.401014;134.967274;133.077008;
238.000000;139.401014;134.967274;133.077008;
239.000000;139.401014;134.967274;133.077008;
240.000000;139.401014;134.967274;133.077008;
241.000000;139.401014;134.967274;133.077008;
242.000000;139.401014;134.967274;133.077008;
243.000000;139.401014;134.967274;133.077008;
244.000000;139.401014;134.967274;133.077008;
245.000000;139.401014;134.967274;133.077008;
246.000000;139.401014;134.967274;133.077008;
247.000000;139.401014;134.967274;133.077008;
248.000000;139.401014;134.967274;133.077008;
249.000000;139.401014;134.967274;133.077008;
250.000000;139.401014;134.967274;133.077008;
251.000000;139.401014;134.967274;133.077008;
252.000000;139.401014;134.967274;133.077008;
253.000000;139.401014;134.967274;133.077008;
254.000000;139.401014;134.967274;133.077008;
255.000000;139.401014;134.967274;133.077008;
256.000000;139.401014;134.967274;133.077008;
257.000000;139.401014;134.967274;133.077008;
258.000000;139.401014;134.967274;133.077008;
259.000000;139.401014;134.967274;133.077008;
260.000000;139.401014;134.967274;133.077008;
261.000000;139.401014;134.967274;133.077008;
262.000000;139.401014;134.967274;133.077008;
263.000000;139.401014;134.967274;133.077008;
264.000000;139.401014;134.967274;133.077008;
265.000000;139.401014;134.967274;133.077008;
266.000000;139.401014;134.967274;133.077008;
267.000000;139.401014;134.967274;133.077008;
268.000000;139.401014;134.967274;133.077008;
269.000000;139.401014;134.967274;133.077008;
