time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_U_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;_LOAD___2_EC_load_PPu;_LOAD___2_EC_load_QPu;_LOAD___2_EC_load_UPu;_LOAD___2_EC_transformer_U1Pu;_LOAD___2_EC_transformer_U2Pu;_LOAD___2_EC_transformer_tap;_LOAD___3_EC_load_PPu;_LOAD___3_EC_load_QPu;_LOAD___3_EC_load_UPu;_LOAD___3_EC_transformer_U1Pu;_LOAD___3_EC_transformer_U2Pu;_LOAD___3_EC_transformer_tap;TAP_CHANGER_LOAD_2_tapChanger_valueMin;TAP_CHANGER_LOAD_2_tapChanger_valueMax;TAP_CHANGER_LOAD_3_tapChanger_valueMin;TAP_CHANGER_LOAD_3_tapChanger_valueMax;TAP_CHANGER_LOAD_2_tapChanger_tap_value;TAP_CHANGER_LOAD_3_tapChanger_tap_value;TAP_CHANGER_LOCK_tapChangerLock_lockedD;TAP_CHANGER_LOCK_tapChangerLock_lockedT;TAP_CHANGER_LOCK_tapChangerLock_UMin;TAP_CHANGER_LOCK_tapChangerLock_state;
0.000000;1.059970;1.045041;69.690050;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329585;40.126174;-0.074831;0.005609;-0.006407;-16.691106;43.675449;25.065943;12.802791;17.569940;0.216990;0.120839;1.001391;1.045041;1.001391;7.000000;0.942001;0.127198;0.999048;1.010001;0.999048;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000001;1.059970;1.045041;69.690050;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329576;40.126184;-0.074839;0.005630;-0.006410;-16.691128;43.675445;25.065932;12.802836;17.569931;0.216990;0.120839;1.001391;1.045041;1.001391;7.000000;0.942001;0.127198;0.999048;1.010001;0.999048;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000002;1.059970;1.045041;69.690050;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329577;40.126183;-0.074839;0.005629;-0.006410;-16.691127;43.675444;25.065932;12.802836;17.569931;0.216990;0.120839;1.001391;1.045041;1.001391;7.000000;0.942001;0.127198;0.999048;1.010001;0.999048;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000004;1.059970;1.045041;69.690050;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329578;40.126182;-0.074838;0.005628;-0.006410;-16.691125;43.675444;25.065933;12.802833;17.569932;0.216990;0.120839;1.001391;1.045041;1.001391;7.000000;0.942001;0.127198;0.999048;1.010001;0.999048;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000008;1.059970;1.045041;69.690050;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329579;40.126180;-0.074838;0.005629;-0.006410;-16.691125;43.675443;25.065932;12.802835;17.569931;0.216990;0.120839;1.001391;1.045041;1.001391;7.000000;0.942001;0.127198;0.999048;1.010001;0.999048;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000016;1.059970;1.045041;69.690050;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329581;40.126176;-0.074837;0.005628;-0.006409;-16.691121;43.675440;25.065933;12.802833;17.569932;0.216990;0.120839;1.001391;1.045041;1.001391;7.000000;0.942001;0.127198;0.999048;1.010001;0.999048;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000032;1.059970;1.045041;69.690050;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329587;40.126168;-0.074834;0.005627;-0.006409;-16.691114;43.675436;25.065933;12.802829;17.569932;0.216990;0.120839;1.001391;1.045041;1.001391;7.000000;0.942001;0.127198;0.999048;1.010001;0.999048;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000064;1.059970;1.045041;69.690050;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329598;40.126152;-0.074828;0.005624;-0.006409;-16.691099;43.675427;25.065934;12.802822;17.569933;0.216990;0.120839;1.001391;1.045041;1.001391;7.000000;0.942001;0.127198;0.999048;1.010001;0.999048;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000128;1.059970;1.045041;69.690050;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329621;40.126120;-0.074818;0.005619;-0.006408;-16.691071;43.675409;25.065935;12.802807;17.569936;0.216990;0.120839;1.001391;1.045041;1.001391;7.000000;0.942001;0.127198;0.999048;1.010001;0.999048;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
0.000256;1.059970;1.045041;69.690050;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329666;40.126056;-0.074796;0.005608;-0.006405;-16.691013;43.675372;25.065938;12.802778;17.569940;0.216990;0.120839;1.001391;1.045041;1.001391;7.000000;0.942001;0.127198;0.999048;1.010001;0.999048;10.000000;0.990000;1.010000;0.990000;1.010000;7.000000;10.000000;-1.000000;-1.000000;68.240000;1.000000;
