time;NETWORK__BUS____7-BUS___10-2_AC_iSide2;HVDC_hvdc_P1Pu;
0.000000;1377.507479;11.955000;
0.000001;1377.507481;11.955000;
0.000003;1377.507481;11.955000;
0.000007;1377.507480;11.955000;
0.000015;1377.507478;11.955000;
0.000031;1377.507475;11.955000;
0.000063;1377.507468;11.955000;
0.000127;1377.507455;11.955001;
0.000255;1377.507428;11.955002;
0.000511;1377.507375;11.955003;
0.001023;1377.507267;11.955006;
0.002047;1377.507053;11.955013;
0.004095;1377.506625;11.955026;
0.008191;1377.505769;11.955052;
0.016383;1377.504058;11.955104;
0.032767;1377.500643;11.955208;
0.065535;1377.493839;11.955414;
0.131071;1377.480334;11.955824;
0.262143;1377.453730;11.956632;
0.524287;1377.402097;11.958200;
1.048575;1377.304766;11.961155;
2.097151;1377.131269;11.966423;
4.194303;1376.852330;11.974892;
8.388607;1376.477398;11.986276;
16.777215;1376.097891;11.997799;
24.999995;1375.925933;12.003020;
26.777215;1375.888767;12.004148;
29.999994;1375.857574;12.005096;
29.999994;1375.857574;12.005096;
29.999995;1685.616835;12.005096;
29.999997;1685.616682;12.005098;
30.000001;1685.616378;12.005101;
30.000009;1685.615768;12.005107;
30.000025;1685.614550;12.005120;
30.000057;1685.612113;12.005145;
30.000121;1685.607239;12.005195;
30.000249;1685.597491;12.005295;
30.000505;1685.577997;12.005496;
30.001017;1685.539016;12.005896;
30.002041;1685.461074;12.006698;
30.004089;1685.305280;12.008299;
30.008185;1684.994048;12.011499;
30.016377;1684.373006;12.017884;
30.032761;1683.136581;12.030596;
30.065529;1680.686164;12.055789;
30.131065;1675.873444;12.105273;
30.262137;1666.587983;12.200752;
30.524281;1649.284000;12.378713;
31.048569;1619.095366;12.689275;
32.097145;1572.386976;13.170001;
33.145721;1536.253942;13.542091;
35.242873;1490.642731;14.011943;
37.340025;1461.856166;14.308618;
38.708395;1449.999670;14.430855;
38.708462;1449.999090;14.430861;
38.708462;1449.999090;14.430861;
38.708462;1449.999090;14.430861;
39.437177;1443.685163;14.495958;
43.631481;1426.916059;14.668835;
47.825785;1419.179875;14.748604;
49.999990;1417.977372;14.761006;
56.214393;1414.540352;14.796455;
66.214393;1413.073124;14.811586;
76.214393;1412.728187;14.815142;
86.214393;1412.606616;14.816397;
96.214393;1412.569750;14.816777;
106.214393;1412.557996;14.816898;
116.214393;1412.554306;14.816936;
126.214393;1412.553145;14.816948;
136.214393;1412.552778;14.816952;
146.214393;1412.552663;14.816953;
149.999970;1412.552650;14.816954;
156.214393;1412.552627;14.816954;
166.214393;1412.552616;14.816954;
176.214393;1412.552612;14.816954;
186.214393;1412.552611;14.816954;
196.214393;1412.552611;14.816954;
206.214393;1412.552610;14.816954;
216.214393;1412.552610;14.816954;
226.214393;1412.552610;14.816954;
236.214393;1412.552610;14.816954;
246.214393;1412.552610;14.816954;
256.214393;1412.552610;14.816954;
266.214393;1412.552610;14.816954;
276.214393;1412.552610;14.816954;
286.214393;1412.552610;14.816954;
296.214393;1412.552610;14.816954;
300.000000;1412.552610;14.816954;
