time;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;
0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000001;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000002;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000004;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000008;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000016;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000032;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000064;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000128;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000256;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000512;1.000000;1.000000;1.000000;1.000000;1.000000;
0.001024;1.000000;1.000000;1.000000;1.000000;1.000000;
0.002048;1.000000;1.000000;1.000000;1.000000;1.000000;
0.004096;1.000000;1.000000;1.000000;1.000000;1.000000;
0.008192;1.000000;1.000000;1.000000;1.000000;1.000000;
0.016384;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027047;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027047;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027048;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027049;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027051;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027055;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027063;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027079;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027111;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027175;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027303;1.000000;1.000000;1.000000;1.000000;1.000000;
0.027559;1.000000;1.000000;1.000000;1.000000;1.000000;
0.028071;1.000000;1.000000;1.000000;1.000000;1.000000;
0.029095;1.000000;1.000000;1.000000;1.000000;1.000000;
0.030691;1.000000;1.000000;1.000000;1.000000;1.000000;
0.030691;1.000000;1.000000;1.000000;1.000000;1.000000;
0.030691;1.000000;1.000000;1.000000;1.000000;1.000000;
0.031143;1.000000;1.000000;1.000000;1.000000;1.000000;
0.035239;1.000000;1.000000;1.000000;1.000000;1.000000;
0.043431;1.000000;1.000000;1.000000;1.000000;1.000000;
0.052838;1.000000;1.000000;1.000000;1.000000;1.000000;
0.052838;1.000000;1.000000;1.000000;1.000000;1.000000;
0.052839;1.000000;1.000000;1.000000;1.000000;1.000000;
0.052840;1.000000;1.000000;1.000000;1.000000;1.000000;
0.052842;1.000000;1.000000;1.000000;1.000000;1.000000;
0.052846;1.000000;1.000000;1.000000;1.000000;1.000000;
0.052854;1.000000;1.000000;1.000000;1.000000;1.000000;
0.052870;1.000000;1.000000;1.000000;1.000000;1.000000;
0.052902;1.000000;1.000000;1.000000;1.000000;1.000000;
0.052966;1.000000;1.000000;1.000000;1.000000;1.000000;
0.053094;1.000000;1.000000;1.000000;1.000000;1.000000;
0.053350;1.000000;1.000000;1.000000;1.000000;1.000000;
0.053862;1.000000;1.000000;1.000000;1.000000;1.000000;
0.054886;1.000000;1.000000;1.000000;1.000000;1.000000;
0.056934;1.000000;1.000000;1.000000;1.000000;1.000000;
0.061030;1.000000;1.000000;1.000000;1.000000;1.000000;
0.069222;1.000000;0.999999;1.000000;1.000000;1.000000;
0.085606;1.000000;0.999999;1.000000;1.000000;1.000000;
0.118374;1.000000;0.999999;1.000000;0.999999;1.000000;
0.183910;1.000000;0.999999;1.000001;0.999999;1.000000;
0.249446;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279452;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279452;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279453;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279454;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279456;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279460;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279468;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279484;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279516;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279580;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279708;1.000000;0.999999;1.000001;0.999999;1.000000;
0.279964;1.000000;0.999999;1.000001;0.999999;1.000000;
0.280476;1.000000;0.999999;1.000001;0.999999;1.000000;
0.281500;1.000000;0.999999;1.000001;0.999999;1.000000;
0.283548;1.000000;0.999999;1.000001;0.999999;1.000000;
0.287644;1.000000;0.999999;1.000001;0.999999;1.000000;
0.295836;1.000000;0.999999;1.000001;0.999999;1.000000;
0.312220;1.000000;0.999999;1.000001;0.999999;1.000000;
0.332836;1.000000;0.999999;1.000001;1.000000;1.000000;
0.332836;1.000000;0.999999;1.000001;1.000000;1.000000;
0.332836;1.000000;0.999999;1.000001;1.000000;1.000000;
0.344988;1.000000;0.999999;1.000001;1.000000;1.000000;
0.410524;1.000000;0.999999;1.000001;1.000000;1.000000;
0.541596;1.000000;1.000000;1.000001;1.000000;1.000000;
0.672668;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763284;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763284;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763285;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763286;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763288;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763292;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763300;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763316;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763348;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763412;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763540;0.999999;1.000000;1.000000;1.000000;1.000000;
0.763796;0.999999;1.000000;1.000000;1.000000;1.000000;
0.764308;0.999999;1.000000;1.000000;1.000000;1.000000;
0.765332;0.999999;1.000000;1.000000;1.000000;1.000000;
0.767380;0.999999;1.000000;1.000000;1.000000;1.000000;
0.769949;1.000000;1.000000;1.000000;1.000000;1.000000;
0.769949;1.000000;1.000000;1.000000;1.000000;1.000000;
0.769949;1.000000;1.000000;1.000000;1.000000;1.000000;
0.771476;1.000000;1.000000;1.000000;1.000000;1.000000;
0.779668;1.000000;1.000000;1.000000;1.000000;1.000000;
0.796052;1.000000;1.000000;1.000000;1.000000;1.000000;
0.799483;1.000000;1.000000;1.000000;1.000000;1.000000;
0.799483;1.000000;1.000000;1.000000;1.000000;1.000000;
0.799483;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817148;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817148;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817149;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817150;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817152;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817156;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817164;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817180;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817212;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817276;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817404;1.000000;1.000000;1.000000;1.000000;1.000000;
0.817660;1.000000;1.000000;1.000000;1.000000;1.000000;
0.818172;1.000000;1.000000;1.000000;1.000000;1.000000;
0.819196;1.000000;1.000000;1.000000;1.000000;1.000000;
0.821244;1.000000;1.000000;1.000000;1.000000;1.000000;
0.825340;1.000000;1.000000;1.000000;1.000000;1.000000;
0.833532;1.000000;1.000000;1.000000;1.000000;1.000000;
0.849916;1.000000;1.000000;1.000000;1.000000;1.000000;
0.882684;1.000000;1.000000;1.000000;1.000000;1.000000;
0.948220;1.000000;1.000000;1.000000;1.000000;1.000000;
1.079292;1.000000;1.000000;1.000000;1.000000;1.000000;
1.210364;1.000001;1.000000;1.000000;1.000000;1.000000;
1.341436;1.000001;1.000000;1.000000;1.000000;1.000000;
1.400952;1.000001;1.000000;1.000000;1.000000;1.000000;
1.400952;1.000001;1.000000;1.000000;1.000000;1.000000;
1.400953;1.000001;1.000000;1.000000;1.000000;1.000000;
1.400954;1.000001;1.000000;1.000000;1.000000;1.000000;
1.400956;1.000001;1.000000;1.000000;1.000000;1.000000;
1.400960;1.000001;1.000000;1.000000;1.000000;1.000000;
1.400968;1.000001;1.000000;1.000000;1.000000;1.000000;
1.400984;1.000001;1.000000;1.000000;1.000000;1.000000;
1.401016;1.000001;1.000000;1.000000;1.000000;1.000000;
1.401080;1.000001;1.000000;1.000000;1.000000;1.000000;
1.401208;1.000001;1.000000;1.000000;1.000000;1.000000;
1.401464;1.000001;1.000000;1.000000;1.000000;1.000000;
1.401976;1.000001;1.000000;1.000000;1.000000;1.000000;
1.403000;1.000001;1.000000;1.000000;1.000000;1.000000;
1.405048;1.000001;1.000000;1.000000;1.000000;1.000000;
1.409144;1.000001;1.000000;1.000000;1.000000;1.000000;
1.417336;1.000001;1.000000;1.000000;1.000000;1.000000;
1.433720;1.000001;1.000000;1.000000;1.000000;1.000000;
1.466488;1.000000;1.000000;1.000000;1.000000;1.000000;
1.469800;1.000000;1.000000;1.000000;1.000000;1.000000;
1.469800;1.000000;1.000000;1.000000;1.000000;1.000000;
1.469800;1.000000;1.000000;1.000000;1.000000;1.000000;
1.532024;1.000000;1.000000;1.000000;1.000000;1.000000;
1.663096;1.000000;1.000000;1.000000;1.000000;1.000000;
1.772774;1.000000;1.000000;1.000000;1.000000;1.000000;
1.772774;1.000000;1.000000;1.000000;1.000000;1.000000;
1.772774;1.000000;1.000000;1.000000;1.000000;1.000000;
1.794168;1.000000;1.000000;1.000000;1.000000;1.000000;
1.818472;1.000000;1.000000;1.000000;1.000000;1.000000;
1.818472;1.000000;1.000000;1.000000;1.000000;1.000000;
1.818472;1.000000;1.000000;1.000000;1.000000;1.000000;
1.864887;1.000000;1.000000;1.000000;1.000000;1.000000;
1.864887;1.000000;1.000000;1.000000;1.000000;1.000000;
1.864888;1.000000;1.000000;1.000000;1.000000;1.000000;
1.864889;1.000000;1.000000;1.000000;1.000000;1.000000;
1.864891;1.000000;1.000000;1.000000;1.000000;1.000000;
1.864895;1.000000;1.000000;1.000000;1.000000;1.000000;
1.864903;1.000000;1.000000;1.000000;1.000000;1.000000;
1.864919;1.000000;1.000000;1.000000;1.000000;1.000000;
1.864951;1.000000;1.000000;1.000000;1.000000;1.000000;
1.865015;1.000000;1.000000;1.000000;1.000000;1.000000;
1.865143;1.000000;1.000000;1.000000;1.000000;1.000000;
1.865399;1.000000;1.000000;1.000000;1.000000;1.000000;
1.865911;1.000000;1.000000;1.000000;1.000000;1.000000;
1.866935;1.000000;1.000000;1.000000;1.000000;1.000000;
1.868983;1.000000;1.000000;1.000000;1.000000;1.000000;
1.873079;1.000000;1.000000;1.000000;1.000000;1.000000;
1.881271;1.000000;1.000000;1.000000;1.000000;1.000000;
1.897655;1.000000;1.000000;1.000000;1.000000;1.000000;
1.930423;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988034;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988034;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988035;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988036;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988038;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988042;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988050;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988066;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988098;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988162;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988290;1.000000;1.000000;1.000000;1.000000;1.000000;
1.988546;1.000000;1.000000;1.000000;1.000000;1.000000;
1.989058;1.000000;1.000000;1.000000;1.000000;1.000000;
1.990082;1.000000;1.000000;1.000000;1.000000;1.000000;
1.992130;1.000000;1.000000;1.000000;1.000000;1.000000;
1.996226;1.000000;1.000000;1.000000;1.000000;1.000000;
2.004418;1.000000;1.000000;1.000000;1.000000;1.000000;
2.020802;1.000000;1.000000;1.000000;1.000000;1.000000;
2.053570;1.000000;1.000000;1.000000;1.000000;1.000000;
2.119106;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156367;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156367;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156368;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156369;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156371;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156375;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156383;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156399;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156431;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156495;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156623;1.000000;1.000000;1.000000;1.000000;1.000000;
2.156879;1.000000;1.000000;1.000000;1.000000;1.000000;
2.157391;1.000000;1.000000;1.000000;1.000000;1.000000;
2.158415;1.000000;1.000000;1.000000;1.000000;1.000000;
2.160463;1.000000;1.000000;1.000000;1.000000;1.000000;
2.164559;1.000000;1.000000;1.000000;1.000000;1.000000;
2.172751;1.000000;1.000000;1.000000;1.000000;1.000000;
2.189135;1.000000;1.000000;1.000000;1.000000;1.000000;
2.221903;1.000000;1.000000;1.000000;1.000000;1.000000;
2.287439;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293045;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293045;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293046;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293047;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293049;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293053;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293061;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293077;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293109;1.000000;1.000000;1.000000;1.000000;1.000000;
