time;NETWORK__BUS____1_TN_U_value;NETWORK__BUS____2_TN_U_value;NETWORK__BUS____3_TN_U_value;NETWORK__BUS____4_TN_U_value;NETWORK__BUS____5_TN_U_value;NETWORK__BUS____6_TN_U_value;NETWORK__BUS____7_TN_U_value;NETWORK__BUS____8_TN_U_value;NETWORK__BUS____9_TN_U_value;NETWORK__BUS___10_TN_U_value;NETWORK__BUS___11_TN_U_value;NETWORK__BUS___12_TN_U_value;NETWORK__BUS___13_TN_U_value;NETWORK__BUS___14_TN_U_value;NETWORK__BUS____1-BUS____5-1_AC_iSide2;NETWORK__BUS____1-BUS____5-1_AC_state;NETWORK__BUS____2-BUS____3-1_AC_iSide2;CLA_2_3_currentLimitAutomaton_IMax;NETWORK__BUS____2-BUS____3-1_AC_state;NETWORK__BUS____2-BUS____4-1_AC_iSide2;CLA_2_4_currentLimitAutomaton_IMax;NETWORK__BUS____2-BUS____4-1_AC_state;NETWORK__BUS____2-BUS____5-1_AC_iSide2;CLA_2_5_currentLimitAutomaton_IMax;NETWORK__BUS____2-BUS____5-1_AC_state;NETWORK__BUS____3-BUS____4-1_AC_iSide2;NETWORK__BUS____3-BUS____4-1_AC_state;
0.000000;73.137907;72.107777;69.690032;70.221433;70.349064;14.768030;14.649080;15.040960;14.572503;14.504472;14.586752;14.563567;14.497187;14.291883;597.286794;2.000000;587.979533;600.000000;2.000000;448.524784;942.000000;2.000000;333.851537;724.600000;2.000000;198.810830;2.000000;
1.000000;73.140097;72.108420;69.690563;70.222684;70.350623;14.768873;14.649261;15.040800;14.572858;14.504912;14.587391;14.564369;14.497958;14.292416;597.320573;2.000000;587.633783;600.000000;2.000000;448.399790;942.000000;2.000000;333.753129;724.600000;2.000000;198.545513;2.000000;
1.000000;73.140097;72.108420;69.690563;70.222684;70.350623;14.768873;14.649261;15.040800;14.572858;14.504912;14.587391;14.564369;14.497958;14.292416;597.320573;2.000000;587.633783;600.000000;2.000000;448.399790;942.000000;2.000000;333.753129;724.600000;2.000000;198.545513;2.000000;
2.000000;73.140642;72.108722;69.690566;70.223032;70.351086;14.769132;14.649295;15.040709;14.572948;14.505032;14.587578;14.564614;14.498191;14.292568;597.315088;2.000000;587.592551;600.000000;2.000000;448.387677;942.000000;2.000000;333.745718;724.600000;2.000000;198.509585;2.000000;
2.000000;73.140642;72.108722;69.690566;70.223032;70.351086;14.769132;14.649295;15.040709;14.572948;14.505032;14.587578;14.564614;14.498191;14.292568;597.315088;2.000000;587.592551;600.000000;2.000000;448.387677;942.000000;2.000000;333.745718;724.600000;2.000000;198.509585;2.000000;
3.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
4.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
5.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
6.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
7.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
8.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
9.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
10.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
11.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
12.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
13.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
14.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
15.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
16.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
17.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
18.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
19.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
20.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
21.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
22.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
23.000000;73.140790;72.108803;69.690515;70.223097;70.351187;14.769192;14.649293;15.040669;14.572962;14.505054;14.587619;14.564670;14.498244;14.292598;597.315822;2.000000;587.600733;600.000000;2.000000;448.390644;942.000000;2.000000;333.748244;724.600000;2.000000;198.515135;2.000000;
