           (-0.000972798,0)             (-0.00266835,0)              (0.00621119,0)               (-0.147766,0)                (0.114571,0)                (0.218964,0)               (-0.666803,0)               (-0.589233,0)             (-0.00685177,0)     (0.00158165,0.00145075)    (0.00158165,-0.00145075)    (-0.00359266,-0.0033453)     (-0.00359266,0.0033453)      (0.0284902,-0.0115494)       (0.0284902,0.0115494)     (-0.0123023,0.00308904)    (-0.0123023,-0.00308904)               (0.0256626,0)                (0.290248,0)               (0.0513324,0)               (-0.152715,0)             (-0.00237966,0)               (-0.105308,0)                 (0.15933,0)                (0.192676,0)               (0.0026918,0)             (-0.00371276,0)            (-4.28709e-11,0)            (-9.65679e-13,0)             (2.52427e-15,0)
           (-6.16268e-05,0)            (-5.72954e-05,0)             (-0.00880844,0)               (-0.011715,0)                 (0.30266,0)              (-0.0381376,0)               (0.0032382,0)               (0.0304307,0)            (-0.000613856,0)     (0.0019103,-0.00203089)      (0.0019103,0.00203089)    (-0.00961802,0.00842304)   (-0.00961802,-0.00842304)      (0.00131833,-0.099065)       (0.00131833,0.099065)      (-0.0215659,0.0590252)     (-0.0215659,-0.0590252)              (0.00275634,0)              (-0.0865415,0)              (-0.0253573,0)                (0.129892,0)              (0.00241255,0)                (0.194389,0)               (0.0721462,0)                 (0.59558,0)               (0.0224341,0)              (-0.0128234,0)            (-6.86059e-11,0)            (-1.59565e-12,0)             (1.28931e-14,0)
            (-0.00159492,0)              (0.00169597,0)               (0.0624583,0)               (0.0476414,0)               (-0.839629,0)               (0.0948404,0)             (-0.00615199,0)              (-0.0554236,0)             (0.000472871,0)   (0.00441433,-0.000369972)    (0.00441433,0.000369972)     (-0.0167552,0.00136173)    (-0.0167552,-0.00136173)       (0.079767,-0.0972684)        (0.079767,0.0972684)      (-0.0507934,0.0472166)     (-0.0507934,-0.0472166)              (0.00148425,0)              (-0.0610632,0)               (-0.018666,0)                (0.100034,0)              (0.00183995,0)                (0.158305,0)               (0.0685349,0)                (0.551646,0)               (0.0199875,0)              (-0.0117278,0)            (-6.86065e-11,0)            (-1.59493e-12,0)             (1.17243e-14,0)
             (8.2569e-05,0)             (0.000418216,0)             (0.000517393,0)              (0.00543902,0)               (0.0202918,0)            (-0.000542117,0)              (-0.0279138,0)              (-0.0248909,0)             (-0.00114625,0) (-0.000663419,-7.52959e-05)  (-0.000663419,7.52959e-05)    (0.00124636,0.000890898)   (0.00124636,-0.000890898)   (-0.00325869,-0.00387595)    (-0.00325869,0.00387595)     (0.00197117,0.00391357)    (0.00197117,-0.00391357)                (0.021088,0)                (0.351761,0)               (0.0688109,0)               (-0.235179,0)             (-0.00359832,0)               (-0.211831,0)                (0.196834,0)                (0.206544,0)             (-0.00287264,0)             (-0.00407869,0)            (-5.27513e-11,0)            (-1.21005e-12,0)             (2.48043e-15,0)
            (-5.8274e-05,0)             (2.78606e-05,0)              (0.00119198,0)            (-0.000105334,0)             (-0.00148811,0)             (0.000603885,0)             (-0.00161486,0)            (-0.000770144,0)            (-3.60098e-05,0)  (0.000302546,-0.000182462)   (0.000302546,0.000182462)   (-0.00129068,0.000758479)  (-0.00129068,-0.000758479)     (0.00217168,-0.0108949)      (0.00217168,0.0108949)      (-0.002916,0.00634031)     (-0.002916,-0.00634031)             (0.000351756,0)             (0.000783689,0)            (-5.11799e-05,0)             (0.000851165,0)             (5.67523e-05,0)              (0.00055216,0)               (-0.122005,0)               (0.0008312,0)            (-0.000354842,0)            (-0.000522096,0)            (-7.55678e-12,0)            (-1.72149e-13,0)             (2.17075e-16,0)
            (0.000382926,0)            (-7.80752e-05,0)              (-0.0142129,0)               (0.0019257,0)               (0.0260574,0)              (-0.0135207,0)                (0.032333,0)               (0.0155714,0)             (0.000432071,0)     (-0.00623606,-0.007657)      (-0.00623606,0.007657)       (0.0433292,0.0883859)      (0.0433292,-0.0883859)      (-0.508468,-0.0173544)       (-0.508468,0.0173544)          (0.498191,0.14937)         (0.498191,-0.14937)             (-0.00932949,0)              (-0.0691405,0)              (-0.0125055,0)               (0.0510139,0)              (-0.0203131,0)               (-0.115569,0)              (-0.0151582,0)               (-0.401413,0)                (0.122306,0)                (0.218724,0)               (-0.434431,0)             (-0.00940365,0)             (9.07421e-07,0)
            (-0.00107732,0)             (-0.00872524,0)               (0.0587037,0)                (0.968988,0)                (0.115456,0)               (-0.142597,0)               (-0.181263,0)               (-0.188448,0)             (-0.00697559,0)     (0.00081896,0.00167718)    (0.00081896,-0.00167718)  (-0.000534335,-0.00459497)   (-0.000534335,0.00459497)       (0.0127793,0.0133145)      (0.0127793,-0.0133145)   (-0.00592434,-0.00535633)    (-0.00592434,0.00535633)               (0.0273552,0)                (0.180113,0)               (0.0137629,0)                (0.100829,0)              (0.00114294,0)                (0.479054,0)                (0.170883,0)             (-0.00950849,0)               (0.0704057,0)              (0.00282994,0)             (4.22457e-11,0)              (8.9232e-13,0)            (-6.95533e-16,0)
            (3.62632e-05,0)            (-0.000510549,0)                (0.323309,0)               (0.0198052,0)               (0.0514737,0)               (-0.014164,0)             (-0.00632662,0)               (0.0422643,0)            (-0.000747667,0)    (0.00750721,-0.00239173)     (0.00750721,0.00239173)    (-0.00791692,-0.0112155)     (-0.00791692,0.0112155)       (-0.0313606,0.241479)      (-0.0313606,-0.241479)       (-0.0250732,0.100621)      (-0.0250732,-0.100621)              (0.00848918,0)             (-0.00014721,0)             (-0.00549354,0)               (0.0177721,0)              (0.00195774,0)               (-0.205944,0)                (0.271042,0)              (-0.0149998,0)                (0.630644,0)               (0.0192509,0)            (-6.25901e-11,0)            (-1.45906e-12,0)              (5.4326e-16,0)
             (-0.0054142,0)              (0.00380674,0)               (-0.932261,0)              (-0.0336533,0)              (-0.0571218,0)               (0.0137487,0)              (0.00428234,0)               (-0.026903,0)             (5.34278e-05,0)      (0.0098342,0.00268339)     (0.0098342,-0.00268339)    (-0.00230754,-0.0154903)     (-0.00230754,0.0154903)          (-0.155271,0.2197)         (-0.155271,-0.2197)      (-0.0574867,0.0905879)     (-0.0574867,-0.0905879)              (0.00598252,0)            (-0.000119278,0)             (-0.00455798,0)               (0.0151317,0)              (0.00165752,0)               (-0.181187,0)                (0.262203,0)              (-0.0142797,0)                (0.585953,0)               (0.0181811,0)            (-6.25892e-11,0)            (-1.45949e-12,0)             (8.03115e-16,0)
            (7.88632e-05,0)             (0.000567032,0)             (0.000944225,0)               (0.0083456,0)              (0.00504222,0)             (-0.00683392,0)              (-0.0129145,0)              (-0.0134026,0)             (-0.00112448,0)  (-0.000590422,6.41218e-05) (-0.000590422,-6.41218e-05)   (0.00229688,-0.000429065)    (0.00229688,0.000429065)     (-0.00525928,0.0141364)    (-0.00525928,-0.0141364)    (0.00475671,-0.00283763)     (0.00475671,0.00283763)               (0.0187607,0)                (0.177437,0)               (0.0147605,0)                (0.118419,0)              (0.00128595,0)                (0.655724,0)                (0.193221,0)              (-0.0191102,0)               (0.0805255,0)              (0.00340501,0)             (4.37772e-11,0)              (8.7376e-13,0)            (-4.84145e-16,0)
