-----------------------------------------------FULL MODAL ANALYSIS----------------------------------------
Number of Stable Modes  :4
Number of Unstable Modes:0
Number of Real Modes    :22
---------------------------------------------------------------------------------------------------------
-------------------------------------------COMPLEX STABLE MODES------------------------------------------
---------------------------------------------------------------------------------------------------------
Nb.--imag. Part-- real Part--freq. Part--damp. Part--parti. Part-- arg. Part-- mode Type--mach. Name--
9      8.8948     -0.5775      1.4157      6.4787    100.0000    -41.0861         ROT GEN____6_SM

11      6.2673     -1.1303      0.9975     17.7484    100.0000    137.0119         ROT GEN____2_SM

13      6.3709     -0.6252      1.0140      9.7658    100.0000   -128.2329         ROT GEN____8_SM

15      4.0197     -0.5703      0.6397     14.0482    100.0000    126.6852         ROT GEN____3_SM

---------------------------------------------------------------------------------------------------------
-----------------------------------------COMPLEX UNSTABLE MODES------------------------------------------
---------------------------------------------------------------------------------------------------------
Nb.--imag. Part--real. Part--freq. Part--damp. Part--parti. Part-- arg. Part-- mode Type--mach. Name--
---------------------------------------------------------------------------------------------------------
-----------------------------------------------REAL MODES------------------------------------------------
---------------------------------------------------------------------------------------------------------
Nb.      --real. Part--       parti. Part--        mode. Type--      mach. Name--
0            -46.5812            100.0000                 SMQ        GEN____6_SM

1            -32.9085            100.0000                 SMD        GEN____6_SM

2            -24.0872            100.0000                 SMQ        GEN____2_SM

3            -19.7843            100.0000                 SMD        GEN____2_SM

4            -17.0015            100.0000                 SMQ        GEN____1_SM

5            -16.2625            100.0000                 SMD        GEN____3_SM

6            -14.5779            100.0000                 SMD        GEN____1_SM

7            -14.3325            100.0000                 SMD        GEN____1_SM

8            -10.4683            100.0000                 SMD        GEN____8_SM

17             -3.4293            100.0000                 EXC        GEN____6_SM

18             -2.2617            100.0000                 EXC        GEN____1_SM

19             -2.0399            100.0000                 EXC        GEN____8_SM

20             -1.7893            100.0000                 EXC        GEN____3_SM

21             -1.8447            100.0000                 SMQ        GEN____8_SM

22             -1.4582            100.0000                 EXC        GEN____2_SM

23             -0.4046            100.0000                 ROT        GEN____3_SM

24             -0.5932            100.0000                 SMQ        GEN____1_SM

25             -0.8705            100.0000                 SMQ        GEN____2_SM

26             -0.6854            100.0000                 SMQ        GEN____3_SM

27             -0.0000            100.0000                 ROT        GEN____3_SM

28              0.0000            100.0000                 SMQ        GEN____6_SM

29             -0.0000            100.0000                 SMQ        GEN____8_SM

