        (-46.5812,0)
        (-32.9084,0)
        (-24.0872,0)
        (-19.7843,0)
        (-17.0015,0)
        (-16.2625,0)
        (-14.5779,0)
        (-14.3325,0)
        (-10.4683,0)
  (-0.57748,8.89479)
 (-0.57748,-8.89479)
 (-0.625163,6.37095)
(-0.625163,-6.37095)
   (-1.13029,6.2673)
  (-1.13029,-6.2673)
 (-0.570346,4.01965)
(-0.570346,-4.01965)
        (-3.42935,0)
        (-2.26173,0)
        (-2.03987,0)
        (-1.78932,0)
        (-1.84469,0)
        (-1.45822,0)
       (-0.404594,0)
       (-0.593241,0)
        (-0.87052,0)
       (-0.685378,0)
     (4.51613e-16,0)
    (-6.54575e-17,0)
    (-2.65678e-22,0)
