model;variable;value;
NETWORK;_BUS____1_TN_Upu_value;1.060012;
NETWORK;_BUS____2_TN_Upu_value;1.045056;
NETWORK;_BUS____3_TN_Upu_value;1.010007;
NETWORK;_BUS____4_TN_Upu_value;1.017727;
NETWORK;_BUS____5_TN_Upu_value;1.019583;
NETWORK;_BUS____6_TN_Upu_value;1.070233;
NETWORK;_BUS____7_TN_Upu_value;1.061543;
NETWORK;_BUS____8_TN_Upu_value;1.089902;
NETWORK;_BUS____9_TN_Upu_value;1.056013;
NETWORK;_BUS___10_TN_Upu_value;1.051092;
NETWORK;_BUS___11_TN_Upu_value;1.057075;
NETWORK;_BUS___12_TN_Upu_value;1.055412;
NETWORK;_BUS___13_TN_Upu_value;1.050600;
NETWORK;_BUS___14_TN_Upu_value;1.035707;
GEN____1_SM;generator_omegaPu;1.000000;
GEN____1_SM;generator_PGen;232.390365;
GEN____1_SM;generator_QGen;-16.650700;
GEN____1_SM;generator_UStatorPu;1.058870;
GEN____1_SM;voltageRegulator_EfdPu;1.435738;
GEN____2_SM;generator_omegaPu;1.000000;
GEN____2_SM;generator_PGen;40.000318;
GEN____2_SM;generator_QGen;43.649364;
GEN____2_SM;generator_UStatorPu;1.048790;
GEN____2_SM;voltageRegulator_EfdPu;1.269110;
GEN____3_SM;generator_omegaPu;1.000000;
GEN____3_SM;generator_PGen;0.000508;
GEN____3_SM;generator_QGen;25.020595;
GEN____3_SM;generator_UStatorPu;1.011508;
GEN____3_SM;voltageRegulator_EfdPu;1.112179;
GEN____6_SM;generator_omegaPu;1.000000;
GEN____6_SM;generator_PGen;-0.000107;
GEN____6_SM;generator_QGen;12.847437;
GEN____6_SM;generator_UStatorPu;1.070233;
GEN____6_SM;voltageRegulator_EfdPu;1.460070;
GEN____8_SM;generator_omegaPu;1.000000;
GEN____8_SM;generator_PGen;-0.004070;
GEN____8_SM;generator_QGen;17.546521;
GEN____8_SM;generator_UStatorPu;1.096342;
GEN____8_SM;voltageRegulator_EfdPu;1.194869;
_LOAD___2_EC;load_PPu;0.216995;
_LOAD___2_EC;load_QPu;0.126995;
_LOAD___3_EC;load_PPu;0.942010;
_LOAD___3_EC;load_QPu;0.190003;
