           (-0.000972802,0)             (-0.00266833,0)              (0.00621149,0)               (-0.147766,0)                (0.114572,0)               (-0.218965,0)                (0.666814,0)                (0.589224,0)              (0.00685174,0)    (0.000847626,-0.0019718)     (0.000847626,0.0019718)       (-0.012768,0.0279658)      (-0.012768,-0.0279658)   (-0.000605293,0.00487162)  (-0.000605293,-0.00487162)     (-0.00240423,0.0124544)    (-0.00240423,-0.0124544)               (0.0256625,0)               (-0.290248,0)               (0.0513319,0)               (-0.152713,0)             (-0.00237966,0)               (-0.105304,0)                (0.159331,0)                (0.192679,0)              (0.00269208,0)             (-0.00371288,0)             (4.03787e-15,0)             (2.23612e-14,0)             (3.75938e-16,0)
           (-6.16268e-05,0)            (-5.72951e-05,0)             (-0.00880843,0)              (-0.0117153,0)                 (0.30266,0)               (0.0381385,0)             (-0.00323945,0)              (-0.0304311,0)             (0.000613859,0)   (-0.00254748,-0.00113321)    (-0.00254748,0.00113321)       (0.0671001,0.0728912)      (0.0671001,-0.0728912)      (0.0124616,0.00285745)     (0.0124616,-0.00285745)         (0.044364,0.044507)        (0.044364,-0.044507)              (0.00275635,0)               (0.0865429,0)              (-0.0253576,0)                (0.129893,0)              (0.00241261,0)                (0.194391,0)               (0.0721492,0)                (0.595579,0)               (0.0224342,0)              (-0.0128235,0)             (2.87053e-15,0)             (6.92722e-14,0)              (2.4992e-15,0)
            (-0.00159491,0)              (0.00169598,0)               (0.0624582,0)               (0.0476425,0)                (-0.83963,0)              (-0.0948426,0)              (0.00615437,0)               (0.0554244,0)            (-0.000472873,0)    (-0.0018058,-0.00404506)     (-0.0018058,0.00404506)        (0.00886121,0.12548)       (0.00886121,-0.12548)       (0.0109223,0.0127788)      (0.0109223,-0.0127788)       (0.0213017,0.0659968)      (0.0213017,-0.0659968)              (0.00148426,0)               (0.0610642,0)              (-0.0186662,0)                (0.100035,0)                 (0.00184,0)                (0.158307,0)               (0.0685377,0)                (0.551645,0)               (0.0199876,0)              (-0.0117279,0)             (2.69306e-15,0)             (6.90185e-14,0)               (2.023e-15,0)
            (8.25688e-05,0)             (0.000418215,0)             (0.000517384,0)                (0.005439,0)               (0.0202921,0)             (0.000542209,0)               (0.0279141,0)               (0.0248903,0)              (0.00114625,0)   (0.000147821,0.000651115)  (0.000147821,-0.000651115)    (0.00503089,0.000577761)   (0.00503089,-0.000577761)  (-8.48532e-06,-0.00153201)   (-8.48532e-06,0.00153201)    (0.00438011,-0.00013091)     (0.00438011,0.00013091)                (0.021088,0)                (-0.35176,0)               (0.0688104,0)               (-0.235177,0)             (-0.00359835,0)               (-0.211827,0)                (0.196835,0)                (0.206548,0)             (-0.00287226,0)             (-0.00407882,0)             (5.26823e-15,0)             (4.08732e-14,0)             (8.33979e-16,0)
           (-5.82739e-05,0)             (2.78605e-05,0)              (0.00119198,0)            (-0.000105333,0)              (-0.0014881,0)            (-0.000603892,0)              (0.00161489,0)              (0.00077013,0)             (3.60099e-05,0)   (-0.000272073,-0.0002254)    (-0.000272073,0.0002254)     (0.00590684,0.00940878)    (0.00590684,-0.00940878)    (0.00137097,0.000601362)   (0.00137097,-0.000601362)     (0.00451192,0.00532401)    (0.00451192,-0.00532401)             (0.000351757,0)            (-0.000783689,0)            (-5.11809e-05,0)             (0.000851166,0)             (5.67527e-05,0)             (0.000552165,0)               (-0.122005,0)             (0.000831202,0)            (-0.000354842,0)            (-0.000522096,0)            (-5.50322e-16,0)             (5.60608e-15,0)             (1.40789e-16,0)
            (0.000382925,0)            (-7.80743e-05,0)              (-0.0142129,0)              (0.00192569,0)               (0.0260573,0)               (0.0135208,0)              (-0.0323335,0)              (-0.0155711,0)            (-0.000432072,0)    (-0.00517063,0.00841338)   (-0.00517063,-0.00841338)         (0.381401,-0.33671)          (0.381401,0.33671)       (0.0462274,-0.086906)        (0.0462274,0.086906)        (0.346065,-0.388258)         (0.346065,0.388258)             (-0.00932953,0)               (0.0691406,0)              (-0.0125054,0)               (0.0510126,0)              (-0.0203131,0)                (-0.11557,0)              (-0.0151611,0)               (-0.401412,0)                (0.122306,0)                (0.218724,0)                 (0.44711,0)             (-0.00256274,0)             (3.29271e-07,0)
            (-0.00107732,0)             (-0.00872521,0)               (0.0587038,0)                (0.968988,0)                (0.115459,0)                (0.142597,0)                (0.181266,0)                (0.188445,0)              (0.00697558,0)    (0.00131304,-0.00132651)     (0.00131304,0.00132651)   (-0.0184332,-0.000895553)    (-0.0184332,0.000895553)    (-0.00341016,0.00312571)   (-0.00341016,-0.00312571)    (-0.00735943,0.00310282)   (-0.00735943,-0.00310282)               (0.0273552,0)               (-0.180113,0)               (0.0137625,0)                 (0.10083,0)              (0.00114301,0)                (0.479054,0)                (0.170882,0)             (-0.00950864,0)                (0.070405,0)              (0.00282993,0)             (1.94888e-15,0)             (1.31003e-14,0)            (-2.40386e-17,0)
            (3.62606e-05,0)            (-0.000510543,0)                (0.323309,0)               (0.0198052,0)               (0.0514736,0)               (0.0141642,0)              (0.00632561,0)              (-0.0422647,0)             (0.000747663,0)   (-0.00473489,-0.00629764)    (-0.00473489,0.00629764)       (-0.143109,-0.197016)        (-0.143109,0.197016)     (-0.00444843,0.0129872)    (-0.00444843,-0.0129872)       (0.0805731,0.0652786)      (0.0805731,-0.0652786)              (0.00848916,0)             (0.000147328,0)             (-0.00549351,0)               (0.0177717,0)              (0.00195774,0)               (-0.205943,0)                (0.271042,0)                  (-0.015,0)                (0.630644,0)               (0.0192509,0)             (3.30448e-14,0)             (6.46097e-14,0)             (1.58016e-15,0)
            (-0.00541417,0)              (0.00380671,0)               (-0.932262,0)              (-0.0336533,0)              (-0.0571217,0)              (-0.0137489,0)             (-0.00428166,0)               (0.0269032,0)            (-5.34275e-05,0)   (-0.000711778,-0.0101689)    (-0.000711778,0.0101689)      (-0.0381072,-0.266318)       (-0.0381072,0.266318)       (-0.0111994,0.010947)      (-0.0111994,-0.010947)       (0.0577717,0.0904064)      (0.0577717,-0.0904064)              (0.00598251,0)             (0.000119374,0)             (-0.00455796,0)               (0.0151314,0)              (0.00165752,0)               (-0.181186,0)                (0.262202,0)              (-0.0142799,0)                (0.585954,0)                (0.018181,0)             (3.40872e-14,0)             (6.49263e-14,0)              (2.0316e-15,0)
            (7.88632e-05,0)             (0.000567031,0)             (0.000944207,0)              (0.00834559,0)              (0.00504231,0)              (0.00683394,0)               (0.0129147,0)               (0.0134024,0)              (0.00112448,0)    (0.00025535,0.000536204)   (0.00025535,-0.000536204)    (-0.00589005,-0.0138853)     (-0.00589005,0.0138853)    (-0.0016937,-0.00160973)     (-0.0016937,0.00160973)  (-0.000559452,-0.00551051)   (-0.000559452,0.00551051)               (0.0187607,0)               (-0.177437,0)               (0.0147601,0)                 (0.11842,0)              (0.00128603,0)                (0.655724,0)                 (0.19322,0)              (-0.0191105,0)               (0.0805246,0)              (0.00340501,0)             (1.17178e-15,0)             (4.53938e-14,0)             (7.84539e-16,0)
           (-7.56968e-05,0)             (2.88537e-05,0)             (-0.00169195,0)             (0.000491785,0)              (0.00099736,0)             (0.000305949,0)             (0.000144072,0)             (-0.00109546,0)             (2.08751e-05,0) (-0.000201705,-0.000361626)  (-0.000201705,0.000361626)    (-0.00637788,-0.0101656)     (-0.00637788,0.0101656)  (-0.000253031,0.000648997) (-0.000253031,-0.000648997)     (0.00414407,0.00315621)    (0.00414407,-0.00315621)             (0.000298159,0)            (-0.000293883,0)            (-0.000140113,0)               (0.0010605,0)             (6.60568e-05,0)            (-0.000210941,0)               (-0.121757,0)              (-0.0002451,0)              (0.00110983,0)            (-0.000460122,0)            (-7.99022e-16,0)             (5.52603e-15,0)              (1.1931e-16,0)
