           (-0.000972802,0)             (-0.00266833,0)              (0.00621149,0)               (-0.147766,0)                (0.114572,0)               (-0.218965,0)                (0.666814,0)                (0.589224,0)              (0.00685174,0)   (0.000847665,-0.00197179)    (0.000847665,0.00197179)      (-0.0112129,0.0286248)     (-0.0112129,-0.0286248)    (-0.000598963,0.0048724)   (-0.000598963,-0.0048724)      (-0.0027357,0.0123859)     (-0.0027357,-0.0123859)               (0.0256625,0)               (-0.290248,0)               (0.0513319,0)               (-0.152713,0)             (-0.00237966,0)               (-0.105304,0)                (0.159331,0)                (0.192679,0)              (0.00269208,0)             (-0.00371288,0)            (-1.01402e-14,0)            (-3.56151e-14,0)             (4.27767e-16,0)
           (-6.16268e-05,0)            (-5.72951e-05,0)             (-0.00880843,0)              (-0.0117153,0)                 (0.30266,0)               (0.0381385,0)             (-0.00323945,0)              (-0.0304311,0)             (0.000613859,0)   (-0.00254746,-0.00113326)    (-0.00254746,0.00113326)        (0.071002,0.0690961)       (0.071002,-0.0690961)      (0.0124653,0.00284126)     (0.0124653,-0.00284126)       (0.0431607,0.0456749)      (0.0431607,-0.0456749)              (0.00275635,0)               (0.0865429,0)              (-0.0253576,0)                (0.129893,0)              (0.00241261,0)                (0.194391,0)               (0.0721492,0)                (0.595579,0)               (0.0224342,0)              (-0.0128235,0)            (-2.94994e-14,0)            (-1.03454e-13,0)              (1.0293e-15,0)
            (-0.00159491,0)              (0.00169598,0)               (0.0624582,0)               (0.0476425,0)                (-0.83963,0)              (-0.0948426,0)              (0.00615437,0)               (0.0554244,0)            (-0.000472873,0)   (-0.00180573,-0.00404509)    (-0.00180573,0.00404509)         (0.015739,0.124804)        (0.015739,-0.124804)       (0.0109389,0.0127646)      (0.0109389,-0.0127646)       (0.0195331,0.0665417)      (0.0195331,-0.0665417)              (0.00148426,0)               (0.0610642,0)              (-0.0186662,0)                (0.100035,0)                 (0.00184,0)                (0.158307,0)               (0.0685377,0)                (0.551645,0)               (0.0199876,0)              (-0.0117279,0)            (-3.05217e-14,0)            (-1.04224e-13,0)             (1.85351e-15,0)
            (8.25688e-05,0)             (0.000418215,0)             (0.000517384,0)                (0.005439,0)               (0.0202921,0)             (0.000542209,0)               (0.0279141,0)               (0.0248903,0)              (0.00114625,0)   (0.000147808,0.000651117)  (0.000147808,-0.000651117)      (0.00505502,0.0003006)     (0.00505502,-0.0003006)    (-1.04759e-05,-0.001532)     (-1.04759e-05,0.001532)   (0.00438204,-1.39899e-05)    (0.00438204,1.39899e-05)                (0.021088,0)                (-0.35176,0)               (0.0688104,0)               (-0.235177,0)             (-0.00359835,0)               (-0.211827,0)                (0.196835,0)                (0.206548,0)             (-0.00287226,0)             (-0.00407882,0)            (-1.00519e-14,0)            (-6.52812e-14,0)             (8.62774e-17,0)
           (-5.82739e-05,0)             (2.78605e-05,0)              (0.00119198,0)            (-0.000105333,0)              (-0.0014881,0)            (-0.000603892,0)              (0.00161489,0)              (0.00077013,0)             (3.60099e-05,0) (-0.000272069,-0.000225405)  (-0.000272069,0.000225405)     (0.00641465,0.00907018)    (0.00641465,-0.00907018)     (0.00137175,0.00059958)    (0.00137175,-0.00059958)     (0.00436825,0.00544251)    (0.00436825,-0.00544251)             (0.000351757,0)            (-0.000783689,0)            (-5.11809e-05,0)             (0.000851166,0)             (5.67527e-05,0)             (0.000552165,0)               (-0.122005,0)             (0.000831202,0)            (-0.000354842,0)            (-0.000522096,0)             (-2.3628e-16,0)            (-8.74764e-15,0)            (-1.96443e-17,0)
            (0.000382925,0)            (-7.80743e-05,0)              (-0.0142129,0)              (0.00192569,0)               (0.0260573,0)               (0.0135208,0)              (-0.0323335,0)              (-0.0155711,0)            (-0.000432072,0)     (-0.0051708,0.00841328)    (-0.0051708,-0.00841328)        (0.362334,-0.357148)         (0.362334,0.357148)       (0.0461144,-0.086966)        (0.0461144,0.086966)        (0.356302,-0.378886)         (0.356302,0.378886)             (-0.00932953,0)               (0.0691406,0)              (-0.0125054,0)               (0.0510126,0)              (-0.0203131,0)                (-0.11557,0)              (-0.0151611,0)               (-0.401412,0)                (0.122306,0)                (0.218724,0)                (0.447039,0)            (-0.000225342,0)              (7.7272e-07,0)
            (-0.00107732,0)             (-0.00872521,0)               (0.0587038,0)                (0.968988,0)                (0.115459,0)                (0.142597,0)                (0.181266,0)                (0.188445,0)              (0.00697558,0)    (0.00131307,-0.00132649)     (0.00131307,0.00132649)    (-0.0184545,0.000118124)   (-0.0184545,-0.000118124)     (-0.0034061,0.00313014)    (-0.0034061,-0.00313014)     (-0.0074396,0.00290535)    (-0.0074396,-0.00290535)               (0.0273552,0)               (-0.180113,0)               (0.0137625,0)                 (0.10083,0)              (0.00114301,0)                (0.479054,0)                (0.170882,0)             (-0.00950864,0)                (0.070405,0)              (0.00282993,0)            (-1.40137e-15,0)            (-2.18538e-14,0)             (-4.9861e-16,0)
            (3.62606e-05,0)            (-0.000510543,0)                (0.323309,0)               (0.0198052,0)               (0.0514736,0)               (0.0141642,0)              (0.00632561,0)              (-0.0422647,0)             (0.000747663,0)   (-0.00473477,-0.00629773)    (-0.00473477,0.00629773)       (-0.153713,-0.188859)        (-0.153713,0.188859)      (-0.00443155,0.012993)     (-0.00443155,-0.012993)       (0.0788026,0.0674053)      (0.0788026,-0.0674053)              (0.00848916,0)             (0.000147328,0)             (-0.00549351,0)               (0.0177717,0)              (0.00195774,0)               (-0.205943,0)                (0.271042,0)                  (-0.015,0)                (0.630644,0)               (0.0192509,0)             (9.00928e-15,0)            (-1.04131e-13,0)            (-1.60615e-15,0)
            (-0.00541417,0)              (0.00380671,0)               (-0.932262,0)              (-0.0336533,0)              (-0.0571217,0)              (-0.0137489,0)             (-0.00428166,0)               (0.0269032,0)            (-5.34275e-05,0)    (-0.000711579,-0.010169)     (-0.000711579,0.010169)      (-0.0526755,-0.263823)       (-0.0526755,0.263823)      (-0.0111851,0.0109616)     (-0.0111851,-0.0109616)       (0.0553389,0.0919157)      (0.0553389,-0.0919157)              (0.00598251,0)             (0.000119374,0)             (-0.00455796,0)               (0.0151314,0)              (0.00165752,0)               (-0.181186,0)                (0.262202,0)              (-0.0142799,0)                (0.585954,0)                (0.018181,0)             (9.80052e-15,0)            (-1.04238e-13,0)            (-1.84482e-15,0)
            (7.88632e-05,0)             (0.000567031,0)             (0.000944207,0)              (0.00834559,0)              (0.00504231,0)              (0.00683394,0)               (0.0129147,0)               (0.0134024,0)              (0.00112448,0)    (0.00025534,0.000536209)   (0.00025534,-0.000536209)    (-0.00664373,-0.0135409)     (-0.00664373,0.0135409)   (-0.00169579,-0.00160753)    (-0.00169579,0.00160753)  (-0.000412217,-0.00552348)   (-0.000412217,0.00552348)               (0.0187607,0)               (-0.177437,0)               (0.0147601,0)                 (0.11842,0)              (0.00128603,0)                (0.655724,0)                 (0.19322,0)              (-0.0191105,0)               (0.0805246,0)              (0.00340501,0)            (-2.23091e-15,0)            (-7.30532e-14,0)            (-9.33607e-16,0)
           (-7.56968e-05,0)             (2.88537e-05,0)             (-0.00169195,0)             (0.000491785,0)              (0.00099736,0)             (0.000305949,0)             (0.000144072,0)             (-0.00109546,0)             (2.08751e-05,0)  (-0.000201698,-0.00036163)   (-0.000201698,0.00036163)   (-0.00692653,-0.00980002)    (-0.00692653,0.00980002)  (-0.000252188,0.000649325) (-0.000252188,-0.000649325)     (0.00405838,0.00326566)    (0.00405838,-0.00326566)             (0.000298159,0)            (-0.000293883,0)            (-0.000140113,0)               (0.0010605,0)             (6.60568e-05,0)            (-0.000210941,0)               (-0.121757,0)              (-0.0002451,0)              (0.00110983,0)            (-0.000460122,0)            (-7.69475e-17,0)            (-8.69676e-15,0)            (-8.19122e-17,0)
             (0.00050043,0)            (-8.75557e-05,0)                (0.023401,0)             (-0.00755608,0)              (-0.0198698,0)             (-0.00405553,0)            (-0.000636913,0)               (0.0253215,0)              (2.2133e-05,0)     (-0.0101227,0.00624932)    (-0.0101227,-0.00624932)        (-0.436963,0.455753)       (-0.436963,-0.455753)     (0.0563269,-0.00788986)      (0.0563269,0.00788986)        (0.192894,-0.331482)         (0.192894,0.331482)             (-0.00441948,0)              (0.00110552,0)              (0.00119101,0)               (0.0142588,0)              (-0.0218977,0)               (0.0488335,0)               (-0.207427,0)                (0.168558,0)               (-0.406274,0)                (0.190317,0)                (0.447039,0)            (-0.000225342,0)              (7.7272e-07,0)
            (0.000179577,0)             (-0.00428177,0)              (-0.0218744,0)               (-0.130682,0)               (-0.404547,0)                (0.945152,0)               (0.0388625,0)                (0.211128,0)              (0.00693586,0)   (0.000261033,0.000150409)  (0.000261033,-0.000150409)     (0.00141156,0.00148356)    (0.00141156,-0.00148356)   (-0.000695106,0.00016558)  (-0.000695106,-0.00016558)     (-0.0262938,0.00761797)    (-0.0262938,-0.00761797)               (0.0221373,0)               (-0.117045,0)              (-0.0146609,0)                (0.549937,0)              (0.00691584,0)                (-0.17837,0)                (0.145025,0)            (-0.000602129,0)             (-0.00260594,0)             (-0.00134527,0)             (6.09094e-16,0)            (-5.86698e-15,0)             (7.10561e-16,0)
           (-0.000139716,0)             (3.22689e-08,0)             (-0.00175984,0)              (0.00268239,0)               (-0.001887,0)              (-0.0227015,0)                 (0.21897,0)               (-0.234923,0)            (-1.44599e-05,0)   (-0.00221004,-0.00139917)    (-0.00221004,0.00139917)      (0.00546793,0.0195385)     (0.00546793,-0.0195385)     (0.00697741,0.00468402)    (0.00697741,-0.00468402)      (-0.101749,-0.0889036)       (-0.101749,0.0889036)              (0.00247107,0)             (0.000306839,0)             (-0.00346614,0)               (0.0331096,0)              (0.00143045,0)             (-0.00538476,0)                (0.033567,0)              (0.00769416,0)              (-0.0188046,0)                 (0.63008,0)             (2.50608e-14,0)            (-8.29355e-14,0)            (-1.71889e-15,0)
            (-0.00190226,0)             (1.84624e-06,0)               (0.0281095,0)              (-0.0194576,0)               (0.0087033,0)               (0.0927656,0)               (-0.672661,0)                (0.691135,0)             (1.90735e-05,0)   (-0.00111218,-0.00451514)    (-0.00111218,0.00451514)      (-0.0126861,0.0252709)     (-0.0126861,-0.0252709)      (0.00339472,0.0116034)     (0.00339472,-0.0116034)      (-0.0484569,-0.149077)       (-0.0484569,0.149077)              (0.00108495,0)             (0.000198045,0)             (-0.00236642,0)               (0.0239759,0)              (0.00102284,0)             (-0.00418806,0)               (0.0315701,0)              (0.00701874,0)              (-0.0163596,0)                (0.565981,0)             (2.40383e-14,0)            (-8.21403e-14,0)            (-1.75091e-15,0)
