time;NETWORK__BUS____9-BUS___10-1_AC_iSide2;NETWORK__BUS____5-BUS____6-1_PS_iSide2;NETWORK__BUS____5-BUS____6-1_PS_step;NETWORK__BUS____5-BUS____6-1_PS_i1;PhaseShifter_phaseShifter_state;PhaseShifter_phaseShifter_iMax;PhaseShifter_phaseShifter_iStop;PhaseShifter_phaseShifter_iMonitored;
0.000000;266.166236;1752.304635;7.000000;0.449400;4.000000;0.475000;0.450000;0.449400;
10.000000;266.166198;1752.304758;7.000000;0.449400;4.000000;0.475000;0.450000;0.449400;
20.000000;0.000000;1752.304815;7.000000;0.449400;4.000000;0.475000;0.450000;0.449400;
20.000000;0.000000;1875.335122;7.000000;0.480953;5.000000;0.475000;0.450000;0.480953;
30.000000;0.000000;1722.770705;7.000000;0.441826;5.000000;0.475000;0.450000;0.480948;
30.000000;0.000000;1848.120895;8.000000;0.473974;6.000000;0.475000;0.450000;0.473937;
40.000000;0.000000;1848.156833;8.000000;0.473983;6.000000;0.475000;0.450000;0.473982;
40.000000;0.000000;1848.156833;8.000000;0.473983;8.000000;0.475000;0.450000;0.473982;
50.000000;0.000000;1848.148574;8.000000;0.473981;8.000000;0.475000;0.450000;0.473981;
60.000000;0.000000;1848.146059;8.000000;0.473980;8.000000;0.475000;0.450000;0.473980;
70.000000;0.000000;1848.144799;8.000000;0.473980;8.000000;0.475000;0.450000;0.473980;
80.000000;0.000000;1848.144166;8.000000;0.473980;8.000000;0.475000;0.450000;0.473980;
90.000000;0.000000;1848.143849;8.000000;0.473980;8.000000;0.475000;0.450000;0.473980;
100.000000;0.000000;1848.143690;8.000000;0.473979;8.000000;0.475000;0.450000;0.473979;
