time;VMU_average;VMU_max;VMU_min;U1_step_step_value;U2_step_step_value;connected1_event_state1_value;connected2_event_state1_value;VMU_running_0_value;
0.000000;0.000000;-2000000.000000;2.000000e+06;5.000000;10.000000;-1.000000;1.000000;-1.000000;
10.000000;0.000000;-2000000.000000;2.000000e+06;5.000000;10.000000;-1.000000;1.000000;-1.000000;
10.000000;0.000000;-2000000.000000;2.000000e+06;5.000000;10.000000;1.000000;1.000000;1.000000;
20.000000;7.500000;10.000000;5.000000;5.000000;10.000000;1.000000;1.000000;1.000000;
20.000000;7.500000;10.000000;5.000000;5.000000;2.000000;1.000000;1.000000;1.000000;
30.000000;7.500000;10.000000;5.000000;5.000000;2.000000;1.000000;1.000000;1.000000;
40.000000;3.500000;5.000000;2.000000;5.000000;2.000000;1.000000;1.000000;1.000000;
40.000000;3.500000;5.000000;2.000000;10.000000;2.000000;1.000000;1.000000;1.000000;
50.000000;3.500000;5.000000;2.000000;10.000000;2.000000;1.000000;1.000000;1.000000;
60.000000;6.000000;10.000000;2.000000;10.000000;2.000000;1.000000;1.000000;1.000000;
60.000000;6.000000;10.000000;2.000000;10.000000;2.000000;-1.000000;1.000000;-1.000000;
70.000000;6.000000;10.000000;2.000000;10.000000;2.000000;-1.000000;1.000000;-1.000000;
80.000000;2.000000;2.000000;2.000000;10.000000;2.000000;-1.000000;1.000000;-1.000000;
80.000000;2.000000;2.000000;2.000000;10.000000;2.000000;-1.000000;1.000000;-1.000000;
90.000000;2.000000;2.000000;2.000000;10.000000;2.000000;-1.000000;1.000000;-1.000000;
100.000000;2.000000;2.000000;2.000000;10.000000;2.000000;-1.000000;1.000000;-1.000000;
100.000000;2.000000;2.000000;2.000000;10.000000;2.000000;-1.000000;1.000000;-1.000000;
