time;_Load__10_PPu_value;_Load__10_QPu_value;NETWORK__BUS___10_TN_Upu_value;_Load__10_UfPu_value;
0.000000;29.450358;0.000000;0.955158;0.955158;
10.000000;29.450358;0.000000;0.955158;0.955158;
20.000000;29.450358;0.000000;0.955158;0.955158;
30.000000;29.450358;0.000000;0.955158;0.955158;
30.000000;23.351459;0.000000;0.818259;0.955158;
40.000000;24.563704;0.000000;0.759778;0.857468;
40.000000;23.428613;0.000000;0.815632;0.950000;
50.000000;23.428613;0.000000;0.815632;0.950000;
60.000000;23.428613;0.000000;0.815632;0.950000;
70.000000;23.428613;0.000000;0.815632;0.950000;
80.000000;23.428613;0.000000;0.815632;0.950000;
90.000000;23.428613;0.000000;0.815632;0.950000;
100.000000;23.428613;0.000000;0.815632;0.950000;
110.000000;23.428613;0.000000;0.815632;0.950000;
120.000000;23.428613;0.000000;0.815632;0.950000;
130.000000;23.428613;0.000000;0.815632;0.950000;
140.000000;23.428613;0.000000;0.815632;0.950000;
150.000000;23.428613;0.000000;0.815632;0.950000;
160.000000;23.428613;0.000000;0.815632;0.950000;
170.000000;23.428613;0.000000;0.815632;0.950000;
180.000000;23.428613;0.000000;0.815632;0.950000;
190.000000;23.428613;0.000000;0.815632;0.950000;
200.000000;23.428613;0.000000;0.815632;0.950000;
210.000000;23.428613;0.000000;0.815632;0.950000;
220.000000;23.428613;0.000000;0.815632;0.950000;
230.000000;23.428613;0.000000;0.815632;0.950000;
240.000000;23.428613;0.000000;0.815632;0.950000;
250.000000;23.428613;0.000000;0.815632;0.950000;
260.000000;23.428613;0.000000;0.815632;0.950000;
270.000000;23.428613;0.000000;0.815632;0.950000;
280.000000;23.428613;0.000000;0.815632;0.950000;
290.000000;23.428613;0.000000;0.815632;0.950000;
300.000000;23.428613;0.000000;0.815632;0.950000;
