-----------------------------------------------FULL MODAL ANALYSIS----------------------------------------
Number of Stable Modes  :6
Number of Unstable Modes:0
Number of Real Modes    :30
---------------------------------------------------------------------------------------------------------
-------------------------------------------COMPLEX STABLE MODES------------------------------------------
---------------------------------------------------------------------------------------------------------
Nb.--imag. Part-- real Part--freq. Part--damp. Part--parti. Part-- arg. Part-- mode Type--mach. Name--
14      6.2549     -1.1450      0.9955     18.0067    100.0000    107.6545         ROT GEN____2_SM

16      6.2683     -1.0630      0.9976     16.7202    100.0000    -57.3545         ROT GEN____8_SM

18      6.1062     -0.9674      0.9718     15.6473    100.0000    133.9485         ROT GEN____3_SM

20      5.3966     -0.8821      0.8589     16.1306    100.0000    -56.7100         ROT GEN___12_SM

22      4.7485     -0.8115      0.7558     16.8449    100.0000    128.4113         ROT GEN____6_SM

24      3.7498     -0.5269      0.5968     13.9141    100.0000     91.0515         ROT GEN____2_SM
---------------------------------------------------------------------------------------------------------
-----------------------------------------COMPLEX UNSTABLE MODES------------------------------------------
---------------------------------------------------------------------------------------------------------
Nb.--imag. Part--real. Part--freq. Part--damp. Part--parti. Part-- arg. Part-- mode Type--mach. Name--
---------------------------------------------------------------------------------------------------------
-----------------------------------------------REAL MODES------------------------------------------------
---------------------------------------------------------------------------------------------------------
Nb.      --real. Part--       parti. Part--        mode. Type--      mach. Name--
0            -23.9331            100.0000                 SMQ        GEN____6_SM

1            -19.3325            100.0000                 SMD        GEN____1_SM

2            -19.2111            100.0000                 SMD        GEN____6_SM

3            -18.7559            100.0000                 SMD        GEN___12_SM

4            -17.6620            100.0000                 SMD        GEN____9_SM

5            -17.0060            100.0000                 SMD        GEN____1_SM

6            -15.7198            100.0000                 SMQ        GEN____1_SM

7            -15.4178            100.0000                 SMQ        GEN____9_SM

8            -14.1353            100.0000                 SMD        GEN____8_SM

9            -14.8422            100.0000                 SMD        GEN____3_SM

10            -15.0398            100.0000                 SMQ        GEN___12_SM

11            -14.4461            100.0000                 SMQ        GEN____1_SM

12            -12.6519            100.0000                 SMQ        GEN____8_SM

13            -12.6473            100.0000                 SMQ        GEN____3_SM

26             -2.4995            100.0000                 EXC        GEN____8_SM

27             -2.1172            100.0000                 EXC        GEN____3_SM

28             -1.8188            100.0000                 SMQ        GEN____1_SM

29             -1.6557            100.0000                 EXC        GEN___12_SM

30             -1.5973            100.0000                 EXC        GEN____6_SM

31             -1.3932            100.0000                 EXC        GEN____9_SM

32             -1.3608            100.0000                 EXC        GEN____2_SM

33             -0.4165            100.0000                 ROT        GEN___12_SM

34             -0.8691            100.0000                 SMQ        GEN___12_SM

35             -0.7903            100.0000                 SMQ        GEN____6_SM

36             -0.5898            100.0000                 EXC        GEN____1_SM

37             -0.6158            100.0000                 SMQ        GEN____9_SM

38             -0.6575            100.0000                 SMQ        GEN____2_SM

39             -0.7039            100.0000                 SMQ        GEN____8_SM

40             -0.6946            100.0000                 SMQ        GEN____3_SM

41              0.0000            100.0000                 ROT        GEN____2_SM

