        (-23.9331,0)
        (-19.3325,0)
        (-19.2111,0)
        (-18.7559,0)
         (-17.662,0)
         (-17.006,0)
        (-15.7198,0)
        (-15.4178,0)
        (-14.1353,0)
        (-14.8422,0)
        (-15.0398,0)
        (-14.4461,0)
        (-12.6519,0)
        (-12.6473,0)
  (-1.14501,6.25486)
 (-1.14501,-6.25486)
  (-1.06304,6.26833)
 (-1.06304,-6.26833)
 (-0.967368,6.10619)
(-0.967368,-6.10619)
 (-0.882059,5.39661)
(-0.882059,-5.39661)
 (-0.811484,4.74854)
(-0.811484,-4.74854)
 (-0.526875,3.74981)
(-0.526875,-3.74981)
        (-2.49947,0)
        (-2.11724,0)
        (-1.81875,0)
        (-1.65571,0)
        (-1.59735,0)
        (-1.39322,0)
        (-1.36078,0)
       (-0.416526,0)
       (-0.869133,0)
       (-0.790286,0)
        (-0.58981,0)
       (-0.615781,0)
        (-0.65748,0)
       (-0.703934,0)
       (-0.694589,0)
     (8.59454e-15,0)
