        (-23.9331,0)
        (-19.3325,0)
        (-19.2111,0)
        (-18.7559,0)
         (-17.662,0)
         (-17.006,0)
        (-15.7198,0)
        (-15.4178,0)
        (-14.1353,0)
        (-14.8423,0)
        (-15.0398,0)
        (-14.4461,0)
        (-12.6519,0)
        (-12.6473,0)
  (-1.14501,6.25487)
 (-1.14501,-6.25487)
  (-1.06304,6.26833)
 (-1.06304,-6.26833)
 (-0.967359,6.10618)
(-0.967359,-6.10618)
 (-0.882056,5.39662)
(-0.882056,-5.39662)
 (-0.811484,4.74855)
(-0.811484,-4.74855)
 (-0.526874,3.74981)
(-0.526874,-3.74981)
        (-2.49948,0)
        (-2.11723,0)
        (-1.81876,0)
         (-1.6557,0)
        (-1.59734,0)
        (-1.39323,0)
        (-1.36078,0)
       (-0.416526,0)
       (-0.869126,0)
       (-0.790284,0)
       (-0.589804,0)
       (-0.615778,0)
       (-0.657481,0)
       (-0.703931,0)
       (-0.694619,0)
      (8.1375e-15,0)
