time;WT4B_WT_measurementsPQ_PPu;WT4B_WT_measurementsPQ_QPu;WT4B_WT_control4B_UWTPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;WT4B_WT_gridProtection_fOCB;
2.137551;0.553560;-0.218860;1.014588;1.009271;0.103573;-0.520716;-0.270408;-1.000000;
2.150706;0.543128;-0.218871;1.014791;1.009747;0.100914;-0.511099;-0.267946;-1.000000;
2.177015;0.529350;-0.218824;1.015078;1.010395;0.097400;-0.498396;-0.264617;-1.000000;
2.203323;0.520125;-0.218740;1.015265;1.010805;0.095047;-0.489883;-0.262476;-1.000000;
2.229632;0.513864;-0.218621;1.015406;1.011095;0.093449;-0.484104;-0.260979;-1.000000;
2.255941;0.509557;-0.218479;1.015520;1.011311;0.092347;-0.480125;-0.259890;-1.000000;
2.308559;0.504993;-0.218136;1.015696;1.011596;0.091174;-0.475903;-0.258528;-1.000000;
2.361176;0.502644;-0.217755;1.015844;1.011799;0.090565;-0.473724;-0.257617;-1.000000;
2.413794;0.501524;-0.217351;1.015978;1.011960;0.090267;-0.472677;-0.256945;-1.000000;
2.504313;0.501056;-0.216643;1.016190;1.012185;0.090126;-0.472222;-0.256083;-1.000000;
2.504313;0.501056;-0.216643;1.016190;1.012185;0.090126;-0.472222;-0.256083;-1.000000;
2.516808;0.500987;-0.216546;1.016219;1.012216;0.090106;-0.472156;-0.255963;-1.000000;
2.541800;0.500917;-0.216350;1.016277;1.012276;0.090082;-0.472084;-0.255737;-1.000000;
2.591782;0.500885;-0.215964;1.016388;1.012390;0.090062;-0.472043;-0.255314;-1.000000;
2.691748;0.500882;-0.215235;1.016598;1.012603;0.090039;-0.472016;-0.254527;-1.000000;
2.891679;0.500855;-0.214011;1.016951;1.012961;0.089995;-0.471951;-0.253202;-1.000000;
3.291541;0.500824;-0.212402;1.017415;1.013432;0.089938;-0.471870;-0.251464;-1.000000;
4.091265;0.500791;-0.210980;1.017824;1.013847;0.089886;-0.471793;-0.249927;-1.000000;
5.690713;0.500738;-0.210240;1.018037;1.014064;0.089850;-0.471720;-0.249120;-1.000000;
5.999999;0.500729;-0.210205;1.018048;1.014075;0.089847;-0.471711;-0.249080;-1.000000;
5.999999;0.368738;-0.135425;0.736399;0.729813;0.098273;-0.471710;-0.249080;-1.000000;
6.000094;0.368531;-0.136571;0.735975;0.729388;0.098248;-0.471485;-0.250749;-1.000000;
6.000283;0.368184;-0.138624;0.735211;0.728622;0.098211;-0.471111;-0.253756;-1.000000;
6.000473;0.367899;-0.140453;0.734529;0.727937;0.098186;-0.470809;-0.256451;-1.000000;
6.000792;0.367621;-0.142864;0.733623;0.727023;0.098185;-0.470533;-0.260052;-1.000000;
6.000792;0.367622;-0.142865;0.733623;0.727023;0.098185;-0.470534;-0.260053;-1.000000;
6.000793;0.367622;-0.142869;0.733622;0.727022;0.098185;-0.470533;-0.260058;-1.000000;
6.000793;0.367622;-0.142869;0.733622;0.727022;0.098185;-0.470533;-0.260058;-1.000000;
6.000793;0.367622;-0.142869;0.733622;0.727022;0.098185;-0.470533;-0.260058;-1.000000;
6.000793;0.367622;-0.142869;0.733622;0.727022;0.098185;-0.470533;-0.260058;-1.000000;
6.001007;0.367444;-0.144319;0.733076;0.726472;0.098181;-0.470354;-0.262225;-1.000000;
6.001436;0.367205;-0.146396;0.732293;0.725682;0.098180;-0.470115;-0.265338;-1.000000;
6.001864;0.367068;-0.147747;0.731782;0.725165;0.098185;-0.469984;-0.267378;-1.000000;
6.002721;0.367148;-0.148210;0.731602;0.724978;0.098228;-0.470097;-0.268128;-1.000000;
6.002826;0.367193;-0.148057;0.731660;0.725035;0.098237;-0.470149;-0.267908;-1.000000;
6.002826;0.367193;-0.148056;0.731660;0.725035;0.098237;-0.470149;-0.267908;-1.000000;
6.002826;0.367193;-0.148056;0.731660;0.725035;0.098237;-0.470149;-0.267908;-1.000000;
6.002826;0.367193;-0.148056;0.731660;0.725035;0.098237;-0.470149;-0.267908;-1.000000;
6.003105;0.367269;-0.147904;0.731715;0.725088;0.098256;-0.470240;-0.267702;-1.000000;
6.003105;0.367269;-0.147904;0.731715;0.725088;0.098256;-0.470240;-0.267702;-1.000000;
6.003428;0.367394;-0.147505;0.731863;0.725234;0.098282;-0.470386;-0.267135;-1.000000;
6.003932;0.367705;-0.146245;0.732333;0.725701;0.098336;-0.470738;-0.265310;-1.000000;
6.003932;0.367704;-0.146245;0.732333;0.725701;0.098336;-0.470737;-0.265310;-1.000000;
6.004276;0.367940;-0.145264;0.732699;0.726065;0.098376;-0.471004;-0.263887;-1.000000;
6.004964;0.368543;-0.142626;0.733682;0.727043;0.098475;-0.471683;-0.260060;-1.000000;
6.005163;0.368770;-0.141631;0.734051;0.727410;0.098512;-0.471937;-0.258623;-1.000000;
6.005163;0.368766;-0.141634;0.734051;0.727410;0.098510;-0.471933;-0.258622;-1.000000;
6.005182;0.368785;-0.141551;0.734082;0.727441;0.098514;-0.471954;-0.258501;-1.000000;
6.005182;0.368785;-0.141551;0.734082;0.727441;0.098514;-0.471954;-0.258501;-1.000000;
6.005182;0.368785;-0.141548;0.734082;0.727442;0.098514;-0.471955;-0.258498;-1.000000;
6.005182;0.368785;-0.141548;0.734082;0.727442;0.098514;-0.471955;-0.258498;-1.000000;
6.005182;0.368785;-0.141548;0.734082;0.727442;0.098514;-0.471955;-0.258498;-1.000000;
6.005182;0.368785;-0.141548;0.734082;0.727442;0.098514;-0.471955;-0.258498;-1.000000;
6.005505;0.369114;-0.140106;0.734618;0.727975;0.098567;-0.472324;-0.256412;-1.000000;
6.005505;0.369114;-0.140106;0.734618;0.727975;0.098567;-0.472324;-0.256412;-1.000000;
6.005506;0.369114;-0.140106;0.734618;0.727975;0.098567;-0.472324;-0.256412;-1.000000;
6.005506;0.369114;-0.140106;0.734618;0.727975;0.098567;-0.472324;-0.256412;-1.000000;
6.005940;0.369646;-0.137647;0.735530;0.728884;0.098650;-0.472918;-0.252853;-1.000000;
6.006809;0.370999;-0.131166;0.737923;0.731272;0.098850;-0.474419;-0.243497;-1.000000;
6.008548;0.374340;-0.115237;0.743735;0.737069;0.099352;-0.478116;-0.220792;-1.000000;
6.009754;0.376878;-0.103572;0.747918;0.741236;0.099751;-0.480926;-0.204479;-1.000000;
6.009754;0.376857;-0.103597;0.747918;0.741237;0.099745;-0.480901;-0.204475;-1.000000;
6.009756;0.376862;-0.103572;0.747927;0.741246;0.099745;-0.480907;-0.204441;-1.000000;
6.009756;0.376862;-0.103572;0.747927;0.741246;0.099745;-0.480907;-0.204441;-1.000000;
6.009756;0.376862;-0.103572;0.747927;0.741246;0.099745;-0.480907;-0.204440;-1.000000;
6.009756;0.376862;-0.103572;0.747927;0.741246;0.099745;-0.480907;-0.204440;-1.000000;
6.009756;0.376862;-0.103572;0.747927;0.741246;0.099745;-0.480907;-0.204440;-1.000000;
6.009756;0.376862;-0.103572;0.747927;0.741246;0.099745;-0.480907;-0.204440;-1.000000;
6.010256;0.377980;-0.098350;0.749788;0.743100;0.099918;-0.482140;-0.197180;-1.000000;
6.011255;0.380457;-0.086634;0.753928;0.747227;0.100298;-0.484860;-0.181022;-1.000000;
6.013254;0.385915;-0.060790;0.762896;0.756162;0.101139;-0.490826;-0.146042;-1.000000;
6.015252;0.391580;-0.034356;0.771843;0.765070;0.102032;-0.496994;-0.111189;-1.000000;
6.019249;0.401964;0.011887;0.786989;0.780118;0.103766;-0.508294;-0.052372;-1.000000;
6.022847;0.410154;0.045761;0.797703;0.790731;0.105237;-0.517244;-0.010965;-1.000000;
6.026444;0.417023;0.071150;0.805526;0.798444;0.106582;-0.524837;0.019045;-1.000000;
6.030042;0.422681;0.088805;0.810854;0.803655;0.107806;-0.531209;0.039229;-1.000000;
6.033639;0.427352;0.100154;0.814214;0.806894;0.108930;-0.536600;0.051668;-1.000000;
6.037236;0.431285;0.106788;0.816132;0.808688;0.109977;-0.541260;0.058429;-1.000000;
6.040834;0.434707;0.110158;0.817062;0.809492;0.110970;-0.545415;0.061302;-1.000000;
6.048029;0.440646;0.111173;0.817203;0.809372;0.112861;-0.552834;0.060268;-1.000000;
6.055223;0.446290;0.110316;0.816777;0.808680;0.114720;-0.559960;0.056990;-1.000000;
6.069613;0.457592;0.108876;0.815985;0.807344;0.118436;-0.574213;0.050620;-1.000000;
6.098392;0.480643;0.108984;0.815254;0.805472;0.125912;-0.603134;0.041022;-1.000000;
6.113199;0.492552;0.109569;0.815003;0.804598;0.129759;-0.618042;0.036433;-1.000000;
6.113199;0.492565;0.109558;0.815012;0.804615;0.129763;-0.618062;0.036500;-1.000000;
6.122086;0.496407;0.109526;0.814858;0.804257;0.131012;-0.622880;0.034717;-1.000000;
6.139860;0.499261;0.109490;0.814742;0.803987;0.131940;-0.626458;0.033378;-1.000000;
6.157633;0.500299;0.109511;0.814710;0.803901;0.132276;-0.627759;0.032938;-1.000000;
6.193180;0.500687;0.109546;0.814706;0.803875;0.132401;-0.628244;0.032798;-1.000000;
6.228728;0.500730;0.109557;0.814708;0.803875;0.132415;-0.628298;0.032794;-1.000000;
6.299822;0.500784;0.109564;0.814708;0.803872;0.132432;-0.628364;0.032777;-1.000000;
6.335506;0.500816;0.109566;0.814707;0.803870;0.132442;-0.628404;0.032765;-1.000000;
6.335506;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335531;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335582;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335684;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335786;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335889;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336093;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336297;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336501;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336705;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.337114;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.337522;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.337931;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.338748;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339413;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339413;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339707;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339972;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339972;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.340278;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.340891;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342116;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342120;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342120;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342477;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.343191;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.344620;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.346049;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.348906;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.351764;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.354621;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.357479;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.360337;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.363194;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.368909;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.374624;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.380339;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.386055;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.397485;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.399999;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.399999;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.400240;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.400724;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.401208;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402141;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402141;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402427;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402999;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.404142;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405285;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405335;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405335;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405335;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405335;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405335;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405335;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405516;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405877;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.406599;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.408044;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.409489;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.410933;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.412378;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.413822;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.415267;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.418156;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.420756;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.423357;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.423464;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.423464;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.424007;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.425093;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.427264;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.429435;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.433777;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.438118;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.442460;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.446802;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.455486;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.464170;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.472854;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.490222;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.507590;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.542326;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.573704;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.573704;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.575812;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.575812;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.575823;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.575823;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.581466;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.592752;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.615325;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.653104;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.653104;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.659221;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.671457;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.673786;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.673786;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.680025;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.692502;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.702620;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.702620;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.709026;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.721839;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.747464;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.798713;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.864410;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.864410;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.871740;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.886401;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.901061;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.902620;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.902620;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.910718;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.926912;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.959302;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
7.024081;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
7.153639;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
7.412755;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
7.930987;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
8.967452;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
11.040381;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
11.999998;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
11.999998;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000107;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000326;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000422;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000422;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000423;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000423;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000423;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000423;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000574;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000750;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000750;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.000921;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.001262;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.001944;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.002627;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.002941;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.002941;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.003154;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.003580;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.003666;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.003666;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.003890;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.004336;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.004680;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.004680;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.004848;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.004848;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
12.004848;0.000000;0.000000;0.611556;0.611534;-0.005164;0.000000;0.000000;1.000000;
