time;WT4A_WT_measurementsPQ_PPu;WT4A_WT_measurementsPQ_QPu;WT4A_WT_control4A_UWTPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;WT4A_WT_gridProtection_fOCB;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.001000;1.000160;-0.210037;1.000164;0.976169;0.217766;-0.930281;-0.422694;-1.000000;
0.001000;1.000160;-0.210037;1.000164;0.976169;0.217766;-0.930281;-0.422694;-1.000000;
0.015999;1.000097;-0.210067;1.000158;0.976166;0.217751;-0.930224;-0.422699;-1.000000;
0.045997;1.000033;-0.210094;1.000154;0.976165;0.217735;-0.930167;-0.422699;-1.000000;
0.105993;1.000006;-0.210099;1.000154;0.976167;0.217729;-0.930142;-0.422692;-1.000000;
0.225985;1.000001;-0.210090;1.000157;0.976170;0.217727;-0.930137;-0.422679;-1.000000;
0.465969;1.000001;-0.210071;1.000163;0.976177;0.217726;-0.930136;-0.422655;-1.000000;
0.945937;1.000000;-0.210042;1.000172;0.976186;0.217725;-0.930135;-0.422620;-1.000000;
1.905873;1.000000;-0.210016;1.000180;0.976194;0.217725;-0.930135;-0.422589;-1.000000;
2.000000;1.000000;-0.210016;1.000180;0.976195;0.217725;-0.930134;-0.422589;-1.000000;
2.000000;1.000000;-0.210016;1.000180;0.976195;0.217725;-0.930134;-0.422589;-1.000000;
2.003382;0.995762;-0.210562;1.000257;0.976513;0.216649;-0.926280;-0.421132;-1.000000;
2.010147;0.978440;-0.211779;1.000870;0.978112;0.212224;-0.910494;-0.414071;-1.000000;
2.016911;0.956698;-0.212728;1.001792;0.980256;0.206653;-0.890656;-0.404703;-1.000000;
2.023676;0.932965;-0.213418;1.002838;0.982585;0.200566;-0.868977;-0.394516;-1.000000;
2.037205;0.885596;-0.214438;1.004871;0.987048;0.188417;-0.825659;-0.374862;-1.000000;
2.050734;0.841371;-0.215212;1.006633;0.990924;0.177083;-0.785169;-0.357585;-1.000000;
2.077793;0.769356;-0.216390;1.009200;0.996652;0.158649;-0.719157;-0.331594;-1.000000;
2.101483;0.717773;-0.217110;1.010794;1.000273;0.145462;-0.671807;-0.314744;-1.000000;
2.125174;0.675961;-0.217609;1.011951;1.002934;0.134782;-0.633385;-0.302096;-1.000000;
2.148864;0.642164;-0.217940;1.012805;1.004917;0.126155;-0.602303;-0.292491;-1.000000;
2.172555;0.614867;-0.218148;1.013447;1.006413;0.119190;-0.577181;-0.285118;-1.000000;
2.196245;0.592821;-0.218263;1.013939;1.007558;0.113567;-0.556881;-0.279399;-1.000000;
2.219936;0.575014;-0.218311;1.014321;1.008444;0.109025;-0.540477;-0.274918;-1.000000;
2.243626;0.560753;-0.218293;1.014573;1.009039;0.105392;-0.527320;-0.271754;-1.000000;
2.267317;0.549211;-0.218243;1.014825;1.009600;0.102447;-0.516680;-0.268900;-1.000000;
2.314698;0.533412;-0.218064;1.015224;1.010443;0.098412;-0.502117;-0.264714;-1.000000;
2.362079;0.522669;-0.217814;1.015488;1.010969;0.095667;-0.492200;-0.262042;-1.000000;
2.409460;0.515385;-0.217514;1.015699;1.011356;0.093803;-0.485471;-0.260120;-1.000000;
2.456841;0.510445;-0.217187;1.015877;1.011651;0.092534;-0.480903;-0.258692;-1.000000;
2.551603;0.505374;-0.216492;1.016164;1.012061;0.091221;-0.476201;-0.256833;-1.000000;
2.646366;0.502768;-0.215798;1.016406;1.012366;0.090537;-0.473775;-0.255532;-1.000000;
2.835890;0.500967;-0.214564;1.016790;1.012796;0.090040;-0.472073;-0.253821;-1.000000;
3.025414;0.500343;-0.213527;1.017099;1.013123;0.089850;-0.471463;-0.252572;-1.000000;
3.404463;0.500078;-0.212149;1.017499;1.013534;0.089740;-0.471174;-0.251035;-1.000000;
4.162560;0.500013;-0.210902;1.017858;1.013900;0.089686;-0.471072;-0.249680;-1.000000;
5.678754;0.500002;-0.210229;1.018052;1.014096;0.089663;-0.471040;-0.248955;-1.000000;
5.999999;0.500002;-0.210208;1.018058;1.014102;0.089662;-0.471039;-0.248932;-1.000000;
