time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_PGenPu;GEN____2_SM_generator_PGenPu;GEN____3_SM_generator_PGenPu;GEN____6_SM_generator_PGenPu;GEN____8_SM_generator_PGenPu;GEN____1_SM_generator_QGenPu;GEN____2_SM_generator_QGenPu;GEN____3_SM_generator_QGenPu;GEN____6_SM_generator_QGenPu;GEN____8_SM_generator_QGenPu;
500.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070288;1.057782;1.089854;1.052865;1.048558;1.055855;1.055094;1.050235;1.033719;2.344660;0.419199;0.028284;0.001417;0.004343;-0.368451;0.746999;0.288022;0.211419;0.198433;
510.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344663;0.419201;0.028288;0.001417;0.004343;-0.368452;0.746998;0.288020;0.211421;0.198433;
520.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344663;0.419201;0.028288;0.001417;0.004343;-0.368452;0.746998;0.288020;0.211421;0.198433;
530.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344663;0.419201;0.028288;0.001417;0.004343;-0.368452;0.746998;0.288020;0.211421;0.198433;
540.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344663;0.419201;0.028288;0.001417;0.004343;-0.368452;0.746998;0.288020;0.211421;0.198433;
550.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344663;0.419201;0.028288;0.001417;0.004343;-0.368452;0.746998;0.288020;0.211421;0.198433;
560.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344663;0.419201;0.028288;0.001417;0.004343;-0.368452;0.746998;0.288020;0.211421;0.198433;
570.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344663;0.419201;0.028288;0.001417;0.004343;-0.368452;0.746998;0.288020;0.211421;0.198433;
580.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344663;0.419201;0.028288;0.001417;0.004343;-0.368452;0.746998;0.288020;0.211421;0.198433;
590.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344663;0.419201;0.028288;0.001417;0.004343;-0.368452;0.746998;0.288020;0.211421;0.198433;
600.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344663;0.419201;0.028288;0.001417;0.004343;-0.368452;0.746998;0.288020;0.211421;0.198433;
