INFO |  ============================================================ 
INFO | DYNAWO VERSION  :     1.6.0
INFO | DYNAWO REVISION :    master-e473c85d51
INFO |  ============================================================ 
INFO | 
INFO | -----------------------------------------------------------------------
INFO | building model from input files
INFO | -----------------------------------------------------------------------
INFO | model was built successfully
INFO | -----------------------------------------------------------------------
INFO | 
INFO | -----------------------------------------------------------------------
INFO | starting local initialization
INFO | -----------------------------------------------------------------------
INFO | end of local initialization
INFO | -----------------------------------------------------------------------
INFO | 
INFO | -----------------------------------------------------------------------
INFO | starting global initialization
INFO | -----------------------------------------------------------------------
INFO | end of global initialization
INFO | -----------------------------------------------------------------------
INFO | 
INFO | -----------------------------------------------------------------------
INFO | starting curve initialization
INFO | -----------------------------------------------------------------------
INFO | end of curve initialization, added 19 curves
INFO | -----------------------------------------------------------------------
INFO | 
INFO | -----------------------------------------------------------------------
INFO | starting simulation with solver SimplifiedSolver
INFO | -----------------------------------------------------------------------
INFO | -----------------------------------------------------------------------
INFO | number of continuous variables : 1279
INFO | number of discrete variables : 1679
INFO | number of root functions : 1955
INFO | -----------------------------------------------------------------------
INFO |         time | iter num   Nonlinear iter   jac eval      time step (h)
INFO | -----------------------------------------------------------------------
INFO |        0.000 |        0                0          0              1.000 
INFO |        1.000 |        1                1          1              1.000 
INFO |        2.000 |        2                2          1              1.000 
INFO |        3.000 |        3                3          1              1.000 
INFO |        4.000 |        4                4          1              1.000 
INFO | initial guess of the algebraic solver is accurate, following SimplifiedSolver iterations will be skipped until the next mode change
INFO |        5.000 |        5                4          1              1.000 
INFO |        6.000 |        6                4          1              1.000 
INFO |        7.000 |        7                4          1              1.000 
INFO |        8.000 |        8                4          1              1.000 
INFO |        9.000 |        9                4          1              1.000 
INFO |       10.000 |       10                4          1              1.000 
INFO |       11.000 |       11                4          1              1.000 
INFO |       12.000 |       12                4          1              1.000 
INFO |       13.000 |       13                4          1              1.000 
INFO |       14.000 |       14                4          1              1.000 
INFO |       15.000 |       15                4          1              1.000 
INFO |       16.000 |       16                4          1              1.000 
INFO |       17.000 |       17                4          1              1.000 
INFO |       18.000 |       18                4          1              1.000 
INFO |       19.000 |       19                4          1              1.000 
INFO |       20.000 |       20                4          1              1.000 
INFO |       21.000 |       21                4          1              1.000 
INFO |       22.000 |       22                4          1              1.000 
INFO |       23.000 |       23                4          1              1.000 
INFO |       24.000 |       24                4          1              1.000 
INFO |       25.000 |       25                4          1              1.000 
INFO |       26.000 |       26                4          1              1.000 
INFO |       27.000 |       27                4          1              1.000 
INFO |       28.000 |       28                4          1              1.000 
INFO |       29.000 |       29                4          1              1.000 
INFO |       30.000 |       30                4          1              1.000 
INFO |       31.000 |       31                4          1              1.000 
INFO |       32.000 |       32                4          1              1.000 
INFO |       33.000 |       33                4          1              1.000 
INFO |       34.000 |       34                4          1              1.000 
INFO |       35.000 |       35                4          1              1.000 
INFO |       36.000 |       36                4          1              1.000 
INFO |       37.000 |       37                4          1              1.000 
INFO |       38.000 |       38                4          1              1.000 
INFO |       39.000 |       39                4          1              1.000 
INFO |       40.000 |       40                4          1              1.000 
INFO |       41.000 |       41                4          1              1.000 
INFO |       42.000 |       42                4          1              1.000 
INFO |       43.000 |       43                4          1              1.000 
INFO |       44.000 |       44                4          1              1.000 
INFO |       45.000 |       45                4          1              1.000 
INFO |       46.000 |       46                4          1              1.000 
INFO |       47.000 |       47                4          1              1.000 
INFO |       48.000 |       48                4          1              1.000 
INFO |       49.000 |       49                4          1              1.000 
INFO | Algebraic mode (with J recalculation) change at t = 50
INFO |       50.000 |       50                4          1              1.000 
INFO | calculation of the new starting point of the simulation.
INFO | Algebraic mode change at t = 50
INFO |       50.000 |       50                8          4              1.000 
INFO |       51.000 |       51               11          5              1.000 
INFO |       52.000 |       52               14          5              1.000 
INFO |       53.000 |       53               17          5              1.000 
INFO |       54.000 |       54               19          5              1.000 
INFO |       55.000 |       55               21          5              1.000 
INFO |       56.000 |       56               23          5              1.000 
INFO |       57.000 |       57               25          5              1.000 
INFO |       58.000 |       58               27          5              1.000 
INFO |       59.000 |       59               28          5              1.000 
INFO |       60.000 |       60               29          5              1.000 
INFO |       61.000 |       61               30          5              1.000 
INFO |       62.000 |       62               31          5              1.000 
INFO |       63.000 |       63               32          5              1.000 
INFO |       64.000 |       64               33          5              1.000 
INFO |       65.000 |       65               34          5              1.000 
INFO |       66.000 |       66               35          5              1.000 
INFO |       67.000 |       67               36          5              1.000 
INFO |       68.000 |       68               37          5              1.000 
INFO |       69.000 |       69               38          5              1.000 
INFO |       70.000 |       70               39          5              1.000 
INFO |       71.000 |       71               40          5              1.000 
INFO |       72.000 |       72               41          5              1.000 
INFO |       73.000 |       73               42          5              1.000 
INFO |       74.000 |       74               43          5              1.000 
INFO | initial guess of the algebraic solver is accurate, following SimplifiedSolver iterations will be skipped until the next mode change
INFO |       75.000 |       75               43          5              1.000 
INFO |       76.000 |       76               43          5              1.000 
INFO |       77.000 |       77               43          5              1.000 
INFO |       78.000 |       78               43          5              1.000 
INFO |       79.000 |       79               43          5              1.000 
INFO | Algebraic mode change at t = 80
INFO |       80.000 |       80               43          5              1.000 
INFO | calculation of the new starting point of the simulation.
INFO |       80.000 |       80               45          5              1.000 
INFO |       81.000 |       81               47          5              1.000 
INFO |       82.000 |       82               48          5              1.000 
INFO |       83.000 |       83               49          5              1.000 
INFO |       84.000 |       84               50          5              1.000 
INFO |       85.000 |       85               51          5              1.000 
INFO |       86.000 |       86               52          5              1.000 
INFO |       87.000 |       87               53          5              1.000 
INFO |       88.000 |       88               54          5              1.000 
INFO |       89.000 |       89               55          5              1.000 
INFO | Algebraic mode change at t = 90
INFO |       90.000 |       90               56          5              1.000 
INFO | calculation of the new starting point of the simulation.
INFO |       90.000 |       90               58          5              1.000 
INFO |       91.000 |       91               60          5              1.000 
INFO |       92.000 |       92               61          5              1.000 
INFO |       93.000 |       93               62          5              1.000 
INFO |       94.000 |       94               63          5              1.000 
INFO |       95.000 |       95               64          5              1.000 
INFO |       96.000 |       96               65          5              1.000 
INFO |       97.000 |       97               66          5              1.000 
INFO |       98.000 |       98               67          5              1.000 
INFO |       99.000 |       99               68          5              1.000 
INFO | Algebraic mode change at t = 100
INFO |      100.000 |      100               69          5              1.000 
INFO | calculation of the new starting point of the simulation.
INFO |      100.000 |      100               71          5              1.000 
INFO |      101.000 |      101               73          5              1.000 
INFO |      102.000 |      102               75          5              1.000 
