time;NETWORK_B1_U_value;NETWORK_B1_phi_value;NETWORK_B2_U_value;NETWORK_B2_phi_value;NETWORK_B3_U_value;NETWORK_B4_U_value;NETWORK_B5_U_value;NETWORK_B5_phi_value;NETWORK_B6_U_value;NETWORK_B7_U_value;NETWORK_B8_U_value;NETWORK_B8_phi_value;NETWORK_B9_U_value;NETWORK_B10_U_value;NETWORK_B11_U_value;NETWORK_B11_phi_value;NETWORK_B12_U_value;NETWORK_B13_U_value;NETWORK_B13_phi_value;NETWORK_B14_U_value;NETWORK_B15_U_value;NETWORK_B16_U_value;NETWORK_B17_U_value;NETWORK_B18_U_value;NETWORK_B19_U_value;NETWORK_B20_U_value;NETWORK_B21_U_value;NETWORK_B22_U_value;NETWORK_B23_U_value;NETWORK_B24_U_value;NETWORK_B25_U_value;NETWORK_B26_U_value;NETWORK_B27_U_value;NETWORK_B28_U_value;NETWORK_B29_U_value;NETWORK_B30_U_value;B1-G1_generator_PGenPu;B1-G1_generator_QGenPu;B1-G1_generator_UPu;B2-G1_generator_PGenPu;B2-G1_generator_QGenPu;B2-G1_generator_UPu;B5-G1_generator_PGenPu;B5-G1_generator_QGenPu;B5-G1_generator_UPu;B8-G1_generator_PGenPu;B8-G1_generator_QGenPu;B8-G1_generator_UPu;B11-G1_generator_PGenPu;B11-G1_generator_QGenPu;B11-G1_generator_UPu;B13-G1_generator_PGenPu;B13-G1_generator_QGenPu;B13-G1_generator_UPu;
0.000000;139.920000;0.000000;137.694480;-5.332200;134.980968;133.856997;133.320000;-14.086435;133.764658;132.554542;133.320000;-11.710461;11.401842;34.246473;11.902000;-11.008814;35.244397;11.781000;-15.955799;34.690241;34.460881;34.547984;34.181529;33.983002;33.804782;33.888821;33.872003;33.899857;34.005160;33.676516;33.623871;33.039629;33.871215;133.178215;33.214948;32.835467;2.610403;-0.179005;1.060000;0.400663;0.466330;1.043140;0.000663;0.352239;1.010000;0.000613;0.285413;1.010000;0.000608;0.236526;1.082000;0.000608;0.205722;1.071000;
0.150000;139.920000;0.000000;137.694480;-5.332197;134.980967;133.856990;133.320000;-14.086416;133.764632;132.554594;133.320000;-11.710456;11.401839;34.246282;11.902000;-11.008820;35.244393;11.781000;-15.955803;34.690287;34.460876;34.547892;34.181350;33.982925;33.804658;33.888678;33.871773;33.899642;34.005114;33.676391;33.623837;33.039622;33.871223;133.178206;33.215010;32.835558;2.610401;-0.179005;1.060000;0.400661;0.466332;1.043140;0.000661;0.352236;1.010000;0.000612;0.285419;1.010000;0.000607;0.236527;1.082000;0.000607;0.205731;1.071000;
0.300000;139.920000;0.000000;137.694480;-5.332194;134.980966;133.856983;133.320000;-14.086398;133.764607;132.554645;133.320000;-11.710451;11.401837;34.246093;11.902000;-11.008826;35.244389;11.781000;-15.955808;34.690332;34.460871;34.547800;34.181173;33.982849;33.804536;33.888537;33.871546;33.899429;34.005069;33.676268;33.623803;33.039614;33.871231;133.178197;33.215071;32.835648;2.610399;-0.179004;1.060000;0.400660;0.466333;1.043140;0.000660;0.352234;1.010000;0.000610;0.285424;1.010000;0.000605;0.236528;1.082000;0.000605;0.205739;1.071000;
0.600000;139.920000;0.000000;137.694480;-5.332187;134.980964;133.856968;133.320000;-14.086362;133.764557;132.554745;133.320000;-11.710440;11.401833;34.245722;11.902000;-11.008838;35.244381;11.781000;-15.955818;34.690421;34.460860;34.547620;34.180825;33.982699;33.804295;33.888259;33.871100;33.899011;34.004980;33.676024;33.623736;33.039598;33.871247;133.178179;33.215191;32.835825;2.610394;-0.179003;1.060000;0.400656;0.466336;1.043140;0.000656;0.352228;1.010000;0.000607;0.285435;1.010000;0.000602;0.236530;1.082000;0.000602;0.205756;1.071000;
1.200000;139.920000;0.000000;137.694480;-5.332175;134.980958;133.856938;133.320000;-14.086293;133.764459;132.554935;133.320000;-11.710422;11.401824;34.245007;11.902000;-11.008860;35.244365;11.781000;-15.955843;34.690590;34.460839;34.547273;34.180155;33.982409;33.803830;33.887723;33.870240;33.898204;34.004807;33.675554;33.623606;33.039567;33.871277;133.178144;33.215420;32.836164;2.610386;-0.179001;1.060000;0.400650;0.466342;1.043140;0.000650;0.352218;1.010000;0.000601;0.285456;1.010000;0.000597;0.236534;1.082000;0.000597;0.205788;1.071000;
2.200000;139.920000;0.000000;137.694480;-5.332156;134.980946;133.856889;133.320000;-14.086187;133.764305;132.555228;133.320000;-11.710395;11.401810;34.243895;11.902000;-11.008895;35.244341;11.781000;-15.955894;34.690848;34.460801;34.546732;34.179112;33.981954;33.803104;33.886887;33.868903;33.896950;34.004534;33.674820;33.623399;33.039513;33.871320;133.178086;33.215773;32.836685;2.610373;-0.178999;1.060000;0.400641;0.466350;1.043140;0.000641;0.352203;1.010000;0.000593;0.285489;1.010000;0.000588;0.236541;1.082000;0.000588;0.205839;1.071000;
3.200000;139.920000;0.000000;137.694480;-5.332139;134.980931;133.856840;133.320000;-14.086090;133.764161;132.555490;133.320000;-11.710374;11.401797;34.242876;11.902000;-11.008925;35.244317;11.781000;-15.955955;34.691079;34.460762;34.546235;34.178157;33.981534;33.802437;33.886120;33.867679;33.895801;34.004279;33.674144;33.623206;33.039457;33.871355;133.178029;33.216089;32.837155;2.610363;-0.178996;1.060000;0.400633;0.466359;1.043140;0.000633;0.352189;1.010000;0.000585;0.285520;1.010000;0.000581;0.236547;1.082000;0.000581;0.205888;1.071000;
4.200000;139.920000;0.000000;137.694480;-5.332125;134.980914;133.856791;133.320000;-14.086003;133.764027;132.555725;133.320000;-11.710357;11.401786;34.241943;11.902000;-11.008951;35.244296;11.781000;-15.956025;34.691285;34.460723;34.545779;34.177282;33.981146;33.801822;33.885414;33.866558;33.894748;34.004042;33.673522;33.623025;33.039401;33.871385;133.177972;33.216375;32.837580;2.610353;-0.178993;1.060000;0.400626;0.466366;1.043140;0.000626;0.352176;1.010000;0.000579;0.285548;1.010000;0.000574;0.236552;1.082000;0.000574;0.205933;1.071000;
5.200000;139.920000;0.000000;137.694480;-5.332113;134.980896;133.856743;133.320000;-14.085923;133.763902;132.555936;133.320000;-11.710345;11.401775;34.241089;11.902000;-11.008975;35.244275;11.781000;-15.956099;34.691469;34.460684;34.545362;34.176481;33.980788;33.801259;33.884768;33.865532;33.893785;34.003821;33.672950;33.622857;33.039345;33.871409;133.177918;33.216631;32.837964;2.610345;-0.178991;1.060000;0.400620;0.466374;1.043140;0.000620;0.352165;1.010000;0.000574;0.285575;1.010000;0.000569;0.236558;1.082000;0.000569;0.205975;1.071000;
6.200000;139.920000;0.000000;137.694480;-5.332102;134.980877;133.856696;133.320000;-14.085851;133.763786;132.556125;133.320000;-11.710335;11.401764;34.240308;11.902000;-11.008996;35.244256;11.781000;-15.956179;34.691634;34.460644;34.544979;34.175749;33.980457;33.800741;33.884175;33.864595;33.892904;34.003615;33.672425;33.622700;33.039290;33.871428;133.177865;33.216861;32.838310;2.610338;-0.178989;1.060000;0.400615;0.466381;1.043140;0.000615;0.352154;1.010000;0.000569;0.285599;1.010000;0.000564;0.236563;1.082000;0.000564;0.206015;1.071000;
7.200000;139.920000;0.000000;137.694480;-5.332092;134.980857;133.856651;133.320000;-14.085785;133.763679;132.556295;133.320000;-11.710328;11.401755;34.239595;11.902000;-11.009014;35.244239;11.781000;-15.956261;34.691781;34.460606;34.544629;34.175080;33.980153;33.800265;33.883632;33.863738;33.892099;34.003424;33.671943;33.622554;33.039235;33.871443;133.177814;33.217068;32.838622;2.610332;-0.178987;1.060000;0.400611;0.466387;1.043140;0.000611;0.352145;1.010000;0.000565;0.285622;1.010000;0.000560;0.236567;1.082000;0.000560;0.206052;1.071000;
8.200000;139.920000;0.000000;137.694480;-5.332084;134.980836;133.856607;133.320000;-14.085726;133.763578;132.556446;133.320000;-11.710324;11.401746;34.238941;11.902000;-11.009030;35.244222;11.781000;-15.956345;34.691911;34.460568;34.544307;34.174466;33.979872;33.799828;33.883133;33.862953;33.891361;34.003245;33.671499;33.622418;33.039182;33.871455;133.177764;33.217254;32.838904;2.610327;-0.178985;1.060000;0.400607;0.466393;1.043140;0.000607;0.352137;1.010000;0.000561;0.285644;1.010000;0.000557;0.236571;1.082000;0.000557;0.206086;1.071000;
9.200000;139.920000;0.000000;137.694480;-5.332077;134.980815;133.856565;133.320000;-14.085672;133.763486;132.556583;133.320000;-11.710322;11.401738;34.238343;11.902000;-11.009044;35.244207;11.781000;-15.956428;34.692029;34.460531;34.544013;34.173906;33.979614;33.799427;33.882676;33.862236;33.890687;34.003081;33.671092;33.622291;33.039130;33.871464;133.177718;33.217422;32.839159;2.610323;-0.178983;1.060000;0.400604;0.466399;1.043140;0.000604;0.352129;1.010000;0.000559;0.285663;1.010000;0.000554;0.236575;1.082000;0.000554;0.206118;1.071000;
