time;NETWORK__KANA___1_TN_Upu_value;NETWORK__TURN___2_TN_Upu_value;NETWORK__LOGA___3_TN_Upu_value;NETWORK__BEAV___6_TN_Upu_value;NETWORK__CLIN___8_TN_Upu_value;NETWORK__SALT___9_TN_Upu_value;NETWORK__GLEN__12_TN_Upu_value;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____9_SM_generator_PGen;GEN___12_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____9_SM_generator_QGen;GEN___12_SM_generator_QGen;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;GEN____1_SM_generator_UStatorPu;GEN____2_SM_generator_UStatorPu;GEN____3_SM_generator_UStatorPu;GEN____6_SM_generator_UStatorPu;GEN____8_SM_generator_UStatorPu;GEN____9_SM_generator_UStatorPu;GEN___12_SM_generator_UStatorPu;NETWORK__BEAV___6-BUS____7-1_AC_P2_value;NETWORK__BUS____7-CLIN___8-1_AC_P1_value;
0;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457701;39.9251;0.086802;449.871;0.13944;310.018;128.851;-0.722108;-1.00194;0.89944;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.04759;1.00995;0.984878;0.980071;1.01073;0.980139;1.02261;0.178225;-0.779087;
1;1.04;1.00999;0.984955;0.979985;1.00496;0.979992;1.01504;478.664;0.00165139;40.0002;0.00611949;449.998;0.0104642;310.008;128.856;-0.724617;-1.02401;0.923354;61.9949;2.32624;128.764;1;1;1;1;1;1;1;1.04759;1.00995;0.984875;0.980069;1.01073;0.980136;1.02262;0.178428;-0.779305;
1;1.04002;1.01;0.984791;0.977407;1.00739;0.980387;1.01509;478.975;0.680138;43.803;26.146;427.508;-6.73137;308.888;128.764;-0.73611;-0.568518;7.61405;57.2396;0.961382;128.67;1;1;1;1;1;1;1;1.0476;1.00995;0.98475;0.978106;1.01269;0.980446;1.02266;0.274251;-0.873856;
2;1.04012;1.00997;0.984506;0.976164;1.0069;0.980419;1.01524;479.012;0.457748;40.5731;1.54728;448.994;-0.613603;309.948;128.305;-0.629998;0.798475;14.1936;54.9574;0.431664;127.951;0.999986;0.999982;0.999969;0.999909;1.00005;1.00002;1;1.04768;1.00993;0.984578;0.977462;1.01208;0.980446;1.02276;0.437655;-1.0278;
2;1.04012;1.00997;0.984506;0.976164;1.0069;0.980419;1.01524;479.012;0.457748;40.5731;1.54728;448.994;-0.613603;309.948;128.305;-0.629998;0.798475;14.1936;54.9574;0.431665;127.951;0.999986;0.999982;0.999969;0.999909;1.00005;1.00002;1;1.04768;1.00993;0.984578;0.977462;1.01208;0.980446;1.02276;0.437655;-1.0278;
3;1.04013;1.00997;0.984571;0.976554;1.00666;0.980341;1.01523;478.819;0.120514;39.9468;-0.631377;450.764;0.593157;310.345;128.153;-0.594875;0.907565;15.5556;54.1633;0.281698;127.769;0.999984;0.999983;0.999981;0.999973;0.999997;0.999991;0.999988;1.04768;1.00994;0.984653;0.977976;1.01178;0.980358;1.02275;0.454111;-1.04333;
3;1.04013;1.00997;0.984571;0.976554;1.00666;0.980341;1.01523;478.819;0.120514;39.9468;-0.631367;450.764;0.59316;310.345;128.153;-0.594876;0.907565;15.5556;54.1633;0.2817;127.769;0.999984;0.999983;0.999981;0.999973;0.999997;0.999991;0.999988;1.04768;1.00994;0.984653;0.977976;1.01178;0.980358;1.02275;0.454111;-1.04333;
4;1.04011;1.00997;0.984618;0.97681;1.00652;0.980275;1.0152;478.835;0.153664;40.0867;-0.0376864;450.275;0.337963;310.254;128.106;-0.59217;0.831912;15.7701;53.8143;0.407934;127.797;0.999982;0.999982;0.999982;0.999983;0.999983;0.999981;0.999981;1.04766;1.00994;0.984694;0.978252;1.01161;0.9803;1.02272;0.450287;-1.03977;
5;1.0401;1.00997;0.984629;0.976891;1.00643;0.980244;1.01518;478.859;0.194109;40.1434;0.13528;450.144;0.195572;310.199;128.084;-0.585463;0.805312;15.8711;53.5959;0.532969;127.819;0.99998;0.99998;0.99998;0.99998;0.999981;0.999979;0.999979;1.04765;1.00994;0.984702;0.978341;1.0115;0.980277;1.0227;0.449097;-1.03865;
6;1.0401;1.00997;0.98463;0.976913;1.00638;0.980233;1.01518;478.859;0.195572;40.1432;0.136288;450.141;0.183896;310.194;128.069;-0.576233;0.800448;15.9314;53.464;0.608842;127.824;0.999978;0.999978;0.999978;0.999978;0.999979;0.999978;0.999978;1.04764;1.00994;0.984703;0.978369;1.01144;0.980271;1.0227;0.449126;-1.03866;
