2024-04-25 11:05:06 | INFO |  ============================================================ 
2024-04-25 11:05:06 | INFO | DYNAWO VERSION  :     1.7.0
2024-04-25 11:05:06 | INFO | DYNAWO REVISION :  master-18-cf2130ea6f
2024-04-25 11:05:06 | INFO |  ============================================================ 
2024-04-25 11:05:07 | DEBUG | ------------------------------
2024-04-25 11:05:07 | DEBUG | Equations init
2024-04-25 11:05:07 | DEBUG | ------------------------------
2024-04-25 11:05:07 | DEBUG | 0 irConnection_ - y_[irNum_] localModel:VL1_BUS1 model: NETWORK
2024-04-25 11:05:07 | DEBUG | 1 iiConnection_ - y_[iiNum_] localModel:VL1_BUS1 model: NETWORK
2024-04-25 11:05:07 | DEBUG | 2 irConnection_ - y_[irNum_] localModel:VL2_BUS1 model: NETWORK
2024-04-25 11:05:07 | DEBUG | 3 iiConnection_ - y_[iiNum_] localModel:VL2_BUS1 model: NETWORK
2024-04-25 11:05:07 | DEBUG | 4 $DAEres1 = generator.u0Pu.im * generator.i0Pu.im + generator.u0Pu.re * generator.i0Pu.re - generator.P0Pu model: Generator
2024-04-25 11:05:07 | DEBUG | 5 $DAEres0 = generator.u0Pu.im * generator.i0Pu.re + (-generator.u0Pu.re) * generator.i0Pu.im - generator.Q0Pu model: Generator
2024-04-25 11:05:07 | DEBUG | 6 $DAEres1 = load.u0Pu.im * load.i0Pu.im + load.u0Pu.re * load.i0Pu.re - load.P0Pu model: Load2
2024-04-25 11:05:07 | DEBUG | 7 $DAEres0 = load.u0Pu.im * load.i0Pu.re + (-load.u0Pu.re) * load.i0Pu.im - load.Q0Pu model: Load2
2024-04-25 11:05:07 | DEBUG | ------------------------------
2024-04-25 11:05:07 | DEBUG | Equations
2024-04-25 11:05:07 | DEBUG | ------------------------------
2024-04-25 11:05:07 | DEBUG | 0 irConnection_ - y_[irNum_] localModel:VL1_BUS1 model: NETWORK
2024-04-25 11:05:07 | DEBUG | 1 iiConnection_ - y_[iiNum_] localModel:VL1_BUS1 model: NETWORK
2024-04-25 11:05:07 | DEBUG | 2 irConnection_ - y_[irNum_] localModel:VL2_BUS1 model: NETWORK
2024-04-25 11:05:07 | DEBUG | 3 iiConnection_ - y_[iiNum_] localModel:VL2_BUS1 model: NETWORK
2024-04-25 11:05:07 | DEBUG | 4 $DAEres6 = generator.terminal.V.re * generator.terminal.i.im + (-generator.terminal.V.im) * generator.terminal.i.re - generator.QGenPu model: Generator
2024-04-25 11:05:07 | DEBUG | 5 $DAEres4 = (-generator.terminal.V.re) * generator.terminal.i.re - generator.PGenPu - generator.terminal.V.im * generator.terminal.i.im model: Generator
2024-04-25 11:05:07 | DEBUG | 6 generator._PGenRawPu = if generator.running.value then generator.PGen0Pu - (-0.01) * generator.deltaPmRefPu.value * generator.PNom - generator.AlphaPu * (generator.omegaRefPu.value - 1.0) else 0.0 model: Generator
2024-04-25 11:05:07 | DEBUG | 7 $DAEres5 = if generator.running.value then generator.QGenPu - generator.QGen0Pu else generator.terminal.i.im model: Generator
2024-04-25 11:05:07 | DEBUG | 8 $DAEres7 = if generator.running.value then generator.PGenPu - (if generator.pStatus == Dynawo.Electrical.Machines.OmegaRef.GeneratorPQ.PStatus.LimitPMax then generator.PMaxPu else if generator.pStatus == Dynawo.Electrical.Machines.OmegaRef.GeneratorPQ.PStatus.LimitPMin then generator.PMinPu else generator.PGenRawPu) else generator.terminal.i.re model: Generator
2024-04-25 11:05:07 | DEBUG | 9 $DAEres10 = load.terminal.V.im * load.terminal.i.re + (-load.terminal.V.re) * load.terminal.i.im - load.QPu model: Load2
2024-04-25 11:05:07 | DEBUG | 10 $DAEres9 = load.terminal.V.im * load.terminal.i.im + load.terminal.V.re * load.terminal.i.re - load.PPu model: Load2
2024-04-25 11:05:07 | DEBUG | 11 $DAEres6 = if load.running.value then load.Tp * der(load.zPRaw) - (((load.terminal.V.re ^ 2.0 + load.terminal.V.im ^ 2.0) / (load.u0Pu.re ^ 2.0 + load.u0Pu.im ^ 2.0)) ^ (0.5 * load.alphaLong) - load.zPRaw * ((load.terminal.V.re ^ 2.0 + load.terminal.V.im ^ 2.0) / (load.u0Pu.re ^ 2.0 + load.u0Pu.im ^ 2.0)) ^ (0.5 * load.alpha)) else load.Tp * der(load.zPRaw) model: Load2
2024-04-25 11:05:07 | DEBUG | 12 $DAEres7 = if load.running.value then load.Tq * der(load.zQRaw) - (((load.terminal.V.re ^ 2.0 + load.terminal.V.im ^ 2.0) / (load.u0Pu.re ^ 2.0 + load.u0Pu.im ^ 2.0)) ^ (0.5 * load.betaLong) - load.zQRaw * ((load.terminal.V.re ^ 2.0 + load.terminal.V.im ^ 2.0) / (load.u0Pu.re ^ 2.0 + load.u0Pu.im ^ 2.0)) ^ (0.5 * load.beta)) else load.Tq * der(load.zQRaw) model: Load2
