time;NETWORK__BUS____9-BUS___10-1_AC_P1;NETWORK__BUS____5-BUS____6-1_PS_P1;NETWORK__BUS____5-BUS____6-1_PS_step;PhaseShifter_phaseShifter_state;PhaseShifter_phaseShifter_valueMax;PhaseShifter_phaseShifter_valueMin;PhaseShifter_phaseShifter_PMonitored;PhaseShifter_phaseShifter_valueUnderMin;PhaseShifter_phaseShifter_valueAboveMax;
0.000000;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.000001;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.000002;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.000004;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.000008;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.000016;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.000032;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.000064;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.000128;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.000256;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.000512;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.001024;0.052230;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.002048;0.052231;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.004096;0.052231;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.008192;0.052232;0.440875;7.000000;4.000000;0.445000;0.435000;0.440875;-1.000000;-1.000000;
0.016384;0.052233;0.440875;7.000000;4.000000;0.445000;0.435000;0.440875;-1.000000;-1.000000;
0.029299;0.052234;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.029299;0.052234;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.029299;0.052234;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.032768;0.052235;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050422;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050422;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050423;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050424;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050426;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050430;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050438;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
