time;NETWORK__KANA___1_TN_U_value;NETWORK__TURN___2_TN_U_value;NETWORK__LOGA___3_TN_U_value;NETWORK__BEAV___6_TN_U_value;NETWORK__CLIN___8_TN_U_value;NETWORK__SALT___9_TN_U_value;NETWORK__GLEN__12_TN_U_value;_LOAD___1_EC_transformerT_tapChanger_UTarget;_LOAD___1_EC_transformerT_tapChanger_UMonitored_value;_LOAD___1_EC_transformerT_tapChanger_tap_value;_LOAD___1_EC_transformerT_tapChanger_tapMax;_LOAD___1_EC_transformerT_tapChanger_tapMin;_LOAD__38_EC_transformer_tapChanger_UTarget;_LOAD__38_EC_transformer_tapChanger_UMonitored_value;_LOAD__38_EC_transformer_tapChanger_tap_value;_LOAD__38_EC_transformer_tapChanger_tapMax;_LOAD__38_EC_transformer_tapChanger_tapMin;_LOAD__38_EC_load_PPu;_LOAD__38_EC_load_QPu;
0.000000;71.759934;69.689485;67.961973;67.619228;69.342319;67.619811;70.037721;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005976;10.000000;16.000000;0.000000;0.140002;0.067613;
1.000000;71.759917;69.689630;67.961894;67.618920;69.341935;67.619439;70.037849;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005973;10.000000;16.000000;0.000000;0.140002;0.067613;
1.000000;71.759917;69.689630;67.961894;67.618920;69.341935;67.619439;70.037849;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005973;10.000000;16.000000;0.000000;0.140002;0.067613;
2.000000;71.759951;69.689672;67.961738;67.618977;69.341759;67.619483;70.038142;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005974;10.000000;16.000000;0.000000;0.140002;0.067613;
2.000000;71.759951;69.689672;67.961738;67.618977;69.341759;67.619483;70.038142;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005974;10.000000;16.000000;0.000000;0.140002;0.067613;
3.000000;71.759971;69.689687;67.961671;67.619017;69.341665;67.619520;70.038301;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
4.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
5.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
6.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
7.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
8.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
9.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
10.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
11.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
12.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
13.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
14.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
15.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
16.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
17.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
18.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
19.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
20.000000;71.759978;69.689694;67.961646;67.619030;69.341607;67.619531;70.038378;1.025000;1.022740;13.000000;24.000000;0.000000;1.010000;1.005975;10.000000;16.000000;0.000000;0.140002;0.067613;
