time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;
0;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
1e-06;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
3e-06;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
7e-06;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
1.5e-05;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
3.1e-05;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
6.3e-05;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.000127;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.000255;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.000511;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.001023;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.002047;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.004095;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.008191;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.016383;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.032767;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.065535;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.131071;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.262143;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
0.524287;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
1.04858;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
2.09715;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
4.1943;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
8.38861;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
16.7772;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
26.7772;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
36.7772;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
46.7772;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
56.7772;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
66.7772;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
76.7772;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
86.7772;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
96.7772;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
100;1.06;1.045;1.01;1.01849;1.02109;1.07;1.06203;1.09;1.05772;1.05247;1.05767;1.05532;1.05065;1.03668;
