time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_PGenPu;GEN____2_SM_generator_PGenPu;GEN____3_SM_generator_PGenPu;GEN____6_SM_generator_PGenPu;GEN____8_SM_generator_PGenPu;GEN____1_SM_generator_QGenPu;GEN____2_SM_generator_QGenPu;GEN____3_SM_generator_QGenPu;GEN____6_SM_generator_QGenPu;GEN____8_SM_generator_QGenPu;
0.000000;1.060000;1.045072;1.010000;1.017605;1.019474;1.070290;1.061359;1.089855;1.055726;1.050842;1.056936;1.055373;1.050588;1.035542;2.325757;0.401718;0.002530;0.000127;0.000388;-0.166804;0.438281;0.249681;0.135100;0.176309;
10.000000;1.060000;1.045072;1.010000;1.017602;1.019471;1.070290;1.061355;1.089855;1.055720;1.050837;1.056933;1.055371;1.050582;1.035517;2.325799;0.401756;0.002587;0.000130;0.000397;-0.166798;0.438303;0.249674;0.135163;0.176332;
10.000000;1.060000;1.045072;1.010000;1.008949;1.006723;1.070290;1.057854;1.089855;1.052954;1.048650;1.055903;1.055111;1.050270;1.033862;2.342219;0.416941;0.024958;0.001250;0.003832;-0.423421;0.745391;0.288666;0.210326;0.197975;
20.000000;1.060000;1.045072;1.010000;1.008892;1.006664;1.070290;1.057825;1.089855;1.052921;1.048622;1.055889;1.055105;1.050256;1.033800;2.343402;0.418035;0.026570;0.001331;0.004079;-0.423643;0.746137;0.288348;0.210848;0.198175;
20.000000;1.060000;1.045072;1.010000;1.008891;1.006663;1.070290;1.057823;1.089855;1.052917;1.048617;1.055886;1.055104;1.050255;1.033797;2.343417;0.418049;0.026590;0.001332;0.004082;-0.423646;0.746153;0.288347;0.210870;0.198187;
30.000000;1.060000;1.045072;1.010000;1.008860;1.006631;1.070290;1.057803;1.089855;1.052892;1.048589;1.055872;1.055100;1.050246;1.033760;2.344036;0.418621;0.027433;0.001374;0.004212;-0.423761;0.746563;0.288183;0.211140;0.198308;
40.000000;1.060000;1.045072;1.010000;1.008844;1.006615;1.070290;1.057794;1.089855;1.052879;1.048575;1.055864;1.055098;1.050242;1.033741;2.344350;0.418912;0.027861;0.001396;0.004278;-0.423820;0.746772;0.288100;0.211278;0.198369;
50.000000;1.060000;1.045072;1.010000;1.008836;1.006607;1.070290;1.057788;1.089855;1.052873;1.048567;1.055861;1.055097;1.050240;1.033731;2.344510;0.419059;0.028079;0.001407;0.004311;-0.423850;0.746878;0.288058;0.211348;0.198401;
60.000000;1.060000;1.045072;1.010000;1.008832;1.006603;1.070290;1.057786;1.089855;1.052869;1.048564;1.055859;1.055097;1.050238;1.033726;2.344591;0.419134;0.028189;0.001412;0.004328;-0.423865;0.746932;0.288036;0.211384;0.198417;
70.000000;1.060000;1.045072;1.010000;1.008830;1.006600;1.070290;1.057785;1.089855;1.052868;1.048562;1.055858;1.055097;1.050238;1.033724;2.344632;0.419172;0.028245;0.001415;0.004337;-0.423873;0.746959;0.288025;0.211402;0.198425;
80.000000;1.060000;1.045072;1.010000;1.008829;1.006599;1.070290;1.057784;1.089855;1.052867;1.048561;1.055857;1.055096;1.050238;1.033722;2.344652;0.419191;0.028273;0.001416;0.004341;-0.423877;0.746973;0.288020;0.211412;0.198429;
90.000000;1.060000;1.045072;1.010000;1.008829;1.006599;1.070290;1.057784;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033722;2.344663;0.419201;0.028287;0.001417;0.004343;-0.423879;0.746980;0.288017;0.211416;0.198431;
100.000000;1.060000;1.045072;1.010000;1.008828;1.006598;1.070290;1.057783;1.089855;1.052866;1.048560;1.055857;1.055096;1.050237;1.033721;2.344668;0.419206;0.028294;0.001418;0.004344;-0.423880;0.746983;0.288016;0.211419;0.198432;
