        (-46.5812,0)
        (-32.9085,0)
        (-24.0872,0)
        (-19.7843,0)
        (-17.0015,0)
        (-16.2625,0)
        (-14.5779,0)
        (-14.3325,0)
        (-10.4683,0)
 (-0.577478,8.89481)
(-0.577478,-8.89481)
   (-1.13029,6.2673)
  (-1.13029,-6.2673)
 (-0.625164,6.37094)
(-0.625164,-6.37094)
 (-0.570346,4.01965)
(-0.570346,-4.01965)
        (-3.42935,0)
        (-2.26173,0)
        (-2.03987,0)
        (-1.78932,0)
        (-1.84468,0)
        (-1.45822,0)
       (-0.404594,0)
       (-0.593242,0)
        (-0.87052,0)
       (-0.685378,0)
     (3.10472e-15,0)
     (6.88629e-17,0)
    (-1.38964e-23,0)
