time;NETWORK_L-4-5-1 _P1_value;NETWORK_L-4-5-1 _Q1_value;NETWORK_L-4-5-1 _P2_value;NETWORK_L-4-5-1 _Q2_value;B1-G1 _generator_PGenPu;B1-G1 _generator_QGenPu;B2-G1 _generator_PGenPu;B2-G1 _generator_QGenPu;B3-G1 _generator_PGenPu;B3-G1 _generator_QGenPu;
0.000000;0.412210;0.213377;-0.409547;-0.357173;0.719458;0.240673;1.630022;0.144593;0.850020;-0.036497;
10.000000;0.412217;0.213386;-0.409555;-0.357181;0.719465;0.240684;1.630030;0.144601;0.850027;-0.036492;
20.000000;0.412217;0.213386;-0.409555;-0.357181;0.719465;0.240684;1.630030;0.144601;0.850027;-0.036492;
30.000000;0.412217;0.213386;-0.409555;-0.357181;0.719465;0.240684;1.630030;0.144601;0.850027;-0.036492;
40.000000;0.412217;0.213386;-0.409555;-0.357181;0.719465;0.240684;1.630030;0.144601;0.850027;-0.036492;
50.000000;0.412217;0.213386;-0.409555;-0.357181;0.719465;0.240684;1.630030;0.144601;0.850027;-0.036492;
60.000000;0.412217;0.213386;-0.409555;-0.357181;0.719465;0.240684;1.630030;0.144601;0.850027;-0.036492;
70.000000;0.412217;0.213386;-0.409555;-0.357181;0.719465;0.240684;1.630030;0.144601;0.850027;-0.036492;
80.000000;0.412217;0.213386;-0.409555;-0.357181;0.719465;0.240684;1.630030;0.144601;0.850027;-0.036492;
90.000000;0.412217;0.213386;-0.409555;-0.357181;0.719465;0.240684;1.630030;0.144601;0.850027;-0.036492;
100.000000;0.412217;0.213386;-0.409555;-0.357181;0.719465;0.240684;1.630030;0.144601;0.850027;-0.036492;
100.000000;0.700391;0.180387;-0.694647;-0.298739;0.700391;0.211212;1.607142;0.177065;0.829428;0.146817;
110.000000;0.709976;0.179572;-0.704097;-0.296801;0.709976;0.211175;1.618643;0.186567;0.839779;0.176401;
110.000000;0.709085;0.179535;-0.703220;-0.296879;0.709085;0.211062;1.617574;0.185743;0.838816;0.173540;
120.000000;0.709490;0.178909;-0.703623;-0.296256;0.709490;0.210455;1.618060;0.186474;0.839254;0.174415;
130.000000;0.709683;0.178574;-0.703815;-0.295926;0.709683;0.210128;1.618291;0.186833;0.839462;0.174807;
140.000000;0.709790;0.178398;-0.703921;-0.295752;0.709790;0.209956;1.618420;0.187033;0.839578;0.175062;
150.000000;0.709843;0.178304;-0.703975;-0.295659;0.709843;0.209864;1.618484;0.187134;0.839636;0.175191;
160.000000;0.709870;0.178254;-0.704001;-0.295610;0.709870;0.209815;1.618516;0.187186;0.839664;0.175257;
170.000000;0.709870;0.178229;-0.704002;-0.295587;0.709870;0.209789;1.618516;0.187207;0.839665;0.175270;
180.000000;0.709884;0.178214;-0.704015;-0.295572;0.709884;0.209775;1.618533;0.187223;0.839679;0.175299;
190.000000;0.709890;0.178206;-0.704022;-0.295564;0.709890;0.209768;1.618540;0.187231;0.839686;0.175313;
200.000000;0.709915;0.178202;-0.704046;-0.295557;0.709915;0.209766;1.618570;0.187254;0.839713;0.175383;
210.000000;0.709906;0.178200;-0.704037;-0.295556;0.709906;0.209763;1.618559;0.187248;0.839703;0.175358;
