time;NETWORK__BUS____3-BUS____4-1_AC_iSide1_value;NETWORK__BUS____3-BUS____4-1_AC_iSide2_value;NETWORK__BUS___10-BUS___11-1_AC_iSide1_value;NETWORK__BUS___10-BUS___11-1_AC_iSide2_value;NETWORK__BUS___12-BUS___13-1_AC_iSide1_value;NETWORK__BUS___12-BUS___13-1_AC_iSide2_value;NETWORK__BUS___13-BUS___14-1_AC_iSide1_value;NETWORK__BUS___13-BUS___14-1_AC_iSide2_value;NETWORK__BUS____1-BUS____2-1_AC_iSide1_value;NETWORK__BUS____1-BUS____2-1_AC_iSide2_value;NETWORK__BUS____4-BUS____9-1_PT_iSide1_value;NETWORK__BUS____4-BUS____9-1_PT_iSide2_value;
0.000000;194.813290;196.924792;164.438304;164.438304;70.109135;70.109135;235.299747;235.299747;1249.360097;1242.189951;133.017451;644.469575;
10.000000;194.776565;196.888408;164.476246;164.476246;70.157899;70.157899;235.530717;235.530717;1249.370968;1242.200757;133.035079;644.554986;
20.000000;194.757681;196.869702;164.495668;164.495668;70.182856;70.182856;235.648926;235.648926;1249.376540;1242.206296;133.044097;644.598677;
30.000000;194.747976;196.860088;164.505622;164.505622;70.195640;70.195640;235.709474;235.709474;1249.379404;1242.209143;133.048712;644.621039;
40.000000;194.742993;196.855152;164.510719;164.510719;70.202182;70.202182;235.740454;235.740454;1249.380875;1242.210605;133.051072;644.632474;
50.000000;194.740435;196.852618;164.513327;164.513327;70.205527;70.205527;235.756297;235.756297;1249.381630;1242.211355;133.052279;644.638318;
60.000000;194.739123;196.851318;164.514661;164.514661;70.207237;70.207237;235.764397;235.764397;1249.382018;1242.211741;133.052895;644.641305;
70.000000;194.738449;196.850651;164.515343;164.515343;70.208112;70.208112;235.768538;235.768538;1249.382216;1242.211938;133.053210;644.642831;
80.000000;194.738104;196.850309;164.515692;164.515692;70.208559;70.208559;235.770655;235.770655;1249.382319;1242.212040;133.053371;644.643610;
90.000000;194.738104;196.850309;164.515692;164.515692;70.208559;70.208559;235.770655;235.770655;1249.382319;1242.212040;133.053371;644.643610;
100.000000;194.738104;196.850309;164.515692;164.515692;70.208559;70.208559;235.770655;235.770655;1249.382319;1242.212040;133.053371;644.643610;
100.000000;87.847789;92.319117;152.339217;152.339217;68.955754;68.955754;219.403136;219.403136;1871.602461;1861.978223;139.528291;676.014596;
110.000000;86.704286;91.209409;152.549297;152.549297;69.043580;69.043580;219.818338;219.818338;1872.535075;1862.908417;139.512163;675.936460;
110.000000;86.690078;91.196065;152.616814;152.616814;69.047691;69.047691;219.836917;219.836917;1872.547876;1862.921186;139.516967;675.959733;
