time;NETWORK_B1_U_value;NETWORK_B2_U_value;NETWORK_B3_U_value;NETWORK_B4_U_value;NETWORK_B5_U_value;NETWORK_B6_U_value;NETWORK_B7_U_value;NETWORK_B8_U_value;NETWORK_B9_U_value;NETWORK_B10_U_value;NETWORK_B11_U_value;NETWORK_B12_U_value;NETWORK_B13_U_value;NETWORK_B14_U_value;NETWORK_B15_U_value;B1-G1_generator_omegaPu;B1-G1_generator_PGen;B1-G1_generator_QGen;B8-G1_generator_PGen;B10-G1_generator_PGen;B12-G1_generator_PGen;B19-G1_generator_PGen;B54-G1_generator_PGen;B59-G1_generator_PGen;B116-G1_generator_PGen;B112-G1_generator_PGen;B110-G1_generator_PGen;B8-G1_generator_QGen;B10-G1_generator_QGen;B12-G1_generator_QGen;B116-G1_generator_QGen;B112-G1_generator_QGen;
0.000000;131.791203;134.053840;133.542888;137.725542;138.275449;136.621441;136.528866;140.071847;143.924037;144.900656;135.944041;136.621923;133.627495;135.737450;133.861646;1.000000;-0.001477;-3.109471;-0.002523;449.998745;84.999295;-0.003667;47.990920;155.070028;-0.001133;0.000080;-0.000290;62.748225;-51.058786;91.292980;51.321061;41.511550;
0.000010;131.791203;134.053840;133.542888;137.725542;138.275449;136.621440;136.528866;140.071847;143.924037;144.900656;135.944041;136.621923;133.627495;135.737450;133.861646;1.000000;-0.001477;-3.109471;-0.002523;449.998745;84.999296;-0.003667;47.990921;155.070025;-0.001133;0.000080;-0.000290;62.748226;-51.058785;91.292980;51.321062;41.511550;
0.000020;131.791203;134.053840;133.542888;137.725542;138.275449;136.621440;136.528865;140.071847;143.924037;144.900656;135.944040;136.621923;133.627495;135.737450;133.861646;1.000000;-0.001477;-3.109471;-0.002523;449.998745;84.999296;-0.003667;47.990922;155.070022;-0.001133;0.000080;-0.000290;62.748226;-51.058785;91.292979;51.321062;41.511550;
0.000040;131.791203;134.053840;133.542888;137.725542;138.275449;136.621440;136.528865;140.071847;143.924037;144.900656;135.944040;136.621923;133.627495;135.737450;133.861646;1.000000;-0.001477;-3.109470;-0.002523;449.998745;84.999296;-0.003666;47.990924;155.070016;-0.001133;0.000080;-0.000290;62.748226;-51.058784;91.292978;51.321062;41.511550;
0.000080;131.791203;134.053839;133.542888;137.725542;138.275449;136.621440;136.528865;140.071846;143.924037;144.900656;135.944040;136.621922;133.627495;135.737449;133.861646;1.000000;-0.001477;-3.109470;-0.002522;449.998745;84.999296;-0.003666;47.990928;155.070004;-0.001133;0.000080;-0.000290;62.748227;-51.058782;91.292975;51.321062;41.511550;
0.000160;131.791203;134.053839;133.542887;137.725542;138.275449;136.621440;136.528865;140.071846;143.924037;144.900656;135.944040;136.621922;133.627495;135.737449;133.861645;1.000000;-0.001476;-3.109469;-0.002522;449.998746;84.999296;-0.003665;47.990935;155.069979;-0.001133;0.000080;-0.000290;62.748228;-51.058778;91.292970;51.321062;41.511550;
0.000320;131.791202;134.053838;133.542887;137.725541;138.275448;136.621439;136.528864;140.071846;143.924037;144.900656;135.944039;136.621921;133.627494;135.737448;133.861645;1.000000;-0.001476;-3.109467;-0.002521;449.998748;84.999297;-0.003664;47.990951;155.069930;-0.001132;0.000080;-0.000290;62.748230;-51.058770;91.292959;51.321063;41.511550;
0.000640;131.791201;134.053837;133.542886;137.725540;138.275447;136.621438;136.528863;140.071845;143.924036;144.900656;135.944038;136.621920;133.627493;135.737447;133.861644;1.000000;-0.001475;-3.109463;-0.002519;449.998751;84.999298;-0.003661;47.990982;155.069832;-0.001130;0.000080;-0.000290;62.748235;-51.058755;91.292937;51.321064;41.511550;
0.001280;131.791199;134.053834;133.542883;137.725538;138.275445;136.621436;136.528860;140.071842;143.924035;144.900656;135.944035;136.621917;133.627490;135.737444;133.861642;1.000000;-0.001472;-3.109454;-0.002514;449.998757;84.999301;-0.003655;47.991045;155.069637;-0.001127;0.000080;-0.000290;62.748245;-51.058725;91.292895;51.321066;41.511550;
0.002560;131.791195;134.053829;133.542879;137.725533;138.275440;136.621431;136.528855;140.071838;143.924033;144.900656;135.944029;136.621910;133.627485;135.737438;133.861637;1.000000;-0.001468;-3.109437;-0.002505;449.998769;84.999306;-0.003644;47.991168;155.069249;-0.001120;0.000081;-0.000289;62.748264;-51.058665;91.292810;51.321070;41.511551;
