time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;_LOAD___2_EC_load_PPu;_LOAD___2_EC_load_QPu;
0.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216977;0.126978;
10.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216989;0.126989;
20.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216994;0.126994;
30.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216997;0.126997;
40.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216997;0.126997;
50.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216997;0.126997;
60.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216997;0.126997;
70.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216997;0.126997;
80.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216997;0.126997;
90.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216997;0.126997;
100.000000;1.060000;1.045000;1.010000;1.017671;1.019514;1.070000;1.061520;1.090000;1.055932;1.050985;1.056907;1.055189;1.050382;1.035530;0.216997;0.126997;
