time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;_LOAD___5_EC_load_PPu;_LOAD___5_EC_load_QPu;NETWORK__BUS____5-BUS____6-1_PT_step;
0.000000;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055339;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375755;0.002571;40.097048;-0.084462;-0.006187;-16.616341;43.620678;25.059924;12.799233;17.567574;0.076006;0.016002;3.000000;
0.000001;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375750;0.002583;40.097057;-0.084468;-0.006189;-16.616356;43.620669;25.059914;12.799278;17.567566;0.076006;0.016002;3.000000;
0.000002;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375750;0.002583;40.097056;-0.084467;-0.006189;-16.616356;43.620669;25.059914;12.799277;17.567566;0.076006;0.016002;3.000000;
0.000004;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375751;0.002582;40.097055;-0.084467;-0.006189;-16.616355;43.620669;25.059914;12.799274;17.567567;0.076006;0.016002;3.000000;
0.000008;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375751;0.002583;40.097054;-0.084466;-0.006189;-16.616355;43.620669;25.059914;12.799276;17.567566;0.076006;0.016002;3.000000;
0.000016;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375753;0.002582;40.097051;-0.084465;-0.006189;-16.616354;43.620668;25.059914;12.799274;17.567567;0.076006;0.016002;3.000000;
0.000032;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375755;0.002582;40.097046;-0.084462;-0.006188;-16.616351;43.620667;25.059915;12.799271;17.567567;0.076006;0.016002;3.000000;
0.000064;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055339;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375761;0.002580;40.097034;-0.084457;-0.006188;-16.616346;43.620666;25.059916;12.799264;17.567568;0.076006;0.016002;3.000000;
0.000128;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055339;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375771;0.002577;40.097012;-0.084446;-0.006187;-16.616336;43.620663;25.059918;12.799250;17.567571;0.076006;0.016002;3.000000;
0.000256;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055339;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375792;0.002572;40.096967;-0.084424;-0.006186;-16.616315;43.620656;25.059922;12.799223;17.567576;0.076006;0.016002;3.000000;
