time;NETWORK__KANA___1_TN_Upu_value;NETWORK__TURN___2_TN_Upu_value;NETWORK__LOGA___3_TN_Upu_value;NETWORK__BEAV___6_TN_Upu_value;NETWORK__CLIN___8_TN_Upu_value;NETWORK__SALT___9_TN_Upu_value;NETWORK__GLEN__12_TN_Upu_value;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____9_SM_generator_PGen;GEN___12_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____9_SM_generator_QGen;GEN___12_SM_generator_QGen;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;GEN____1_SM_generator_UStatorPu;GEN____2_SM_generator_UStatorPu;GEN____3_SM_generator_UStatorPu;GEN____6_SM_generator_UStatorPu;GEN____8_SM_generator_UStatorPu;GEN____9_SM_generator_UStatorPu;GEN___12_SM_generator_UStatorPu;NETWORK__BEAV___6-BUS____7-1_AC_P2_value;NETWORK__BUS____7-CLIN___8-1_AC_P1_value;
0;1.04;1.00999;0.984956;0.979989;1.00496;0.979997;1.01504;478.69;-0.0457701;39.9251;0.086802;449.871;0.13944;310.018;128.851;-0.722108;-1.00194;0.89944;62.0098;2.29926;128.745;1;1;1;1;1;1;1;1.2516;1.00928;0.984773;0.980907;1.15679;0.982343;1.18202;0.178225;-0.779087;
1;1.03999;1.00999;0.98497;0.979982;1.00497;0.979987;1.01501;478.661;-0.001423;39.9987;0.00418748;449.999;0.00734095;310.001;128.857;-0.738573;-0.958876;0.890454;62.0584;2.30585;128.692;1;1;1;1;1;1;1;1.25159;1.00926;0.984834;0.980891;1.15689;0.98234;1.18194;0.178429;-0.779313;
2;1.03999;1.00999;0.98497;0.979981;1.00497;0.979985;1.01501;478.661;0.0030941;40.0023;-0.00100303;450.002;-0.00216844;310.001;128.856;-0.739729;-0.951671;0.888352;62.0666;2.30506;128.682;1;1;1;1;1;1;1;1.25159;1.00926;0.984842;0.980887;1.1569;0.982337;1.18193;0.178434;-0.779316;
3;1.03999;1.00999;0.98497;0.979981;1.00497;0.979985;1.01501;478.661;0.00142525;40.0009;0.000244326;450;0.000213785;310.001;128.856;-0.739641;-0.950555;0.88769;62.0679;2.30442;128.68;1;1;1;1;1;1;1;1.25159;1.00926;0.984843;0.980887;1.1569;0.982336;1.18193;0.178433;-0.779315;
4;1.03999;1.00999;0.98497;0.979981;1.00497;0.979985;1.01501;478.661;0.000846333;40.0006;0.000575916;450;0.000873666;310.001;128.856;-0.739628;-0.950414;0.887588;62.068;2.30433;128.68;1;1;1;1;1;1;1;1.25159;1.00926;0.984843;0.980887;1.1569;0.982336;1.18193;0.178433;-0.779315;
5;1.03999;1.00999;0.98497;0.979981;1.00497;0.979985;1.01501;478.661;0.000811929;40.0006;0.000587073;450;0.00087944;310.001;128.856;-0.739635;-0.950394;0.887595;62.068;2.30434;128.68;1;1;1;1;1;1;1;1.25159;1.00926;0.984843;0.980887;1.1569;0.982336;1.18193;0.178433;-0.779315;
6;1.03999;1.00999;0.98497;0.979981;1.00497;0.979985;1.01501;478.661;0.000834445;40.0006;0.000572978;450;0.000846649;310.001;128.856;-0.739637;-0.950389;0.887604;62.068;2.30435;128.68;1;1;1;1;1;1;1;1.25159;1.00926;0.984843;0.980887;1.1569;0.982336;1.18193;0.178433;-0.779315;
7;1.03999;1.00999;0.98497;0.979981;1.00497;0.979985;1.01501;478.661;0.000839596;40.0006;0.000568697;450;0.000838481;310.001;128.856;-0.739637;-0.950387;0.887607;62.068;2.30435;128.68;1;1;1;1;1;1;1;1.25159;1.00926;0.984843;0.980887;1.1569;0.982336;1.18193;0.178433;-0.779315;
8;1.03999;1.00999;0.98497;0.979981;1.00497;0.979985;1.01501;478.661;0.000838686;40.0006;0.000568301;450;0.000837907;310.001;128.856;-0.739637;-0.950387;0.887609;62.068;2.30435;128.68;1;1;1;1;1;1;1;1.25159;1.00926;0.984843;0.980887;1.1569;0.982336;1.18193;0.178433;-0.779315;
9;1.03999;1.00999;0.98497;0.979981;1.00497;0.979985;1.01501;478.661;0.00083791;40.0006;0.000568345;450;0.000837867;310.001;128.856;-0.739637;-0.950387;0.887609;62.068;2.30435;128.68;1;1;1;1;1;1;1;1.25159;1.00926;0.984843;0.980887;1.1569;0.982336;1.18193;0.178433;-0.779315;
