time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_PGenPu;GEN____2_SM_generator_PGenPu;GEN____3_SM_generator_PGenPu;GEN____6_SM_generator_PGenPu;GEN____8_SM_generator_PGenPu;GEN____1_SM_generator_QGenPu;GEN____2_SM_generator_QGenPu;GEN____3_SM_generator_QGenPu;GEN____6_SM_generator_QGenPu;GEN____8_SM_generator_QGenPu;
0.000000;1.060000;1.045072;1.010000;1.017592;1.019460;1.070290;1.061351;1.089855;1.055717;1.050834;1.056932;1.055373;1.050586;1.035536;2.329908;0.401034;0.000000;0.000000;0.000000;-0.167555;0.439373;0.250795;0.135179;0.176359;
1.000000;1.060000;1.045072;1.010000;1.017592;1.019459;1.070290;1.061350;1.089855;1.055715;1.050833;1.056931;1.055372;1.050585;1.035532;2.329932;0.401038;0.000000;0.000000;0.000000;-0.167557;0.439382;0.250798;0.135191;0.176363;
2.000000;1.060000;1.045072;1.010000;1.017591;1.019459;1.070290;1.061349;1.089855;1.055714;1.050832;1.056931;1.055372;1.050584;1.035528;2.329955;0.401042;0.000000;0.000000;0.000000;-0.167559;0.439390;0.250801;0.135202;0.176367;
3.000000;1.060000;1.045072;1.010000;1.017591;1.019459;1.070290;1.061349;1.089855;1.055713;1.050832;1.056930;1.055371;1.050583;1.035524;2.329976;0.401046;0.000000;0.000000;0.000000;-0.167560;0.439397;0.250804;0.135212;0.176371;
4.000000;1.060000;1.045072;1.010000;1.017590;1.019458;1.070290;1.061348;1.089855;1.055712;1.050831;1.056930;1.055371;1.050582;1.035521;2.329995;0.401049;0.000000;0.000000;0.000000;-0.167562;0.439403;0.250806;0.135220;0.176374;
5.000000;1.060000;1.045072;1.010000;1.017590;1.019458;1.070290;1.061348;1.089855;1.055712;1.050830;1.056930;1.055371;1.050582;1.035517;2.330012;0.401052;0.000000;0.000000;0.000000;-0.167563;0.439409;0.250808;0.135229;0.176377;
6.000000;1.060000;1.045072;1.010000;1.017589;1.019457;1.070290;1.061347;1.089855;1.055711;1.050830;1.056929;1.055370;1.050581;1.035515;2.330028;0.401055;0.000000;0.000000;0.000000;-0.167565;0.439415;0.250810;0.135236;0.176380;
7.000000;1.060000;1.045072;1.010000;1.017589;1.019457;1.070290;1.061347;1.089855;1.055710;1.050829;1.056929;1.055370;1.050580;1.035512;2.330042;0.401057;0.000000;0.000000;0.000000;-0.167566;0.439420;0.250812;0.135243;0.176383;
8.000000;1.060000;1.045072;1.010000;1.017589;1.019457;1.070290;1.061346;1.089855;1.055710;1.050829;1.056929;1.055370;1.050580;1.035510;2.330055;0.401059;0.000000;0.000000;0.000000;-0.167567;0.439424;0.250814;0.135249;0.176385;
9.000000;1.060000;1.045072;1.010000;1.017588;1.019457;1.070290;1.061346;1.089855;1.055709;1.050828;1.056928;1.055370;1.050579;1.035507;2.330067;0.401062;0.000000;0.000000;0.000000;-0.167568;0.439428;0.250816;0.135255;0.176387;
10.000000;1.060000;1.045072;1.010000;1.017588;1.019456;1.070290;1.061346;1.089855;1.055709;1.050828;1.056928;1.055369;1.050579;1.035505;2.330078;0.401063;0.000000;0.000000;0.000000;-0.167569;0.439432;0.250817;0.135260;0.176389;
10.000000;1.060000;1.045072;1.010000;1.017588;1.019456;1.070290;1.061346;1.089855;1.055709;1.050828;1.056928;1.055369;1.050579;1.035505;2.384884;0.410497;0.000000;0.000000;0.000000;-0.431359;0.761942;0.299946;0.211332;0.198524;
11.000000;1.060000;1.045072;1.010000;1.008778;1.006545;1.070290;1.057758;1.089855;1.052849;1.048562;1.055856;1.055104;1.050251;1.033784;2.385634;0.410626;0.000000;0.000000;0.000000;-0.431496;0.762285;0.300042;0.211525;0.198587;
12.000000;1.060000;1.045072;1.010000;1.008767;1.006533;1.070290;1.057752;1.089855;1.052843;1.048557;1.055854;1.055103;1.050249;1.033774;2.386287;0.410738;0.000000;0.000000;0.000000;-0.431616;0.762588;0.300107;0.211606;0.198623;
13.000000;1.060000;1.045072;1.010000;1.008757;1.006523;1.070290;1.057747;1.089855;1.052837;1.048552;1.055851;1.055102;1.050246;1.033764;2.386883;0.410841;0.000000;0.000000;0.000000;-0.431726;0.762864;0.300167;0.211680;0.198655;
14.000000;1.060000;1.045072;1.010000;1.008748;1.006513;1.070290;1.057742;1.089855;1.052832;1.048548;1.055849;1.055101;1.050244;1.033755;2.387427;0.410934;0.000000;0.000000;0.000000;-0.431827;0.763117;0.300221;0.211748;0.198685;
15.000000;1.060000;1.045072;1.010000;1.008740;1.006505;1.070290;1.057738;1.089855;1.052827;1.048544;1.055847;1.055100;1.050242;1.033747;2.387922;0.411020;0.000000;0.000000;0.000000;-0.431918;0.763347;0.300270;0.211810;0.198712;
16.000000;1.060000;1.045072;1.010000;1.008732;1.006497;1.070290;1.057734;1.089855;1.052822;1.048540;1.055845;1.055100;1.050241;1.033740;2.388374;0.411098;0.000000;0.000000;0.000000;-0.432002;0.763557;0.300316;0.211866;0.198736;
16.000000;1.060000;1.045072;1.010000;1.008732;1.006496;1.070290;1.057733;1.089855;1.052821;1.048537;1.055843;1.055099;1.050240;1.033739;2.388393;0.411101;0.000000;0.000000;0.000000;-0.432005;0.763570;0.300320;0.211878;0.198743;
17.000000;1.060000;1.045072;1.010000;1.008724;1.006488;1.070290;1.057728;1.089855;1.052815;1.048531;1.055840;1.055099;1.050239;1.033731;2.388820;0.411174;0.000000;0.000000;0.000000;-0.432084;0.763772;0.300364;0.211940;0.198772;
18.000000;1.060000;1.045072;1.010000;1.008717;1.006481;1.070290;1.057724;1.089855;1.052810;1.048525;1.055837;1.055098;1.050237;1.033724;2.389209;0.411241;0.000000;0.000000;0.000000;-0.432155;0.763956;0.300405;0.211997;0.198798;
19.000000;1.060000;1.045072;1.010000;1.008711;1.006475;1.070290;1.057720;1.089855;1.052805;1.048520;1.055835;1.055097;1.050235;1.033717;2.389563;0.411302;0.000000;0.000000;0.000000;-0.432221;0.764123;0.300442;0.212048;0.198821;
20.000000;1.060000;1.045072;1.010000;1.008706;1.006469;1.070290;1.057717;1.089855;1.052802;1.048517;1.055833;1.055097;1.050234;1.033712;2.389871;0.411355;0.000000;0.000000;0.000000;-0.432278;0.764267;0.300473;0.212087;0.198838;
21.000000;1.060000;1.045072;1.010000;1.008701;1.006464;1.070290;1.057714;1.089855;1.052798;1.048513;1.055831;1.055096;1.050233;1.033707;2.390167;0.411406;0.000000;0.000000;0.000000;-0.432332;0.764407;0.300504;0.212131;0.198858;
22.000000;1.060000;1.045072;1.010000;1.008696;1.006459;1.070290;1.057711;1.089855;1.052794;1.048509;1.055829;1.055096;1.050232;1.033702;2.390436;0.411452;0.000000;0.000000;0.000000;-0.432382;0.764534;0.300532;0.212171;0.198877;
23.000000;1.060000;1.045072;1.010000;1.008692;1.006455;1.070290;1.057709;1.089855;1.052790;1.048505;1.055827;1.055095;1.050231;1.033697;2.390682;0.411495;0.000000;0.000000;0.000000;-0.432427;0.764651;0.300558;0.212207;0.198893;
24.000000;1.060000;1.045072;1.010000;1.008688;1.006451;1.070290;1.057706;1.089855;1.052787;1.048502;1.055825;1.055095;1.050230;1.033693;2.390905;0.411533;0.000000;0.000000;0.000000;-0.432468;0.764757;0.300582;0.212240;0.198909;
25.000000;1.060000;1.045072;1.010000;1.008684;1.006447;1.070290;1.057704;1.089855;1.052784;1.048498;1.055823;1.055094;1.050229;1.033689;2.391109;0.411568;0.000000;0.000000;0.000000;-0.432506;0.764854;0.300603;0.212271;0.198923;
26.000000;1.060000;1.045072;1.010000;1.008681;1.006443;1.070290;1.057702;1.089855;1.052782;1.048495;1.055822;1.055094;1.050228;1.033686;2.391295;0.411600;0.000000;0.000000;0.000000;-0.432540;0.764942;0.300623;0.212298;0.198935;
27.000000;1.060000;1.045072;1.010000;1.008678;1.006440;1.070290;1.057700;1.089855;1.052779;1.048493;1.055821;1.055093;1.050227;1.033682;2.391464;0.411629;0.000000;0.000000;0.000000;-0.432571;0.765022;0.300641;0.212324;0.198947;
28.000000;1.060000;1.045072;1.010000;1.008675;1.006438;1.070290;1.057698;1.089855;1.052777;1.048490;1.055819;1.055093;1.050226;1.033679;2.391619;0.411656;0.000000;0.000000;0.000000;-0.432600;0.765095;0.300657;0.212347;0.198958;
29.000000;1.060000;1.045072;1.010000;1.008672;1.006435;1.070290;1.057697;1.089855;1.052775;1.048488;1.055818;1.055093;1.050226;1.033677;2.391759;0.411680;0.000000;0.000000;0.000000;-0.432626;0.765162;0.300672;0.212368;0.198967;
30.000000;1.060000;1.045072;1.010000;1.008670;1.006433;1.070290;1.057695;1.089855;1.052773;1.048486;1.055817;1.055093;1.050225;1.033674;2.391888;0.411702;0.000000;0.000000;0.000000;-0.432649;0.765223;0.300685;0.212387;0.198976;
