Time;U_NGEN;E_FD;P_GEN;Q_GEN;w_GEN;VOTHSG;P_LOAD;Q_LOAD;NETOMAC
0,000000;0,991703;2,508262;0,999973;0,999190;1,000000;0,000001;1,000003;0,486791;
0,001000;0,991703;2,508262;0,999974;0,999190;1,000000;0,000004;1,000003;0,486791;
0,002000;0,991703;2,508262;0,999974;0,999190;1,000000;0,000006;1,000003;0,486791;
0,003000;0,991703;2,508265;0,999974;0,999190;1,000000;0,000008;1,000003;0,486791;
0,004000;0,991703;2,508270;0,999974;0,999193;1,000000;0,000010;1,000003;0,486791;
0,005000;0,991703;2,508278;0,999974;0,999193;1,000000;0,000011;1,000003;0,486791;
0,006000;0,991703;2,508287;0,999974;0,999193;1,000000;0,000013;1,000003;0,486791;
0,007000;0,991703;2,508298;0,999974;0,999193;1,000000;0,000014;1,000003;0,486791;
0,008000;0,991703;2,508311;0,999974;0,999193;1,000000;0,000015;1,000003;0,486791;
0,009000;0,991703;2,508324;0,999975;0,999193;1,000000;0,000016;1,000003;0,486791;
0,010000;0,991703;2,508339;0,999975;0,999193;1,000000;0,000017;1,000003;0,486791;
0,011000;0,991703;2,508354;0,999975;0,999193;1,000000;0,000018;1,000003;0,486791;
0,012000;0,991703;2,508370;0,999975;0,999193;1,000000;0,000019;1,000003;0,486791;
0,013000;0,991703;2,508387;0,999975;0,999193;1,000000;0,000019;1,000003;0,486791;
0,014000;0,991703;2,508404;0,999975;0,999193;1,000000;0,000020;1,000003;0,486791;
0,015000;0,991703;2,508422;0,999975;0,999193;1,000000;0,000020;1,000003;0,486791;
0,016000;0,991703;2,508440;0,999975;0,999193;1,000000;0,000021;1,000003;0,486791;
0,017000;0,991704;2,508457;0,999976;0,999193;1,000000;0,000021;1,000003;0,486791;
0,018000;0,991704;2,508475;0,999976;0,999196;1,000000;0,000021;1,000003;0,486791;
0,019000;0,991704;2,508493;0,999976;0,999196;1,000000;0,000021;1,000003;0,486791;
0,020000;0,991704;2,508511;0,999976;0,999196;1,000000;0,000022;1,000003;0,486791;
0,021000;0,991704;2,508528;0,999976;0,999196;1,000000;0,000022;1,000003;0,486791;
0,022000;0,991704;2,508545;0,999976;0,999196;1,000000;0,000022;1,000003;0,486791;
0,023000;0,991704;2,508562;0,999976;0,999196;1,000000;0,000022;1,000003;0,486791;
0,024000;0,991704;2,508579;0,999977;0,999196;1,000000;0,000022;1,000003;0,486791;
0,025000;0,991704;2,508595;0,999977;0,999196;1,000000;0,000022;1,000003;0,486791;
0,026000;0,991704;2,508611;0,999977;0,999196;1,000000;0,000021;1,000003;0,486791;
0,027000;0,991704;2,508626;0,999977;0,999196;1,000000;0,000021;1,000003;0,486791;
0,028000;0,991704;2,508641;0,999977;0,999199;1,000000;0,000021;1,000003;0,486791;
0,029000;0,991704;2,508655;0,999977;0,999199;1,000000;0,000021;1,000003;0,486791;
0,030000;0,991704;2,508669;0,999978;0,999199;1,000000;0,000021;1,000003;0,486791;
0,031000;0,991704;2,508682;0,999978;0,999199;1,000000;0,000020;1,000003;0,486791;
0,032000;0,991704;2,508695;0,999978;0,999199;1,000000;0,000020;1,000003;0,486791;
0,033000;0,991704;2,508708;0,999978;0,999199;1,000000;0,000020;1,000003;0,486791;
0,034000;0,991704;2,508719;0,999978;0,999199;1,000000;0,000020;1,000003;0,486791;
0,035000;0,991704;2,508730;0,999978;0,999199;1,000000;0,000019;1,000003;0,486791;
0,036000;0,991704;2,508740;0,999979;0,999199;1,000000;0,000019;1,000003;0,486791;
0,037000;0,991704;2,508750;0,999979;0,999203;1,000000;0,000019;1,000003;0,486791;
0,038000;0,991704;2,508760;0,999979;0,999203;1,000000;0,000018;1,000003;0,486791;
0,039000;0,991704;2,508768;0,999979;0,999203;1,000000;0,000018;1,000003;0,486791;
0,040000;0,991704;2,508777;0,999979;0,999203;1,000000;0,000018;1,000003;0,486791;
0,041000;0,991704;2,508784;0,999980;0,999203;1,000000;0,000017;1,000003;0,486791;
0,042000;0,991704;2,508791;0,999980;0,999203;1,000000;0,000017;1,000004;0,486791;
0,043000;0,991704;2,508797;0,999980;0,999203;1,000000;0,000017;1,000004;0,486791;
0,044000;0,991704;2,508803;0,999980;0,999203;1,000000;0,000016;1,000004;0,486791;
0,045000;0,991704;2,508809;0,999981;0,999206;1,000000;0,000016;1,000004;0,486791;
0,046000;0,991704;2,508813;0,999981;0,999206;1,000000;0,000016;1,000004;0,486791;
0,047000;0,991704;2,508817;0,999981;0,999206;1,000000;0,000015;1,000004;0,486791;
0,048000;0,991704;2,508821;0,999981;0,999206;1,000000;0,000015;1,000004;0,486791;
0,049000;0,991704;2,508824;0,999981;0,999206;1,000000;0,000015;1,000004;0,486791;
0,050000;0,991704;2,508827;0,999982;0,999206;1,000000;0,000014;1,000004;0,486791;
0,051000;0,991704;2,508829;0,999982;0,999206;1,000000;0,000014;1,000004;0,486791;
0,052000;0,991704;2,508831;0,999982;0,999209;1,000000;0,000014;1,000004;0,486791;
0,053000;0,991704;2,508832;0,999982;0,999209;1,000000;0,000013;1,000004;0,486791;
0,054000;0,991704;2,508832;0,999982;0,999209;1,000000;0,000013;1,000004;0,486791;
0,055000;0,991705;2,508832;0,999983;0,999209;1,000000;0,000013;1,000004;0,486791;
0,056000;0,991705;2,508832;0,999983;0,999209;1,000000;0,000012;1,000004;0,486791;
0,057000;0,991705;2,508832;0,999983;0,999209;1,000000;0,000012;1,000004;0,486791;
0,058000;0,991705;2,508830;0,999983;0,999209;1,000000;0,000012;1,000004;0,486791;
0,059000;0,991705;2,508829;0,999984;0,999209;1,000000;0,000011;1,000004;0,486791;
0,060000;0,991705;2,508827;0,999984;0,999212;1,000000;0,000011;1,000004;0,486791;
0,061000;0,991705;2,508825;0,999984;0,999212;1,000000;0,000011;1,000004;0,486791;
0,062000;0,991705;2,508822;0,999984;0,999212;1,000000;0,000010;1,000004;0,486791;
0,063000;0,991705;2,508819;0,999985;0,999212;1,000000;0,000010;1,000004;0,486791;
0,064000;0,991705;2,508815;0,999985;0,999212;1,000000;0,000010;1,000004;0,486791;
0,065000;0,991705;2,508811;0,999985;0,999212;1,000000;0,000009;1,000004;0,486791;
0,066000;0,991705;2,508807;0,999985;0,999212;1,000000;0,000009;1,000004;0,486791;
0,067000;0,991705;2,508803;0,999985;0,999215;1,000000;0,000009;1,000004;0,486791;
0,068000;0,991705;2,508798;0,999986;0,999215;1,000000;0,000008;1,000004;0,486792;
0,069000;0,991705;2,508793;0,999986;0,999215;1,000000;0,000008;1,000004;0,486792;
0,070000;0,991705;2,508787;0,999986;0,999215;1,000000;0,000008;1,000004;0,486792;
0,071000;0,991705;2,508781;0,999986;0,999215;1,000000;0,000007;1,000004;0,486792;
0,072000;0,991705;2,508775;0,999987;0,999215;1,000000;0,000007;1,000004;0,486792;
0,073000;0,991705;2,508769;0,999987;0,999215;1,000000;0,000007;1,000004;0,486792;
0,074000;0,991705;2,508763;0,999987;0,999215;1,000000;0,000007;1,000004;0,486792;
0,075000;0,991705;2,508756;0,999987;0,999219;1,000000;0,000006;1,000004;0,486792;
0,076000;0,991705;2,508749;0,999987;0,999219;1,000000;0,000006;1,000004;0,486792;
0,077000;0,991705;2,508742;0,999988;0,999219;1,000000;0,000006;1,000004;0,486792;
0,078000;0,991705;2,508734;0,999988;0,999219;1,000000;0,000005;1,000005;0,486792;
0,079000;0,991705;2,508727;0,999988;0,999219;1,000000;0,000005;1,000005;0,486792;
0,080000;0,991705;2,508719;0,999988;0,999219;1,000000;0,000005;1,000005;0,486792;
0,081000;0,991705;2,508711;0,999989;0,999219;1,000000;0,000005;1,000005;0,486792;
0,082000;0,991705;2,508703;0,999989;0,999219;1,000000;0,000004;1,000005;0,486792;
0,083000;0,991705;2,508695;0,999989;0,999219;1,000000;0,000004;1,000005;0,486792;
0,084000;0,991705;2,508686;0,999989;0,999222;1,000000;0,000004;1,000005;0,486792;
0,085000;0,991705;2,508678;0,999989;0,999222;1,000000;0,000004;1,000005;0,486792;
0,086000;0,991705;2,508669;0,999991;0,999222;1,000000;0,000003;1,000005;0,486792;
0,087000;0,991705;2,508660;0,999991;0,999222;1,000000;0,000003;1,000005;0,486792;
0,088000;0,991705;2,508651;0,999991;0,999222;1,000000;0,000003;1,000005;0,486792;
0,089000;0,991705;2,508642;0,999991;0,999222;1,000000;0,000003;1,000005;0,486792;
0,090000;0,991705;2,508633;0,999991;0,999222;1,000000;0,000003;1,000005;0,486792;
0,091000;0,991705;2,508624;0,999992;0,999222;1,000000;0,000002;1,000005;0,486792;
0,092000;0,991705;2,508614;0,999992;0,999222;1,000000;0,000002;1,000005;0,486792;
0,093000;0,991705;2,508605;0,999992;0,999222;1,000000;0,000002;1,000005;0,486792;
0,094000;0,991705;2,508595;0,999992;0,999225;1,000000;0,000002;1,000005;0,486792;
0,095000;0,991705;2,508585;0,999992;0,999225;1,000000;0,000002;1,000005;0,486792;
0,096000;0,991706;2,508576;0,999993;0,999225;1,000000;0,000001;1,000005;0,486792;
0,097000;0,991706;2,508566;0,999993;0,999225;1,000000;0,000001;1,000005;0,486792;
0,098000;0,991706;2,508556;0,999993;0,999225;1,000000;0,000001;1,000005;0,486792;
0,099000;0,991706;2,508547;0,999993;0,999225;1,000000;0,000001;1,000005;0,486792;
0,100000;0,991706;2,508537;0,999993;0,999225;1,000000;0,000001;1,000005;0,486792;
0,100500;0,411272;2,508527;0,010435;3,385457;1,000057;0,043875;0,000000;0,000000;
0,101500;0,409546;3,062193;0,010344;3,357102;1,000169;0,100000;0,000000;0,000000;
0,102500;0,407894;3,827558;0,010261;3,330072;1,000282;0,100000;0,000000;0,000000;
0,103500;0,406264;4,000000;0,010179;3,303504;1,000395;0,100000;0,000000;0,000000;
0,104500;0,404665;4,000000;0,010099;3,277556;1,000508;0,100000;0,000000;0,000000;
0,105500;0,403104;4,000000;0,010021;3,252317;1,000621;0,100000;0,000000;0,000000;
0,106500;0,401580;4,000000;0,009946;3,227766;1,000734;0,100000;0,000000;0,000000;
0,107500;0,400091;4,000000;0,009873;3,203885;1,000848;0,100000;0,000000;0,000000;
0,108500;0,398638;4,000000;0,009801;3,180650;1,000961;0,100000;0,000000;0,000000;
0,109500;0,397219;4,000000;0,009732;3,158043;1,001075;0,100000;0,000000;0,000000;
0,110500;0,395833;4,000000;0,009663;3,136042;1,001189;0,100000;0,000000;0,000000;
0,111500;0,394479;4,000000;0,009598;3,114629;1,001302;0,100000;0,000000;0,000000;
0,112500;0,393157;4,000000;0,009534;3,093790;1,001416;0,100000;0,000000;0,000000;
0,113500;0,391866;4,000000;0,009471;3,073505;1,001530;0,100000;0,000000;0,000000;
0,114500;0,390605;4,000000;0,009409;3,053758;1,001644;0,100000;0,000000;0,000000;
0,115500;0,389374;4,000000;0,009351;3,034533;1,001758;0,100000;0,000000;0,000000;
0,116500;0,388171;4,000000;0,009293;3,015814;1,001872;0,100000;0,000000;0,000000;
0,117500;0,386996;4,000000;0,009237;2,997585;1,001987;0,100000;0,000000;0,000000;
0,118500;0,385848;4,000000;0,009182;2,979833;1,002101;0,100000;0,000000;0,000000;
0,119500;0,384727;4,000000;0,009128;2,962543;1,002216;0,100000;0,000000;0,000000;
0,120500;0,383632;4,000000;0,009077;2,945704;1,002330;0,100000;0,000000;0,000000;
0,121500;0,382563;4,000000;0,009026;2,929297;1,002445;0,100000;0,000000;0,000000;
0,122500;0,381518;4,000000;0,008977;2,913316;1,002559;0,100000;0,000000;0,000000;
0,123500;0,380497;4,000000;0,008929;2,897745;1,002674;0,100000;0,000000;0,000000;
0,124500;0,379499;4,000000;0,008882;2,882572;1,002788;0,100000;0,000000;0,000000;
0,125500;0,378525;4,000000;0,008837;2,867789;1,002903;0,100000;0,000000;0,000000;
0,126500;0,377573;4,000000;0,008793;2,853380;1,003018;0,100000;0,000000;0,000000;
0,127500;0,376642;4,000000;0,008749;2,839337;1,003133;0,100000;0,000000;0,000000;
0,128500;0,375733;4,000000;0,008707;2,825649;1,003248;0,100000;0,000000;0,000000;
0,129500;0,374845;4,000000;0,008666;2,812307;1,003363;0,100000;0,000000;0,000000;
0,130500;0,373977;4,000000;0,008626;2,799299;1,003478;0,100000;0,000000;0,000000;
0,131500;0,373129;4,000000;0,008587;2,786616;1,003593;0,100000;0,000000;0,000000;
0,132500;0,372300;4,000000;0,008548;2,774251;1,003708;0,100000;0,000000;0,000000;
0,133500;0,371490;4,000000;0,008512;2,762191;1,003823;0,100000;0,000000;0,000000;
0,134500;0,370699;4,000000;0,008476;2,750431;1,003938;0,100000;0,000000;0,000000;
0,135500;0,369925;4,000000;0,008440;2,738962;1,004053;0,100000;0,000000;0,000000;
0,136500;0,369169;4,000000;0,008405;2,727776;1,004168;0,100000;0,000000;0,000000;
0,137500;0,368430;4,000000;0,008373;2,716861;1,004283;0,100000;0,000000;0,000000;
0,138500;0,367707;4,000000;0,008339;2,706216;1,004399;0,100000;0,000000;0,000000;
0,139500;0,367001;4,000000;0,008307;2,695830;1,004514;0,100000;0,000000;0,000000;
0,140500;0,366310;4,000000;0,008276;2,685697;1,004629;0,100000;0,000000;0,000000;
0,141500;0,365635;4,000000;0,008245;2,675811;1,004745;0,100000;0,000000;0,000000;
0,142500;0,364976;4,000000;0,008216;2,666159;1,004860;0,100000;0,000000;0,000000;
0,143500;0,364330;4,000000;0,008187;2,656743;1,004975;0,100000;0,000000;0,000000;
0,144500;0,363700;4,000000;0,008159;2,647552;1,005091;0,100000;0,000000;0,000000;
0,145500;0,363083;4,000000;0,008131;2,638578;1,005206;0,100000;0,000000;0,000000;
0,146500;0,362480;4,000000;0,008104;2,629819;1,005321;0,100000;0,000000;0,000000;
0,147500;0,361890;4,000000;0,008078;2,621271;1,005437;0,100000;0,000000;0,000000;
0,148500;0,361313;4,000000;0,008052;2,612922;1,005552;0,100000;0,000000;0,000000;
0,149500;0,360749;4,000000;0,008026;2,604772;1,005668;0,100000;0,000000;0,000000;
0,150500;0,360198;4,000000;0,008002;2,596810;1,005783;0,100000;0,000000;0,000000;
0,151500;0,359658;4,000000;0,007978;2,589038;1,005899;0,100000;0,000000;0,000000;
0,152500;0,359130;4,000000;0,007955;2,581444;1,006014;0,100000;0,000000;0,000000;
0,153500;0,358614;4,000000;0,007933;2,574030;1,006130;0,100000;0,000000;0,000000;
0,154500;0,358109;4,000000;0,007909;2,566786;1,006245;0,100000;0,000000;0,000000;
0,155500;0,357615;4,000000;0,007888;2,559709;1,006361;0,100000;0,000000;0,000000;
0,156500;0,357132;4,000000;0,007866;2,552797;1,006476;0,100000;0,000000;0,000000;
0,157500;0,356659;4,000000;0,007846;2,546043;1,006592;0,100000;0,000000;0,000000;
0,158500;0,356197;4,000000;0,007825;2,539443;1,006707;0,100000;0,000000;0,000000;
0,159500;0,355744;4,000000;0,007805;2,532993;1,006823;0,100000;0,000000;0,000000;
0,160500;0,355301;4,000000;0,007786;2,526687;1,006938;0,100000;0,000000;0,000000;
0,161500;0,354868;4,000000;0,007767;2,520528;1,007054;0,100000;0,000000;0,000000;
0,162500;0,354443;4,000000;0,007748;2,514504;1,007170;0,100000;0,000000;0,000000;
0,163500;0,354028;4,000000;0,007731;2,508618;1,007285;0,100000;0,000000;0,000000;
0,164500;0,353622;4,000000;0,007713;2,502863;1,007401;0,100000;0,000000;0,000000;
0,165500;0,353224;4,000000;0,007696;2,497236;1,007516;0,100000;0,000000;0,000000;
0,166500;0,352835;4,000000;0,007679;2,491734;1,007632;0,100000;0,000000;0,000000;
0,167500;0,352454;4,000000;0,007662;2,486354;1,007747;0,100000;0,000000;0,000000;
0,168500;0,352081;4,000000;0,007646;2,481092;1,007863;0,100000;0,000000;0,000000;
0,169500;0,351715;4,000000;0,007629;2,475949;1,007978;0,100000;0,000000;0,000000;
0,170500;0,351358;4,000000;0,007615;2,470914;1,008094;0,100000;0,000000;0,000000;
0,171500;0,351008;4,000000;0,007599;2,465992;1,008210;0,100000;0,000000;0,000000;
0,172500;0,350665;4,000000;0,007584;2,461175;1,008325;0,100000;0,000000;0,000000;
0,173500;0,350329;4,000000;0,007569;2,456461;1,008441;0,100000;0,000000;0,000000;
0,174500;0,350000;4,000000;0,007556;2,451853;1,008556;0,100000;0,000000;0,000000;
0,175500;0,349678;4,000000;0,007542;2,447340;1,008672;0,100000;0,000000;0,000000;
0,176500;0,349362;4,000000;0,007528;2,442924;1,008787;0,100000;0,000000;0,000000;
0,177500;0,349053;4,000000;0,007515;2,438604;1,008903;0,100000;0,000000;0,000000;
0,178500;0,348750;4,000000;0,007502;2,434373;1,009018;0,100000;0,000000;0,000000;
0,179500;0,348453;4,000000;0,007489;2,430235;1,009134;0,100000;0,000000;0,000000;
0,180500;0,348163;4,000000;0,007477;2,426181;1,009249;0,100000;0,000000;0,000000;
0,181500;0,347878;4,000000;0,007464;2,422213;1,009364;0,100000;0,000000;0,000000;
0,182500;0,347599;4,000000;0,007453;2,418328;1,009480;0,100000;0,000000;0,000000;
0,183500;0,347325;4,000000;0,007441;2,414524;1,009595;0,100000;0,000000;0,000000;
0,184500;0,347057;4,000000;0,007429;2,410799;1,009711;0,100000;0,000000;0,000000;
0,185500;0,346795;4,000000;0,007418;2,407151;1,009826;0,100000;0,000000;0,000000;
0,186500;0,346537;4,000000;0,007407;2,403577;1,009942;0,100000;0,000000;0,000000;
0,187500;0,346285;4,000000;0,007396;2,400077;1,010057;0,100000;0,000000;0,000000;
0,188500;0,346037;4,000000;0,007385;2,396647;1,010172;0,100000;0,000000;0,000000;
0,189500;0,345795;4,000000;0,007376;2,393287;1,010288;0,100000;0,000000;0,000000;
0,190500;0,345557;4,000000;0,007365;2,389995;1,010403;0,100000;0,000000;0,000000;
0,191500;0,345323;4,000000;0,007356;2,386770;1,010518;0,100000;0,000000;0,000000;
0,192500;0,345095;4,000000;0,007345;2,383609;1,010634;0,100000;0,000000;0,000000;
