Time;U_NGEN;EFD [pu];POWERFACTORY
-0,200000;1,000000;1,000000;
-0,199000;1,000000;1,000000;
-0,198000;1,000000;1,000000;
-0,197000;1,000000;1,000000;
-0,196000;1,000000;1,000000;
-0,195000;1,000000;1,000000;
-0,194000;1,000000;1,000000;
-0,193000;1,000000;1,000000;
-0,192000;1,000000;1,000000;
-0,191000;1,000000;1,000000;
-0,190000;1,000000;1,000000;
-0,189000;1,000000;1,000000;
-0,188000;1,000000;1,000000;
-0,187000;1,000000;1,000000;
-0,186000;1,000000;1,000000;
-0,185000;1,000000;1,000000;
-0,184000;1,000000;1,000000;
-0,183000;1,000000;1,000000;
-0,182000;1,000000;1,000000;
-0,181000;1,000000;1,000000;
-0,180000;1,000000;1,000000;
-0,179000;1,000000;1,000000;
-0,178000;1,000000;1,000000;
-0,177000;1,000000;1,000000;
-0,176000;1,000000;1,000000;
-0,175000;1,000000;1,000000;
-0,174000;1,000000;1,000000;
-0,173000;1,000000;1,000000;
-0,172000;1,000000;1,000000;
-0,171000;1,000000;1,000000;
-0,170000;1,000000;1,000000;
-0,169000;1,000000;1,000000;
-0,168000;1,000000;1,000000;
-0,167000;1,000000;1,000000;
-0,166000;1,000000;1,000000;
-0,165000;1,000000;1,000000;
-0,164000;1,000000;1,000000;
-0,163000;1,000000;1,000000;
-0,162000;1,000000;1,000000;
-0,161000;1,000000;1,000000;
-0,160000;1,000000;1,000000;
-0,159000;1,000000;1,000000;
-0,158000;1,000000;1,000000;
-0,157000;1,000000;1,000000;
-0,156000;1,000000;1,000000;
-0,155000;1,000000;1,000000;
-0,154000;1,000000;1,000000;
-0,153000;1,000000;1,000000;
-0,152000;1,000000;1,000000;
-0,151000;1,000000;1,000000;
-0,150000;1,000000;1,000000;
-0,149000;1,000000;1,000000;
-0,148000;1,000000;1,000000;
-0,147000;1,000000;1,000000;
-0,146000;1,000000;1,000000;
-0,145000;1,000000;1,000000;
-0,144000;1,000000;1,000000;
-0,143000;1,000000;1,000000;
-0,142000;1,000000;1,000000;
-0,141000;1,000000;1,000000;
-0,140000;1,000000;1,000000;
-0,139000;1,000000;1,000000;
-0,138000;1,000000;1,000000;
-0,137000;1,000000;1,000000;
-0,136000;1,000000;1,000000;
-0,135000;1,000000;1,000000;
-0,134000;1,000000;1,000000;
-0,133000;1,000000;1,000000;
-0,132000;1,000000;1,000000;
-0,131000;1,000000;1,000000;
-0,130000;1,000000;1,000000;
-0,129000;1,000000;1,000000;
-0,128000;1,000000;1,000000;
-0,127000;1,000000;1,000000;
-0,126000;1,000000;1,000000;
-0,125000;1,000000;1,000000;
-0,124000;1,000000;1,000000;
-0,123000;1,000000;1,000000;
-0,122000;1,000000;1,000000;
-0,121000;1,000000;1,000000;
-0,120000;1,000000;1,000000;
-0,119000;1,000000;1,000000;
-0,118000;1,000000;1,000000;
-0,117000;1,000000;1,000000;
-0,116000;1,000000;1,000000;
-0,115000;1,000000;1,000000;
-0,114000;1,000000;1,000000;
-0,113000;1,000000;1,000000;
-0,112000;1,000000;1,000000;
-0,111000;1,000000;1,000000;
-0,110000;1,000000;1,000000;
-0,109000;1,000000;1,000000;
-0,108000;1,000000;1,000000;
-0,107000;1,000000;1,000000;
-0,106000;1,000000;1,000000;
-0,105000;1,000000;1,000000;
-0,104000;1,000000;1,000000;
-0,103000;1,000000;1,000000;
-0,102000;1,000000;1,000000;
-0,101000;1,000000;1,000000;
-0,100000;1,000000;1,000000;
-0,099000;1,000000;1,000000;
-0,098000;1,000000;1,000000;
-0,097000;1,000000;1,000000;
-0,096000;1,000000;1,000000;
-0,095000;1,000000;1,000000;
-0,094000;1,000000;1,000000;
-0,093000;1,000000;1,000000;
-0,092000;1,000000;1,000000;
-0,091000;1,000000;1,000000;
-0,090000;1,000000;1,000000;
-0,089000;1,000000;1,000000;
-0,088000;1,000000;1,000000;
-0,087000;1,000000;1,000000;
-0,086000;1,000000;1,000000;
-0,085000;1,000000;1,000000;
-0,084000;1,000000;1,000000;
-0,083000;1,000000;1,000000;
-0,082000;1,000000;1,000000;
-0,081000;1,000000;1,000000;
-0,080000;1,000000;1,000000;
-0,079000;1,000000;1,000000;
-0,078000;1,000000;1,000000;
-0,077000;1,000000;1,000000;
-0,076000;1,000000;1,000000;
-0,075000;1,000000;1,000000;
-0,074000;1,000000;1,000000;
-0,073000;1,000000;1,000000;
-0,072000;1,000000;1,000000;
-0,071000;1,000000;1,000000;
-0,070000;1,000000;1,000000;
-0,069000;1,000000;1,000000;
-0,068000;1,000000;1,000000;
-0,067000;1,000000;1,000000;
-0,066000;1,000000;1,000000;
-0,065000;1,000000;1,000000;
-0,064000;1,000000;1,000000;
-0,063000;1,000000;1,000000;
-0,062000;1,000000;1,000000;
-0,061000;1,000000;1,000000;
-0,060000;1,000000;1,000000;
-0,059000;1,000000;1,000000;
-0,058000;1,000000;1,000000;
-0,057000;1,000000;1,000000;
-0,056000;1,000000;1,000000;
-0,055000;1,000000;1,000000;
-0,054000;1,000000;1,000000;
-0,053000;1,000000;1,000000;
-0,052000;1,000000;1,000000;
-0,051000;1,000000;1,000000;
-0,050000;1,000000;1,000000;
-0,049000;1,000000;1,000000;
-0,048000;1,000000;1,000000;
-0,047000;1,000000;1,000000;
-0,046000;1,000000;1,000000;
-0,045000;1,000000;1,000000;
-0,044000;1,000000;1,000000;
-0,043000;1,000000;1,000000;
-0,042000;1,000000;1,000000;
-0,041000;1,000000;1,000000;
-0,040000;1,000000;1,000000;
-0,039000;1,000000;1,000000;
-0,038000;1,000000;1,000000;
-0,037000;1,000000;1,000000;
-0,036000;1,000000;1,000000;
-0,035000;1,000000;1,000000;
-0,034000;1,000000;1,000000;
-0,033000;1,000000;1,000000;
-0,032000;1,000000;1,000000;
-0,031000;1,000000;1,000000;
-0,030000;1,000000;1,000000;
-0,029000;1,000000;1,000000;
-0,028000;1,000000;1,000000;
-0,027000;1,000000;1,000000;
-0,026000;1,000000;1,000000;
-0,025000;1,000000;1,000000;
-0,024000;1,000000;1,000000;
-0,023000;1,000000;1,000000;
-0,022000;1,000000;1,000000;
-0,021000;1,000000;1,000000;
-0,020000;1,000000;1,000000;
-0,019000;1,000000;1,000000;
-0,018000;1,000000;1,000000;
-0,017000;1,000000;1,000000;
-0,016000;1,000000;1,000000;
-0,015000;1,000000;1,000000;
-0,014000;1,000000;1,000000;
-0,013000;1,000000;1,000000;
-0,012000;1,000000;1,000000;
-0,011000;1,000000;1,000000;
-0,010000;1,000000;1,000000;
-0,009000;1,000000;1,000000;
-0,008000;1,000000;1,000000;
-0,007000;1,000000;1,000000;
-0,006000;1,000000;1,000000;
-0,005000;1,000000;1,000000;
-0,004000;1,000000;1,000000;
-0,003000;1,000000;1,000000;
-0,002000;1,000000;1,000000;
-0,001000;1,000000;1,000000;
0,000000;1,000000;1,000000;
0,001000;1,000000;1,000000;
0,002000;1,000000;1,000000;
0,003000;1,000000;1,000000;
0,004000;1,000000;1,000000;
0,005000;1,000000;1,000000;
0,006000;1,000000;1,000000;
0,007000;1,000000;1,000000;
0,008000;1,000000;1,000000;
0,009000;1,000000;1,000000;
0,010000;1,000000;1,000000;
0,011000;1,000000;1,000000;
0,012000;1,000000;1,000000;
0,013000;1,000000;1,000000;
0,014000;1,000000;1,000000;
0,015000;1,000000;1,000000;
0,016000;1,000000;1,000000;
0,017000;1,000000;1,000000;
0,018000;1,000000;1,000000;
0,019000;1,000000;1,000000;
0,020000;1,000000;1,000000;
0,021000;1,000000;1,000000;
0,022000;1,000000;1,000000;
0,023000;1,000000;1,000000;
0,024000;1,000000;1,000000;
0,025000;1,000000;1,000000;
0,026000;1,000000;1,000000;
0,027000;1,000000;1,000000;
0,028000;1,000000;1,000000;
0,029000;1,000000;1,000000;
0,030000;1,000000;1,000000;
0,031000;1,000000;1,000000;
0,032000;1,000000;1,000000;
0,033000;1,000000;1,000000;
0,034000;1,000000;1,000000;
0,035000;1,000000;1,000000;
0,036000;1,000000;1,000000;
0,037000;1,000000;1,000000;
0,038000;1,000000;1,000000;
0,039000;1,000000;1,000000;
0,040000;1,000000;1,000000;
0,041000;1,000000;1,000000;
0,042000;1,000000;1,000000;
0,043000;1,000000;1,000000;
0,044000;1,000000;1,000000;
0,045000;1,000000;1,000000;
0,046000;1,000000;1,000000;
0,047000;1,000000;1,000000;
0,048000;1,000000;1,000000;
0,049000;1,000000;1,000000;
0,050000;1,000000;1,000000;
0,051000;1,000000;1,000000;
0,052000;1,000000;1,000000;
0,053000;1,000000;1,000000;
0,054000;1,000000;1,000000;
0,055000;1,000000;1,000000;
0,056000;1,000000;1,000000;
0,057000;1,000000;1,000000;
0,058000;1,000000;1,000000;
0,059000;1,000000;1,000000;
0,060000;1,000000;1,000000;
0,061000;1,000000;1,000000;
0,062000;1,000000;1,000000;
0,063000;1,000000;1,000000;
0,064000;1,000000;1,000000;
0,065000;1,000000;1,000000;
0,066000;1,000000;1,000000;
0,067000;1,000000;1,000000;
0,068000;1,000000;1,000000;
0,069000;1,000000;1,000000;
0,070000;1,000000;1,000000;
0,071000;1,000000;1,000000;
0,072000;1,000000;1,000000;
0,073000;1,000000;1,000000;
0,074000;1,000000;1,000000;
0,075000;1,000000;1,000000;
0,076000;1,000000;1,000000;
0,077000;1,000000;1,000000;
0,078000;1,000000;1,000000;
0,079000;1,000000;1,000000;
0,080000;1,000000;1,000000;
0,081000;1,000000;1,000000;
0,082000;1,000000;1,000000;
0,083000;1,000000;1,000000;
0,084000;1,000000;1,000000;
0,085000;1,000000;1,000000;
0,086000;1,000000;1,000000;
0,087000;1,000000;1,000000;
0,088000;1,000000;1,000000;
0,089000;1,000000;1,000000;
0,090000;1,000000;1,000000;
0,091000;1,000000;1,000000;
0,092000;1,000000;1,000000;
0,093000;1,000000;1,000000;
0,094000;1,000000;1,000000;
0,095000;1,000000;1,000000;
0,096000;1,000000;1,000000;
0,097000;1,000000;1,000000;
0,098000;1,000000;1,000000;
0,099000;1,000000;1,000000;
0,100000;1,000000;1,000000;
0,100550;1,000000;1,029706;
0,101260;1,000004;1,071456;
0,102260;1,000013;1,129461;
0,103260;1,000029;1,186316;
0,104260;1,000050;1,242037;
0,105260;1,000078;1,296640;
0,106260;1,000111;1,350139;
0,107260;1,000150;1,402549;
0,108260;1,000195;1,453885;
0,109260;1,000246;1,504161;
0,110260;1,000303;1,553391;
0,111260;1,000366;1,601590;
0,112260;1,000434;1,648769;
0,113260;1,000508;1,694944;
0,114260;1,000588;1,740126;
0,115260;1,000674;1,784329;
0,116260;1,000765;1,827566;
0,117260;1,000862;1,869847;
0,118260;1,000965;1,911187;
0,119260;1,001073;1,951596;
0,120260;1,001187;1,991086;
0,121260;1,001307;2,029669;
0,122260;1,001432;2,067357;
0,123260;1,001562;2,104160;
0,124260;1,001698;2,140090;
0,125260;1,001839;2,175157;
0,126260;1,001985;2,209372;
0,127260;1,002137;2,242747;
0,128260;1,002293;2,275290;
