time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____3_SM_generator_running;_LOAD___2_EC_load_PPu;_LOAD___2_EC_load_QPu;_LOAD___3_EC_load_PPu;_LOAD___3_EC_load_QPu;UVA_underVoltageAutomaton_UMinPu;UVA_underVoltageAutomaton_UMonitoredPu;OVA_overVoltageAutomaton_UMaxPu;OVA_overVoltageAutomaton_UMonitoredPu;
0.000000;1.060019;1.045051;1.010003;1.017715;1.019568;1.070161;1.061538;1.089930;1.055991;1.051061;1.057024;1.055345;1.050536;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376394;40.097680;-0.083933;0.003180;-0.007901;-16.617067;43.619698;25.059677;12.802215;17.567120;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.000001;1.060019;1.045051;1.010003;1.017715;1.019569;1.070162;1.061539;1.089930;1.055992;1.051062;1.057025;1.055345;1.050537;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376348;40.097764;-0.083992;0.003303;-0.007916;-16.617207;43.619606;25.059586;12.802630;17.567041;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.000002;1.060019;1.045051;1.010003;1.017715;1.019569;1.070162;1.061539;1.089930;1.055992;1.051062;1.057025;1.055345;1.050537;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376349;40.097764;-0.083992;0.003303;-0.007916;-16.617207;43.619606;25.059586;12.802630;17.567041;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.000004;1.060019;1.045051;1.010003;1.017715;1.019569;1.070162;1.061539;1.089930;1.055992;1.051062;1.057025;1.055345;1.050537;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376352;40.097758;-0.083988;0.003295;-0.007915;-16.617198;43.619611;25.059592;12.802604;17.567046;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.000008;1.060019;1.045051;1.010003;1.017715;1.019569;1.070162;1.061539;1.089930;1.055992;1.051062;1.057025;1.055345;1.050537;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376350;40.097761;-0.083991;0.003302;-0.007916;-16.617206;43.619605;25.059586;12.802628;17.567042;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.000016;1.060019;1.045051;1.010003;1.017715;1.019569;1.070162;1.061539;1.089930;1.055992;1.051062;1.057025;1.055345;1.050537;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376351;40.097759;-0.083989;0.003302;-0.007915;-16.617204;43.619605;25.059587;12.802625;17.567042;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.000032;1.060019;1.045051;1.010003;1.017715;1.019569;1.070162;1.061539;1.089930;1.055992;1.051062;1.057025;1.055345;1.050537;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376354;40.097753;-0.083987;0.003301;-0.007915;-16.617201;43.619604;25.059588;12.802620;17.567044;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.000064;1.060019;1.045051;1.010003;1.017715;1.019569;1.070162;1.061539;1.089930;1.055992;1.051062;1.057025;1.055345;1.050537;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376359;40.097741;-0.083981;0.003298;-0.007915;-16.617194;43.619603;25.059589;12.802609;17.567046;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.000128;1.060019;1.045051;1.010003;1.017715;1.019569;1.070162;1.061539;1.089930;1.055992;1.051062;1.057025;1.055345;1.050537;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376370;40.097718;-0.083970;0.003294;-0.007914;-16.617181;43.619600;25.059593;12.802587;17.567052;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.000256;1.060019;1.045051;1.010003;1.017715;1.019569;1.070162;1.061539;1.089930;1.055992;1.051062;1.057025;1.055345;1.050537;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376391;40.097671;-0.083947;0.003286;-0.007912;-16.617155;43.619595;25.059600;12.802544;17.567062;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.000512;1.060019;1.045051;1.010003;1.017715;1.019569;1.070161;1.061538;1.089930;1.055992;1.051062;1.057025;1.055345;1.050536;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376434;40.097578;-0.083902;0.003270;-0.007909;-16.617102;43.619584;25.059614;12.802458;17.567084;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.001024;1.060019;1.045051;1.010003;1.017715;1.019569;1.070161;1.061538;1.089930;1.055992;1.051062;1.057024;1.055345;1.050536;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376519;40.097393;-0.083812;0.003237;-0.007901;-16.616999;43.619562;25.059642;12.802288;17.567126;1.000000;0.216993;0.126994;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.002048;1.060019;1.045051;1.010003;1.017715;1.019568;1.070160;1.061538;1.089930;1.055991;1.051061;1.057024;1.055344;1.050536;1.035667;1.000000;1.000000;1.000000;1.000000;1.000000;232.376689;40.097022;-0.083633;0.003175;-0.007887;-16.616796;43.619518;25.059695;12.801957;17.567209;1.000000;0.216993;0.126993;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.004096;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089930;1.055991;1.051061;1.057023;1.055343;1.050535;1.035666;1.000000;1.000000;1.000000;1.000000;1.000000;232.377027;40.096286;-0.083276;0.003058;-0.007860;-16.616403;43.619429;25.059794;12.801324;17.567370;1.000000;0.216993;0.126993;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.008192;1.060019;1.045051;1.010003;1.017714;1.019568;1.070157;1.061537;1.089930;1.055990;1.051060;1.057021;1.055341;1.050533;1.035665;1.000000;1.000000;1.000000;1.000000;1.000000;232.377693;40.094826;-0.082571;0.002850;-0.007806;-16.615673;43.619250;25.059961;12.800171;17.567666;1.000000;0.216993;0.126993;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.016384;1.060019;1.045050;1.010003;1.017714;1.019567;1.070154;1.061537;1.089930;1.055989;1.051058;1.057019;1.055338;1.050529;1.035663;1.000000;1.000000;1.000000;1.000000;1.000000;232.378999;40.091948;-0.081181;0.002521;-0.007700;-16.614399;43.618895;25.060193;12.798240;17.568181;1.000000;0.216993;0.126993;0.942004;0.190001;0.850000;1.010003;1.050000;1.010003;
0.032768;1.060019;1.045049;1.010003;1.017713;1.019565;1.070148;1.061536;1.089930;1.055987;1.051055;1.057015;1.055333;1.050525;1.035659;1.000000;1.000000;1.000000;1.000000;1.000000;232.381557;40.086259;-0.078409;0.002072;-0.007484;-16.612434;43.618260;25.060342;12.795461;17.568976;1.000000;0.216993;0.126993;0.942005;0.190002;0.850000;1.010003;1.050000;1.010003;
0.065536;1.060020;1.045048;1.010004;1.017712;1.019564;1.070143;1.061535;1.089931;1.055985;1.051053;1.057011;1.055328;1.050520;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.386651;40.074706;-0.072610;0.001523;-0.006976;-16.609982;43.617430;25.059833;12.792323;17.570017;1.000000;0.216992;0.126993;0.942005;0.190002;0.850000;1.010004;1.050000;1.010004;
0.131072;1.060020;1.045046;1.010005;1.017711;1.019563;1.070138;1.061535;1.089932;1.055984;1.051051;1.057008;1.055323;1.050516;1.035654;1.000000;0.999999;1.000001;1.000000;1.000000;232.396732;40.050120;-0.059335;0.000675;-0.005656;-16.607845;43.617215;25.057140;12.789695;17.571151;1.000000;0.216992;0.126992;0.942007;0.190002;0.850000;1.010005;1.050000;1.010005;
0.262144;1.060021;1.045045;1.010009;1.017712;1.019564;1.070137;1.061536;1.089935;1.055985;1.051052;1.057008;1.055322;1.050515;1.035654;1.000000;0.999999;1.000001;1.000000;1.000000;232.405700;40.007441;-0.028209;-0.000467;-0.003422;-16.607095;43.618271;25.048593;12.788307;17.571929;1.000000;0.216991;0.126992;0.942012;0.190004;0.850000;1.010009;1.050000;1.010009;
0.524288;1.060021;1.045044;1.010013;1.017713;1.019565;1.070133;1.061538;1.089939;1.055986;1.051052;1.057006;1.055319;1.050512;1.035653;1.000000;1.000000;1.000001;1.000000;1.000000;232.394083;39.978665;0.009338;-0.000693;-0.003287;-16.603489;43.614720;25.038096;12.784895;17.573474;1.000000;0.216991;0.126991;0.942018;0.190006;0.850000;1.010013;1.050000;1.010013;
1.048576;1.060022;1.045044;1.010014;1.017713;1.019564;1.070127;1.061540;1.089946;1.055985;1.051051;1.057002;1.055313;1.050507;1.035651;1.000000;1.000000;1.000000;1.000000;1.000000;232.382550;39.986668;0.012652;-0.000348;-0.004423;-16.598284;43.607597;25.038687;12.780408;17.576624;1.000000;0.216991;0.126991;0.942020;0.190007;0.850000;1.010014;1.050000;1.010014;
2.097152;1.060023;1.045042;1.010014;1.017713;1.019563;1.070121;1.061543;1.089957;1.055986;1.051050;1.056999;1.055308;1.050502;1.035649;1.000000;1.000000;1.000000;1.000000;1.000000;232.386815;39.996933;-0.001140;-0.000184;-0.004440;-16.593432;43.600148;25.045578;12.775974;17.581377;1.000000;0.216991;0.126991;0.942020;0.190007;0.850000;1.010014;1.050000;1.010014;
4.194304;1.060024;1.045041;1.010017;1.017714;1.019563;1.070119;1.061550;1.089972;1.055990;1.051053;1.057000;1.055306;1.050501;1.035651;1.000001;1.000001;1.000001;1.000001;1.000001;232.388217;39.998091;-0.003070;-0.000162;-0.004365;-16.589226;43.591679;25.048782;12.772681;17.586992;1.000000;0.216990;0.126990;0.942023;0.190008;0.850000;1.010017;1.050000;1.010017;
8.388608;1.060026;1.045041;1.010020;1.017717;1.019565;1.070121;1.061558;1.089988;1.055996;1.051058;1.057003;1.055308;1.050503;1.035655;1.000001;1.000001;1.000001;1.000001;1.000001;232.388387;39.998257;-0.002329;-0.000146;-0.004338;-16.587128;43.584961;25.050428;12.770957;17.592270;1.000000;0.216990;0.126991;0.942028;0.190009;0.850000;1.010020;1.050000;1.010020;
16.777216;1.060028;1.045043;1.010023;1.017720;1.019568;1.070124;1.061564;1.090000;1.056001;1.051063;1.057007;1.055311;1.050506;1.035659;1.000002;1.000002;1.000002;1.000002;1.000002;232.388714;39.998606;-0.001827;-0.000125;-0.004305;-16.586911;43.581734;25.051259;12.770226;17.595742;1.000000;0.216991;0.126991;0.942032;0.190011;0.850000;1.010023;1.050000;1.010023;
19.999996;1.060028;1.045043;1.010023;1.017721;1.019569;1.070124;1.061566;1.090002;1.056002;1.051064;1.057008;1.055312;1.050507;1.035660;1.000002;1.000002;1.000002;1.000002;1.000002;232.388779;39.998675;-0.001735;-0.000121;-0.004298;-16.586984;43.581478;25.051342;12.770153;17.596146;1.000000;0.216991;0.126991;0.942033;0.190011;0.850000;1.010023;1.050000;1.010023;
19.999996;1.064235;1.056816;1.022941;1.026545;1.027698;1.074208;1.067129;1.092561;1.061631;1.056382;1.061708;1.059456;1.054745;1.040606;1.000002;1.000002;1.000002;1.000002;1.000002;232.815940;43.063566;0.604438;-0.334661;-0.116965;-31.714095;8.992736;-22.890301;10.451648;15.774273;1.000000;0.220668;-0.383566;0.960162;-0.320024;0.850000;1.022941;1.050000;1.022941;
19.999997;1.064235;1.056816;1.022941;1.026545;1.027699;1.074208;1.067129;1.092561;1.061631;1.056382;1.061708;1.059456;1.054745;1.040606;1.000002;1.000002;1.000002;1.000002;1.000002;232.815954;43.063571;0.604449;-0.334657;-0.116966;-31.714144;8.992743;-22.890318;10.451647;15.774263;1.000000;0.220668;-0.383567;0.960162;-0.320025;0.850000;1.022941;1.050000;1.022941;
19.999998;1.064235;1.056816;1.022941;1.026545;1.027699;1.074209;1.067129;1.092561;1.061631;1.056382;1.061708;1.059456;1.054745;1.040606;1.000002;1.000002;1.000002;1.000002;1.000002;232.815965;43.063569;0.604455;-0.334653;-0.116967;-31.714185;8.992769;-22.890303;10.451647;15.774254;1.000000;0.220668;-0.383567;0.960162;-0.320025;0.850000;1.022941;1.050000;1.022941;
20.000000;1.064235;1.056817;1.022941;1.026546;1.027699;1.074209;1.067129;1.092562;1.061631;1.056382;1.061708;1.059456;1.054745;1.040606;1.000002;1.000002;1.000002;1.000002;1.000002;232.815989;43.063568;0.604468;-0.334644;-0.116968;-31.714269;8.992814;-22.890286;10.451647;15.774236;1.000000;0.220668;-0.383568;0.960162;-0.320026;0.850000;1.022941;1.050000;1.022941;
20.000004;1.064236;1.056817;1.022941;1.026546;1.027699;1.074209;1.067129;1.092562;1.061631;1.056382;1.061708;1.059457;1.054745;1.040606;1.000002;1.000002;1.000002;1.000002;1.000002;232.816034;43.063556;0.604488;-0.334627;-0.116971;-31.714428;8.992926;-22.890212;10.451649;15.774200;1.000000;0.220668;-0.383568;0.960163;-0.320026;0.850000;1.022941;1.050000;1.022941;
20.000012;1.064236;1.056817;1.022942;1.026546;1.027699;1.074209;1.067130;1.092562;1.061631;1.056382;1.061709;1.059457;1.054746;1.040607;1.000002;1.000002;1.000002;1.000002;1.000002;232.816126;43.063540;0.604533;-0.334593;-0.116976;-31.714751;8.993135;-22.890091;10.451652;15.774128;1.000000;0.220668;-0.383568;0.960163;-0.320026;0.850000;1.022942;1.050000;1.022942;
20.000028;1.064236;1.056818;1.022943;1.026547;1.027700;1.074210;1.067130;1.092562;1.061632;1.056383;1.061709;1.059457;1.054746;1.040607;1.000002;1.000002;1.000002;1.000002;1.000002;232.816310;43.063506;0.604622;-0.334524;-0.116987;-31.715399;8.993552;-22.889849;10.451657;15.773985;1.000000;0.220668;-0.383569;0.960165;-0.320027;0.850000;1.022943;1.050000;1.022943;
20.000060;1.064237;1.056819;1.022945;1.026548;1.027701;1.074211;1.067131;1.092562;1.061633;1.056384;1.061710;1.059459;1.054748;1.040608;1.000002;1.000002;1.000002;1.000002;1.000002;232.816678;43.063439;0.604800;-0.334387;-0.117009;-31.716693;8.994386;-22.889365;10.451668;15.773697;1.000000;0.220669;-0.383570;0.960168;-0.320028;0.850000;1.022945;1.050000;1.022945;
20.000124;1.064239;1.056822;1.022949;1.026551;1.027704;1.074213;1.067133;1.092563;1.061635;1.056386;1.061713;1.059461;1.054750;1.040611;1.000002;1.000002;1.000002;1.000002;1.000002;232.817414;43.063304;0.605156;-0.334113;-0.117053;-31.719279;8.996054;-22.888398;10.451688;15.773122;1.000000;0.220670;-0.383573;0.960173;-0.320032;0.850000;1.022949;1.050000;1.022949;
20.000252;1.064242;1.056828;1.022956;1.026556;1.027709;1.074218;1.067137;1.092566;1.061639;1.056391;1.061717;1.059466;1.054755;1.040615;1.000002;1.000002;1.000002;1.000002;1.000002;232.818884;43.063034;0.605867;-0.333567;-0.117141;-31.724442;8.999381;-22.886467;10.451728;15.771975;1.000000;0.220672;-0.383578;0.960184;-0.320038;0.850000;1.022956;1.050000;1.022956;
20.000508;1.064249;1.056839;1.022972;1.026567;1.027719;1.074228;1.067145;1.092570;1.061648;1.056399;1.061727;1.059476;1.054764;1.040624;1.000002;1.000002;1.000002;1.000002;1.000002;232.821821;43.062490;0.607288;-0.332483;-0.117314;-31.734729;9.006012;-22.882614;10.451802;15.769690;1.000000;0.220675;-0.383588;0.960206;-0.320050;0.850000;1.022972;1.050000;1.022972;
20.001020;1.064262;1.056861;1.023003;1.026588;1.027739;1.074248;1.067160;1.092578;1.061665;1.056416;1.061745;1.059495;1.054783;1.040641;1.000002;1.000002;1.000002;1.000003;1.000002;232.827678;43.061385;0.610126;-0.330347;-0.117652;-31.755149;9.019174;-22.874945;10.451925;15.765152;1.000000;0.220682;-0.383608;0.960250;-0.320074;0.850000;1.023003;1.050000;1.023003;
20.002044;1.064289;1.056906;1.023065;1.026631;1.027780;1.074286;1.067191;1.092594;1.061698;1.056450;1.061781;1.059532;1.054820;1.040676;1.000002;1.000002;1.000002;1.000003;1.000002;232.839329;43.059106;0.615779;-0.326194;-0.118296;-31.795381;9.045107;-22.859760;10.452081;15.756211;1.000000;0.220696;-0.383648;0.960337;-0.320122;0.850000;1.023065;1.050000;1.023065;
20.004092;1.064340;1.056992;1.023185;1.026713;1.027858;1.074360;1.067251;1.092625;1.061763;1.056516;1.061850;1.059605;1.054892;1.040742;1.000002;1.000001;1.000002;1.000004;1.000003;232.862380;43.054272;0.627000;-0.318333;-0.119463;-31.873493;9.095450;-22.829988;10.452046;15.738843;1.000000;0.220723;-0.383727;0.960506;-0.320217;0.850000;1.023185;1.050000;1.023185;
20.008188;1.064439;1.057156;1.023415;1.026870;1.028007;1.074499;1.067365;1.092684;1.061885;1.056641;1.061981;1.059742;1.055026;1.040868;1.000002;1.000000;1.000002;1.000006;1.000003;232.907496;43.043484;0.649080;-0.304134;-0.121352;-32.020854;9.190388;-22.772783;10.450762;15.706045;1.000000;0.220775;-0.383876;0.960830;-0.320396;0.850000;1.023415;1.050000;1.023415;
20.016380;1.064622;1.057455;1.023834;1.027154;1.028277;1.074746;1.067570;1.092793;1.062107;1.056864;1.062215;1.059983;1.055265;1.041094;1.000002;0.999999;1.000002;1.000009;1.000004;232.993949;43.017403;0.691747;-0.280235;-0.123610;-32.284058;9.359733;-22.667255;10.444411;15.647320;1.000000;0.220868;-0.384147;0.961421;-0.320725;0.850000;1.023834;1.050000;1.023834;
20.032764;1.064933;1.057952;1.024540;1.027629;1.028726;1.075140;1.067913;1.092977;1.062472;1.057232;1.062594;1.060371;1.055649;1.041461;1.000001;0.999995;1.000001;1.000014;1.000005;233.153248;42.947954;0.771293;-0.242213;-0.123438;-32.709580;9.632511;-22.487980;10.422596;15.551813;1.000000;0.221024;-0.384599;0.962415;-0.321278;0.850000;1.024540;1.050000;1.024540;
20.065532;1.065402;1.058669;1.025569;1.028320;1.029379;1.075683;1.068411;1.093256;1.062997;1.057754;1.063124;1.060907;1.056180;1.041980;0.999999;0.999989;1.000000;1.000023;1.000008;233.427980;42.751563;0.911777;-0.175360;-0.110160;-33.292185;10.003750;-22.229688;10.366970;15.419331;1.000000;0.221249;-0.385251;0.963865;-0.322085;0.850000;1.025569;1.050000;1.025569;
20.098300;1.065721;1.059125;1.026233;1.028771;1.029805;1.076015;1.068738;1.093450;1.063334;1.058087;1.063455;1.061236;1.056508;1.042308;0.999996;0.999983;0.999998;1.000029;1.000010;233.654780;42.495633;1.033773;-0.104941;-0.083789;-33.634528;10.221304;-22.075550;10.310340;15.339640;1.000000;0.221391;-0.385665;0.964800;-0.322606;0.850000;1.026233;1.050000;1.026233;
