time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____1_SM_generator_UStatorPu;GEN____6_SM_generator_UStatorPu;GEN____2_SM_generator_UStatorPu;GEN____3_SM_generator_UStatorPu;GEN____8_SM_generator_UStatorPu;GEN____1_SM_voltageRegulator_EfdPu;GEN____2_SM_voltageRegulator_EfdPu;GEN____3_SM_voltageRegulator_EfdPu;GEN____6_SM_voltageRegulator_EfdPu;GEN____8_SM_voltageRegulator_EfdPu;GEN____1_SM_generator_theta;GEN____1_SM_generator_thetaInternal_value;GEN____1_SM_Speed_speedProtection_omegaMonitoredPu;GEN____1_SM_Speed_speedProtection_switchOffSignal;OMEGA_REF_omega_grp_0_value;OMEGA_REF_omegaRef_0_value;
0.000000;1.059970;1.045041;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329584;0.005609;40.126172;-0.074832;-0.006407;-16.691112;43.675435;25.065946;12.802790;17.569940;1.058824;1.070149;1.048778;1.011505;1.096374;1.436651;1.269364;1.112250;1.461749;1.194231;0.309599;0.309607;1.000000;-1.000000;1.000000;1.000000;
0.000001;1.059970;1.045041;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329575;0.005629;40.126182;-0.074841;-0.006410;-16.691133;43.675431;25.065935;12.802836;17.569931;1.058824;1.070149;1.048778;1.011505;1.096374;1.436651;1.269364;1.112250;1.461748;1.194231;0.309599;0.309607;1.000000;-1.000000;1.000000;1.000000;
0.000002;1.059970;1.045041;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329575;0.005629;40.126181;-0.074841;-0.006410;-16.691133;43.675431;25.065935;12.802836;17.569931;1.058824;1.070149;1.048778;1.011505;1.096374;1.436651;1.269364;1.112250;1.461748;1.194231;0.309599;0.309607;1.000000;-1.000000;1.000000;1.000000;
0.000004;1.059970;1.045041;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329577;0.005628;40.126180;-0.074840;-0.006410;-16.691131;43.675430;25.065936;12.802832;17.569931;1.058824;1.070149;1.048778;1.011505;1.096374;1.436651;1.269364;1.112250;1.461748;1.194231;0.309599;0.309607;1.000000;-1.000000;1.000000;1.000000;
0.000008;1.059970;1.045041;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329578;0.005629;40.126178;-0.074840;-0.006410;-16.691130;43.675429;25.065935;12.802834;17.569931;1.058824;1.070149;1.048778;1.011505;1.096374;1.436651;1.269364;1.112250;1.461748;1.194231;0.309599;0.309607;1.000000;-1.000000;1.000000;1.000000;
0.000016;1.059970;1.045041;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329580;0.005628;40.126174;-0.074838;-0.006410;-16.691127;43.675427;25.065935;12.802832;17.569931;1.058824;1.070149;1.048778;1.011505;1.096374;1.436651;1.269364;1.112250;1.461748;1.194231;0.309599;0.309607;1.000000;-1.000000;1.000000;1.000000;
0.000032;1.059970;1.045041;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329586;0.005627;40.126166;-0.074836;-0.006409;-16.691119;43.675422;25.065936;12.802829;17.569932;1.058824;1.070149;1.048778;1.011505;1.096374;1.436651;1.269364;1.112250;1.461748;1.194231;0.309599;0.309607;1.000000;-1.000000;1.000000;1.000000;
0.000064;1.059970;1.045041;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329597;0.005624;40.126150;-0.074830;-0.006409;-16.691105;43.675413;25.065937;12.802821;17.569933;1.058824;1.070149;1.048778;1.011505;1.096374;1.436650;1.269364;1.112250;1.461748;1.194231;0.309599;0.309607;1.000000;-1.000000;1.000000;1.000000;
0.000128;1.059970;1.045041;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329620;0.005619;40.126118;-0.074819;-0.006408;-16.691076;43.675395;25.065938;12.802807;17.569935;1.058824;1.070149;1.048778;1.011505;1.096374;1.436650;1.269364;1.112250;1.461749;1.194231;0.309599;0.309607;1.000000;-1.000000;1.000000;1.000000;
0.000256;1.059970;1.045041;1.010001;1.017703;1.019553;1.070149;1.061530;1.089926;1.055982;1.051051;1.057013;1.055333;1.050525;1.035657;1.000000;1.000000;1.000000;1.000000;1.000000;232.329665;0.005608;40.126054;-0.074797;-0.006405;-16.691019;43.675359;25.065941;12.802777;17.569940;1.058824;1.070149;1.048778;1.011505;1.096374;1.436650;1.269364;1.112250;1.461750;1.194231;0.309599;0.309607;1.000000;-1.000000;1.000000;1.000000;
