time;NETWORK__KANA___1_TN_Upu_value;NETWORK__TURN___2_TN_Upu_value;NETWORK__LOGA___3_TN_Upu_value;NETWORK__BEAV___6_TN_Upu_value;NETWORK__CLIN___8_TN_Upu_value;NETWORK__SALT___9_TN_Upu_value;NETWORK__GLEN__12_TN_Upu_value;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____9_SM_generator_PGen;GEN___12_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____9_SM_generator_QGen;GEN___12_SM_generator_QGen;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;GEN____1_SM_generator_UStatorPu;GEN____2_SM_generator_UStatorPu;GEN____3_SM_generator_UStatorPu;GEN____6_SM_generator_UStatorPu;GEN____8_SM_generator_UStatorPu;GEN____9_SM_generator_UStatorPu;GEN___12_SM_generator_UStatorPu;_LOAD____9_EC_load_PPu;_LOAD____9_EC_load_QPu;
0.000000;1.039999;1.009992;0.984956;0.979989;1.004961;0.979997;1.015040;478.690047;-0.045837;39.924997;0.086886;449.870299;0.139588;310.017963;128.851004;-0.721896;-1.002395;0.899673;62.009284;2.299427;128.745322;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047590;1.009949;0.984878;0.980071;1.010732;0.980139;1.022613;1.209995;0.259998;
0.000001;1.039999;1.009992;0.984956;0.979989;1.004961;0.979997;1.015040;478.690052;-0.045843;39.924982;0.086910;449.870269;0.139595;310.017990;128.850996;-0.721880;-1.002436;0.899697;62.009231;2.299434;128.745374;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047590;1.009949;0.984878;0.980071;1.010732;0.980139;1.022613;1.209995;0.259998;
0.000002;1.039999;1.009992;0.984956;0.979989;1.004961;0.979997;1.015040;478.690051;-0.045843;39.924983;0.086910;449.870269;0.139595;310.017990;128.850996;-0.721880;-1.002436;0.899697;62.009231;2.299434;128.745373;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047590;1.009949;0.984878;0.980071;1.010732;0.980139;1.022613;1.209995;0.259998;
0.000004;1.039999;1.009992;0.984956;0.979989;1.004961;0.979997;1.015040;478.690053;-0.045846;39.924977;0.086920;449.870257;0.139597;310.018002;128.850992;-0.721873;-1.002453;0.899707;62.009209;2.299437;128.745395;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047590;1.009949;0.984878;0.980071;1.010732;0.980139;1.022613;1.209995;0.259998;
0.000008;1.039999;1.009992;0.984956;0.979989;1.004961;0.979997;1.015040;478.690051;-0.045842;39.924984;0.086908;449.870272;0.139592;310.017990;128.850996;-0.721880;-1.002435;0.899696;62.009232;2.299434;128.745372;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047590;1.009949;0.984878;0.980071;1.010732;0.980139;1.022613;1.209995;0.259998;
0.000016;1.039999;1.009992;0.984956;0.979989;1.004961;0.979997;1.015040;478.690050;-0.045841;39.924985;0.086906;449.870276;0.139589;310.017989;128.850996;-0.721881;-1.002433;0.899696;62.009234;2.299434;128.745370;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047590;1.009949;0.984878;0.980071;1.010732;0.980139;1.022613;1.209995;0.259998;
0.000032;1.039999;1.009992;0.984956;0.979989;1.004961;0.979997;1.015040;478.690047;-0.045839;39.924989;0.086901;449.870283;0.139583;310.017989;128.850997;-0.721882;-1.002431;0.899695;62.009238;2.299435;128.745367;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047590;1.009949;0.984878;0.980071;1.010732;0.980139;1.022613;1.209995;0.259998;
0.000064;1.039999;1.009992;0.984956;0.979989;1.004961;0.979997;1.015040;478.690043;-0.045835;39.924995;0.086892;449.870298;0.139570;310.017988;128.850998;-0.721885;-1.002426;0.899693;62.009245;2.299435;128.745360;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047590;1.009949;0.984878;0.980071;1.010732;0.980139;1.022613;1.209995;0.259998;
0.000128;1.039999;1.009992;0.984956;0.979989;1.004961;0.979997;1.015040;478.690034;-0.045826;39.925008;0.086874;449.870328;0.139545;310.017985;128.851001;-0.721890;-1.002416;0.899689;62.009259;2.299436;128.745346;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047590;1.009949;0.984878;0.980071;1.010732;0.980139;1.022613;1.209995;0.259998;
0.000256;1.039999;1.009992;0.984956;0.979989;1.004961;0.979997;1.015040;478.690017;-0.045808;39.925033;0.086838;449.870388;0.139494;310.017980;128.851006;-0.721900;-1.002395;0.899681;62.009287;2.299437;128.745318;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047590;1.009949;0.984878;0.980071;1.010732;0.980139;1.022613;1.209995;0.259998;
