time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;_LOAD___2_EC_load_PPu;_LOAD___2_EC_load_QPu;_LOAD___3_EC_load_PPu;_LOAD___3_EC_load_QPu;_LOAD___3_EC_load_UPu;_LOAD___3_EC_transformer_U1Pu;_LOAD___3_EC_transformer_U2Pu;_LOAD___3_EC_transformer_tap;TAP_CHANGER_LOAD_3_tapChanger_valueMin;TAP_CHANGER_LOAD_3_tapChanger_valueMax;
0.000000;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055339;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375755;40.097048;-0.084459;0.002570;-0.006187;-16.616343;43.620674;25.059888;12.799233;17.567574;0.216993;0.126993;0.942003;0.064396;0.992375;1.010002;0.992375;5.000000;0.990000;1.010000;
0.000001;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375750;40.097057;-0.084464;0.002583;-0.006189;-16.616359;43.620665;25.059878;12.799277;17.567565;0.216993;0.126993;0.942003;0.064396;0.992375;1.010002;0.992375;5.000000;0.990000;1.010000;
0.000002;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375750;40.097056;-0.084464;0.002583;-0.006189;-16.616358;43.620665;25.059878;12.799277;17.567565;0.216993;0.126993;0.942003;0.064396;0.992375;1.010002;0.992375;5.000000;0.990000;1.010000;
0.000004;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375751;40.097055;-0.084464;0.002582;-0.006189;-16.616357;43.620665;25.059878;12.799274;17.567566;0.216993;0.126993;0.942003;0.064396;0.992375;1.010002;0.992375;5.000000;0.990000;1.010000;
0.000008;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375751;40.097054;-0.084463;0.002583;-0.006189;-16.616358;43.620664;25.059878;12.799275;17.567566;0.216993;0.126993;0.942003;0.064396;0.992375;1.010002;0.992375;5.000000;0.990000;1.010000;
0.000016;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375753;40.097051;-0.084462;0.002582;-0.006189;-16.616356;43.620664;25.059878;12.799274;17.567566;0.216993;0.126993;0.942003;0.064396;0.992375;1.010002;0.992375;5.000000;0.990000;1.010000;
0.000032;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055340;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375755;40.097046;-0.084459;0.002582;-0.006188;-16.616354;43.620663;25.059879;12.799270;17.567566;0.216993;0.126993;0.942003;0.064396;0.992375;1.010002;0.992375;5.000000;0.990000;1.010000;
0.000064;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055339;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375761;40.097035;-0.084454;0.002580;-0.006188;-16.616348;43.620661;25.059880;12.799263;17.567568;0.216993;0.126993;0.942003;0.064396;0.992375;1.010002;0.992375;5.000000;0.990000;1.010000;
0.000128;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055339;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375771;40.097012;-0.084443;0.002577;-0.006187;-16.616338;43.620658;25.059882;12.799250;17.567570;0.216993;0.126993;0.942003;0.064396;0.992375;1.010002;0.992375;5.000000;0.990000;1.010000;
0.000256;1.060019;1.045051;1.010002;1.017714;1.019567;1.070155;1.061537;1.089929;1.055989;1.051059;1.057020;1.055339;1.050531;1.035664;1.000000;1.000000;1.000000;1.000000;1.000000;232.375792;40.096967;-0.084421;0.002572;-0.006186;-16.616318;43.620652;25.059886;12.799222;17.567575;0.216993;0.126993;0.942003;0.064396;0.992375;1.010002;0.992375;5.000000;0.990000;1.010000;
