time;NETWORK_B2_U_value;B2-G1 _generator_omegaPu;B2-G1 _generator_PGen;B2-G1 _generator_QGen;
0.000000;18.000263;1.000000;162.986437;14.438710;
0.010000;18.000256;1.000000;162.986787;14.439398;
0.020000;18.000248;1.000000;162.987172;14.440023;
0.040000;18.000231;1.000000;162.988025;14.441146;
0.080000;18.000192;1.000000;162.990158;14.442914;
0.160000;18.000104;1.000000;162.995741;14.445359;
0.320000;17.999943;1.000000;163.007450;14.448449;
0.640000;17.999858;0.999999;163.009370;14.451500;
1.000000;17.999856;0.999999;163.005683;14.453176;
1.000000;0.022326;0.999999;0.143259;1.092421;
1.003130;0.022122;1.000145;0.142218;1.069880;
1.006260;0.021928;1.000291;0.141287;1.048557;
1.009390;0.021741;1.000436;0.140461;1.028379;
1.015651;0.021388;1.000727;0.139036;0.990601;
1.021911;0.021062;1.001018;0.137956;0.956464;
1.028171;0.020763;1.001308;0.137212;0.925759;
1.040692;0.020234;1.001886;0.136614;0.872761;
1.050736;0.019870;1.002349;0.136909;0.837287;
1.060779;0.019549;1.002809;0.137800;0.806821;
1.070823;0.019265;1.003269;0.139215;0.780434;
1.080867;0.019011;1.003726;0.141093;0.757378;
1.090910;0.018781;1.004181;0.143381;0.737048;
1.100000;0.018590;1.004592;0.145767;0.720572;
1.100000;15.138500;1.004592;152.194354;-22.912007;
1.103498;15.247587;1.004593;154.711518;-21.579041;
1.106996;15.351450;1.004592;157.171167;-20.280139;
1.108165;15.384481;1.004591;157.972477;-19.859730;
1.108165;15.384484;1.004591;157.971646;-19.858332;
1.111943;15.489068;1.004586;160.534665;-18.513590;
1.115722;15.588015;1.004578;163.026812;-17.210941;
1.119501;15.681673;1.004567;165.448489;-15.951514;
1.127058;15.857302;1.004540;170.140961;-13.520622;
1.134616;16.015363;1.004504;174.578091;-11.245391;
1.142173;16.156710;1.004458;178.748722;-9.132316;
1.157288;16.397336;1.004340;186.336696;-5.340816;
1.170551;16.567773;1.004211;192.178320;-2.477135;
1.183814;16.707437;1.004062;197.303889;0.003057;
1.197077;16.822285;1.003894;201.759364;2.145994;
1.210340;16.917339;1.003711;205.588936;3.993794;
1.223603;16.996795;1.003515;208.834156;5.583677;
1.236866;17.064136;1.003308;211.533441;6.947958;
1.250129;17.122237;1.003093;213.721897;8.114450;
1.263392;17.173457;1.002871;215.431320;9.107023;
1.276655;17.219716;1.002645;216.690325;9.946199;
1.289918;17.262564;1.002416;217.524555;10.649722;
1.316444;17.343712;1.001957;218.039237;11.726124;
1.342970;17.422279;1.001506;217.105621;12.421268;
1.369496;17.501735;1.001072;214.849812;12.817477;
1.396022;17.583656;1.000666;211.389233;12.989734;
1.422548;17.668094;1.000296;206.839788;13.005848;
1.449074;17.754027;0.999970;201.323278;12.926491;
1.475600;17.839767;0.999694;194.974971;12.804880;
1.502126;17.923330;0.999474;187.948583;12.685840;
1.528652;18.002718;0.999314;180.418021;12.604480;
1.555178;18.076147;0.999216;172.575788;12.585029;
1.581704;18.142198;0.999181;164.628307;12.640219;
1.608230;18.199902;0.999209;156.788905;12.771498;
1.634756;18.248768;0.999296;149.269397;12.970175;
1.661282;18.288752;0.999440;142.271314;13.219448;
1.687808;18.320187;0.999633;135.977712;13.497086;
1.714334;18.343681;0.999871;130.546291;13.778462;
1.740860;18.360007;1.000144;126.104243;14.039583;
1.767386;18.369988;1.000444;122.744954;14.259798;
1.793912;18.374404;1.000763;120.526462;14.423911;
1.820439;18.373915;1.001091;119.471398;14.523547;
1.846965;18.369015;1.001419;119.568134;14.557679;
1.873491;18.360021;1.001737;120.772863;14.532366;
1.900017;18.347092;1.002039;123.012428;14.459775;
1.926543;18.330263;1.002316;126.187794;14.356656;
1.953069;18.309510;1.002561;130.178104;14.242462;
1.979595;18.284818;1.002770;134.845278;14.137313;
2.006121;18.256247;1.002938;140.039069;14.060015;
2.032647;18.223992;1.003062;145.602431;14.026322;
2.059173;18.188432;1.003140;151.376956;14.047592;
2.085699;18.150149;1.003171;157.208117;14.129936;
2.112225;18.109934;1.003157;162.949988;14.273901;
2.138751;18.068767;1.003099;168.469172;14.474685;
