time;NETWORK_Bus12_lineB6B12_switch_state_value;NETWORK_Bus13_lineB12B13_switch_state_value;NETWORK_Bus12_lineB12B13_switch_state_value;NETWORK_Bus12_load12_switch_state_value;NETWORK__BUS___12-BUS___13-1_AC_state_value;NETWORK__BUS___12-BUS___13-1_AC_U1_value;NETWORK__BUS___12-BUS___13-1_AC_U2_value;NETWORK__BUS____6-BUS___12-1_AC_state_value;NETWORK__BUS____6-BUS___12-1_AC_U1_value;NETWORK__BUS____6-BUS___12-1_AC_U2_value;NETWORK__BUS____6_TN_U_value;NETWORK_Bus12_1A_U_value;NETWORK_calculatedBus__BUS___12_VL_0_switchOff_value;NETWORK_calculatedBus__BUS___12_VL_1_switchOff_value;NETWORK_calculatedBus__BUS___12_VL_2_switchOff_value;NETWORK_calculatedBus__BUS___12_VL_3_switchOff_value;NETWORK_calculatedBus__BUS___12_VL_0_U_value;NETWORK_calculatedBus__BUS___12_VL_1_U_value;NETWORK_calculatedBus__BUS___12_VL_2_U_value;NETWORK_calculatedBus__BUS___12_VL_3_U_value;NETWORK_calculatedBus__BUS___12_VL_1_ACPIN_V_re;NETWORK_calculatedBus__BUS___12_VL_1_ACPIN_V_im;NETWORK_calculatedBus__BUS___12_VL_1_ACPIN_i_re;NETWORK_calculatedBus__BUS___12_VL_1_ACPIN_i_im;NETWORK_Bus13_1A_U_value;_LOAD__12_EC_load_switchOffSignal1;_LOAD__12_EC_load_switchOffSignal2;_LOAD__12_EC_load_running;_LOAD__12_EC_load_PPu;_LOAD__12_EC_load_QPu;NETWORK_Bus12_1A_switchOff;NETWORK_Bus12_1A_phi_value;NETWORK_Bus12_1A_Upu_value;ReclosingLOVR_lackOfVoltageRelay_switchControlSignal;ReclosingLOVR_lackOfVoltageRelay_tripCond;ReclosingLOVR_lackOfVoltageRelay_busRecCond;ReclosingLOVR_lackOfVoltageRelay_recloseCond;ReclosingLOVR_lackOfVoltageRelay_sleepMode;
0.000000;1.000000;2.000000;2.000000;2.000000;2.000000;1.027663;1.043922;2.000000;1.070338;1.070338;14.770658;14.181743;-1.000000;-1.000000;-1.000000;-1.000000;14.181743;14.181743;14.770658;14.181743;0.988021;-0.282673;-0.052787;0.031294;14.406119;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;-15.965826;1.027663;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
1.000000;1.000000;2.000000;2.000000;2.000000;2.000000;1.027671;1.043931;2.000000;1.070357;1.070357;14.770921;14.181865;-1.000000;-1.000000;-1.000000;-1.000000;14.181865;14.181865;14.770921;14.181865;0.988138;-0.282296;-0.052797;0.031275;14.406243;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;-15.943832;1.027671;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
2.000000;1.000000;2.000000;2.000000;2.000000;2.000000;1.027662;1.043922;2.000000;1.070345;1.070345;14.770763;14.181738;-1.000000;-1.000000;-1.000000;-1.000000;14.181738;14.181738;14.770763;14.181738;0.988131;-0.282289;-0.052798;0.031275;14.406117;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;-15.943542;1.027662;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
3.000000;1.000000;2.000000;2.000000;2.000000;2.000000;1.027660;1.043919;2.000000;1.070342;1.070342;14.770719;14.181706;-1.000000;-1.000000;-1.000000;-1.000000;14.181706;14.181706;14.770719;14.181706;0.988128;-0.282290;-0.052798;0.031276;14.406086;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;-15.943690;1.027660;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
4.000000;1.000000;2.000000;2.000000;2.000000;2.000000;1.027659;1.043919;2.000000;1.070341;1.070341;14.770708;14.181699;-1.000000;-1.000000;-1.000000;-1.000000;14.181699;14.181699;14.770708;14.181699;0.988127;-0.282291;-0.052798;0.031276;14.406079;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;-15.943714;1.027659;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
5.000000;1.000000;2.000000;2.000000;2.000000;2.000000;1.027659;1.043919;2.000000;1.070341;1.070341;14.770708;14.181699;-1.000000;-1.000000;-1.000000;-1.000000;14.181699;14.181699;14.770708;14.181699;0.988127;-0.282291;-0.052798;0.031276;14.406079;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;-15.943714;1.027659;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
6.000000;1.000000;2.000000;2.000000;2.000000;2.000000;1.027659;1.043919;2.000000;1.070341;1.070341;14.770708;14.181699;-1.000000;-1.000000;-1.000000;-1.000000;14.181699;14.181699;14.770708;14.181699;0.988127;-0.282291;-0.052798;0.031276;14.406079;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;-15.943714;1.027659;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
7.000000;1.000000;2.000000;2.000000;2.000000;2.000000;1.027659;1.043919;2.000000;1.070341;1.070341;14.770708;14.181699;-1.000000;-1.000000;-1.000000;-1.000000;14.181699;14.181699;14.770708;14.181699;0.988127;-0.282291;-0.052798;0.031276;14.406079;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;-15.943714;1.027659;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
8.000000;1.000000;2.000000;2.000000;2.000000;2.000000;1.027659;1.043919;2.000000;1.070341;1.070341;14.770708;14.181699;-1.000000;-1.000000;-1.000000;-1.000000;14.181699;14.181699;14.770708;14.181699;0.988127;-0.282291;-0.052798;0.031276;14.406079;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;-15.943714;1.027659;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
9.000000;1.000000;2.000000;2.000000;2.000000;2.000000;1.027659;1.043919;2.000000;1.070341;1.070341;14.770708;14.181699;-1.000000;-1.000000;-1.000000;-1.000000;14.181699;14.181699;14.770708;14.181699;0.988127;-0.282291;-0.052798;0.031276;14.406079;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;-15.943714;1.027659;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
