           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
   (0.0217368,0)    (0.0129672,0)    (0.0697304,0)  (0.000185266,0)   (0.00220095,0)   (-0.0308403,0)    (-0.139171,0)   (-0.0411713,0)    (-0.221397,0)  (-0.00362013,0)  (-0.00714135,0)   (-0.0308403,0)     (0.103844,0)    (0.0770216,0)    (0.0443342,0)  (-0.00243798,0)   (0.00729104,0)   (-0.0308403,0)  (-0.00570912,0)    (0.0234741,0)     (0.125734,0)   (0.00127318,0)   (0.00297039,0)   (-0.0308403,0)
  (-0.0217368,0)   (-0.0129672,0)   (-0.0697304,0) (-0.000185266,0)  (-0.00220095,0)    (0.0308403,0)     (0.139171,0)    (0.0411713,0)     (0.221397,0)   (0.00362013,0)   (0.00714135,0)    (0.0308403,0)    (-0.103844,0)   (-0.0770216,0)   (-0.0443342,0)   (0.00243798,0)  (-0.00729104,0)    (0.0308403,0)   (0.00570912,0)   (-0.0234741,0)    (-0.125734,0)  (-0.00127318,0)  (-0.00297039,0)    (0.0308403,0)
 (-0.00186637,0)  (-0.00771815,0)   (-0.0415039,0)  (-0.00209862,0)  (-0.00124702,0)    (-0.447739,0)    (0.0149293,0)  (-0.00266217,0)   (-0.0143157,0)  (-0.00394133,0) (-0.000203819,0)    (-0.447739,0)   (-0.0209332,0)   (-0.0171364,0)  (-0.00986386,0)  (6.22615e-06,0)  (-0.00158219,0)    (-0.447739,0)   (0.00668329,0)  (-0.00768611,0)   (-0.0411689,0)  (-0.00127249,0) (-0.000970991,0)    (-0.447739,0)
  (0.00186637,0)   (0.00771815,0)    (0.0415039,0)   (0.00209862,0)   (0.00124702,0)     (0.447739,0)   (-0.0149293,0)   (0.00266217,0)    (0.0143157,0)   (0.00394133,0)  (0.000203819,0)     (0.447739,0)    (0.0209332,0)    (0.0171364,0)   (0.00986386,0) (-6.22615e-06,0)   (0.00158219,0)     (0.447739,0)  (-0.00668329,0)   (0.00768611,0)    (0.0411689,0)   (0.00127249,0)  (0.000970991,0)     (0.447739,0)
