    (0.0759892,0.00082746)    (0.0213154,0.000409929)     (-0.0622204,0.0017624)   (-0.0541675,0.000409892)      (-0.778666,-0.559501)   (-0.00749406,0.00155948)    (-0.0434552,-0.0014445)      (0.209612,0.00344799)   (-0.275312,-0.000359009)    (-0.0171922,0.00477922)          (2.1568,0.651789)    (-0.0380637,0.00672837)   (-0.0756544,-0.00338322)     (0.0183398,-0.0239434)   (-0.0275215,-0.00138814)     (0.0460354,-0.0206439)        (-4.29647,0.235713)    (-0.0291523,-0.0350731)   (-0.0556303,0.000140805)      (-0.152921,0.0158641)       (0.24016,0.00723291)    (0.0602974,-0.00158892)        (3.52594,-0.158004)      (0.0436396,0.0245099)
     (0.834955,0.00744417)      (0.160858,-0.0615894)    (-0.568943,-0.00876776)      (-0.33584,-0.0491815)        (-13.6357,-5.69854)      (0.0299617,-0.119617)    (-0.489392,4.04224e-05)       (2.33638,0.00266521)        (-3.0171,-0.000144)   (0.0328164,-0.000721006)        (18.533,-0.0655369)      (-0.44081,0.00403782)     (-0.752971,-0.0479928)       (0.244748,-0.277681)     (-0.340714,-0.0157817)       (0.404115,-0.225734)         (-53.6511,6.09111)      (-0.334979,-0.397474)   (-0.639686,-0.000275962)        (-1.74347,0.297169)          (2.4432,0.125893)     (0.811351,-0.00103659)          (45.477,0.770642)        (0.449372,0.455829)
  (0.0990106,-0.000615078)      (0.028569,-0.0134909)    (-0.0457882,-0.0059729)   (-0.0548364,-0.00947871)        (-2.07143,0.224258)     (0.0273193,-0.0273576)     (-0.066498,0.00301048)      (0.338522,0.00943086)     (-0.494815,0.00622931)       (0.101636,0.0112052)        (3.36247,-0.803221)     (-0.0950047,0.0220966)    (-0.104265,-0.00779185)     (0.0517778,-0.0578482)   (-0.0633936,-0.00337433)     (0.0631698,-0.0491327)        (-9.95456,0.606918)    (-0.0560205,-0.0845012)   (-0.0868322,0.000346779)      (-0.297985,0.0542599)        (0.31604,0.0239508)    (0.0879217,-0.00130518)         (9.7479,-0.066311)       (0.0573902,0.083526)
   (-0.282405,-0.00155727)       (0.105829,0.0263559)      (0.121189,0.00706215)     (-0.0306311,0.0221749)          (2.50305,1.28285)     (-0.0319134,0.0525345)     (0.127724,-0.00373869)      (-0.431499,0.0314094)      (0.424521,0.00725063)     (0.00403251,0.0441601)            (2.5481,2.5646)      (0.0481226,0.0671606)       (0.10848,0.00482144)     (0.00683061,-0.021741)    (0.0230144,-0.00155521)     (0.0212118,-0.0283972)          (3.9462,-2.46837)     (0.0594726,-0.0391769)      (0.143903,0.00183842)      (0.301088,-0.0536533)       (-0.3725,-0.0177233)     (-0.311059,-0.0115741)        (-4.50182,-1.78958)    (-0.0685734,-0.0811971)
   (-0.600068,-0.00590367)       (0.155434,0.0100115)     (0.360685,-0.00677409)      (0.0680881,0.0124232)          (1.83165,3.92374)      (0.0274436,0.0170283)       (0.255148,0.0045543)      (-0.928711,0.0610975)       (0.910444,0.0260594)       (0.228155,0.0815073)         (2.69497,0.546279)        (0.077041,0.136579)     (0.317321,-0.00118798)      (0.0712037,-0.101413)  (-0.00654361,-0.00638416)     (-0.0534253,-0.100816)        (0.985658,-3.09565)        (0.10373,-0.159441)       (0.27601,0.00327454)     (0.581395,-0.00336516)      (-0.989634,0.0072077)     (-0.578704,-0.0168733)         (1.16167,-2.53124)    (-0.188475,-0.00323383)
    (0.0244749,0.00241342)      (0.0436827,0.0485089)      (-0.149594,0.0221762)       (-0.18182,0.0354895)        (3.94506,-0.993131)     (-0.0896968,0.0995019)       (0.049091,-0.011578)      (0.153758,-0.0222735)     (-0.213321,-0.0192117)     (-0.200305,-0.0248486)        (-0.503754,3.56366)     (0.0040246,-0.0541916)      (-0.222439,0.0226087)       (-0.128561,0.163398)      (0.112431,0.00951015)        (0.184612,0.137365)          (14.5255,-2.0011)       (0.00339382,0.23791)   (0.0910483,-0.000875159)     (-0.0650936,-0.165553)      (0.346519,-0.0723555)      (-0.111671,0.0017098)      (-16.6116,-0.0850392)      (0.0745784,-0.254389)
     (0.153128,0.00516581)       (0.0481045,0.093565)       (-0.33831,0.0437313)       (-0.362099,0.068258)         (7.72194,-2.25167)         (-0.175579,0.1924)     (0.0454362,-0.0228977)      (0.418626,-0.0478509)     (-0.521659,-0.0393438)      (-0.411975,-0.054405)         (-1.29686,6.90156)    (-0.00476379,-0.115491)      (-0.458946,0.0437769)       (-0.257015,0.324658)       (0.216147,0.0189384)         (0.345564,0.27425)          (27.805,-3.59561)     (-0.00747243,0.473757)     (0.122798,-0.00199795)      (-0.205574,-0.319482)        (0.79222,-0.140411)     (-0.114643,0.00478094)       (-31.6849,0.0610347)       (0.166433,-0.491015)
   (0.0055113,0.000199733)  (-0.00220748,0.000806615)  (-0.00755123,0.000663591)  (-0.00772568,0.000525274)      (0.0527712,-0.121988)   (-0.00303505,0.00176422) (0.000391198,-0.000405238)   (0.00486884,-0.00100694)  (-0.0025021,-0.000766534)   (-0.0117199,-0.00123622)      (-0.0452639,0.114222)   (0.00269188,-0.00241662)  (-0.00560225,0.000160494)   (-0.00223526,0.00252757)   (0.00154954,0.000154443)    (0.00313249,0.00230393)       (0.251711,0.0261459)  (-0.000311942,0.00383057)  (0.00256846,-5.13831e-05)  (0.000427311,-0.00175289)   (0.0109903,-0.000864735) (-3.90206e-05,0.000139619)      (-0.294764,0.0212199)   (0.00183678,-0.00271035)
     (0.0357963,0.0552064)      (-0.025457,-0.115363)     (0.0333281,-0.0506858)     (-0.0412622,-0.157754)          (2.71834,1.22179)     (0.0404083,0.00351093)      (0.0018597,0.0233522)     (0.00411894,-0.075936)       (-0.103205,0.130116)      (0.142292,-0.0463025)        (0.452853,-3.23924)      (-0.079877,0.0839921)     (-0.0130132,0.0281557)      (0.0512685,0.0459476)     (0.0131392,-0.0396847)     (0.0687648,-0.0395026)         (-1.5533,-3.22161)    (0.0781463,-0.00127234)      (0.0436866,0.0576938)      (-0.154649,0.0364333)      (-0.075326,-0.102203)    (-0.0412748,-0.0414903)        (-0.533075,8.42343)     (-0.107645,-0.0820159)
    (0.0376292,-0.0614605)      (-0.0408763,0.111063)      (0.0324773,0.0373052)      (-0.0478131,0.155857)          (1.12948,2.90246)     (0.0157629,-0.0172029)     (0.0015272,-0.0137993)      (0.0159977,0.0898334)      (-0.099773,-0.115161)       (0.156157,0.0634872)        (0.852671,0.244082)     (-0.052918,-0.0483319)    (-0.0335503,-0.0172096)   (-0.0586595,-0.00992446)     (0.00693938,0.0415468)     (-0.0200598,0.0651921)           (1.28285,1.1162)     (-0.0775175,0.0493915)     (0.0427961,-0.0566997)    (-0.0162105,-0.0850482)     (-0.0179503,0.0835634)     (-0.0392038,0.0404773)        (0.240079,-8.87716)       (0.10643,0.00746261)
