              (-18.5149,0)               (0.359256,0)               (0.785033,0)                (12.0097,0)               (-3.27282,0)               (-0.30797,0)               (0.810269,0)              (-0.111415,0)              (-0.335287,0)               (0.134276,0)               (0.736085,0)             (-0.0167083,0)               (0.157554,0)              (-0.114973,0)             (0.00193434,0)              (0.0838537,0)               (0.306539,0)             (-0.0370868,0)                (0.55553,0)              (0.0721322,0)                (0.16564,0)               (0.307543,0)               (0.888899,0)               (0.212954,0)
               (0.79911,0)               (-4.08726,0)                (3.39414,0)              (-0.143459,0)              (0.0403828,0)              (-0.623673,0)                (4.63802,0)              (-0.332373,0)               (-1.89049,0)              (-0.914027,0)            (-0.00345497,0)             (0.00930123,0)               (0.179781,0)              (0.0285411,0)            (-0.00647935,0)             (-0.0340244,0)             (0.00331237,0)             (-0.0674785,0)               (0.271544,0)              (0.0763131,0)               (0.257326,0)             (-0.0602568,0)              (-0.026157,0)              (0.0306136,0)
              (0.030382,0)                (8.10268,0)                (-12.752,0)             (-0.0507559,0)               (0.169716,0)               (-2.65492,0)                (0.89104,0)               (0.104773,0)             (0.00858763,0)             (-0.0317889,0)              (-0.018589,0)               (0.748864,0)               (0.112575,0)               (0.231524,0)              (0.0100814,0)              (0.0515333,0)             (0.00752981,0)               (0.335985,0)             (-0.0766235,0)                (0.25799,0)               (0.567571,0)             (-0.0525519,0)              (-0.160462,0)                (0.86347,0)
             (-0.661108,0)              (0.0642521,0)               (0.107719,0)               (-1.16487,0)               (-1.80326,0)              (-0.114674,0)              (-0.752631,0)              (0.0496586,0)               (0.187117,0)              (0.0905543,0)              (-0.137172,0)               (0.032617,0)              (-0.234737,0)               (0.078611,0)              (0.0257927,0)              (0.0539586,0)             (-0.0554347,0)              (0.0120654,0)              (-0.344032,0)             (-0.0133507,0)             (-0.0796208,0)             (-0.0158687,0)              (-0.171094,0)            (-0.00190805,0)
             (-0.634811,0)               (-0.04779,0)              (-0.197826,0)               (0.083627,0)              (-0.480891,0)              (0.0396787,0)               (-1.59271,0)           (-0.000272629,0)             (-0.0164929,0)               (0.249718,0)             (-0.0142487,0)               (0.142735,0)              (-0.294301,0)              (0.0516986,0)               (0.026476,0)              (0.0894506,0)           (-0.000355879,0)               (0.130319,0)              (-0.431529,0)             (-0.0251233,0)              (-0.160081,0)              (0.0766737,0)            (-0.00407187,0)               (0.147456,0)
            (-0.0581865,0)              (0.0259484,0)               (0.139536,0)              (0.0186323,0)                (264.334,0)               (-0.11772,0)               (0.412194,0)               (0.118124,0)               (0.635206,0)             (0.00838799,0)                (-49.808,0)               (-0.11772,0)             (-0.0261146,0)              (0.0246815,0)              (0.0142068,0)               (0.013888,0)               (-37.2166,0)               (-0.11772,0)             (-0.0762319,0)             (0.00863555,0)              (0.0462544,0)              (0.0136443,0)               (-52.8215,0)               (-0.11772,0)
              (0.378592,0)               (0.162803,0)               (0.522366,0)               (0.231259,0)               (0.580773,0)               (0.329315,0)               (-17.4134,0)               (0.478659,0)                (1.76255,0)                (12.1091,0)               (-3.69539,0)               (-2.38821,0)              (0.0466432,0)              (0.0401661,0)              (0.0285406,0)              (0.0516926,0)               (0.100966,0)               (-0.20307,0)              (0.0553831,0)               (0.067416,0)               (0.216195,0)              (0.0843066,0)               (0.206382,0)             (-0.0880113,0)
            (-0.0276961,0)              (0.0330744,0)              (0.0750769,0)             (-0.0175643,0)              (-0.089324,0)               (0.104705,0)              (0.0158994,0)               (-4.15506,0)                (3.16515,0)             (0.00224655,0)                (0.29605,0)              (-0.589216,0)             (0.00589112,0)              (0.0169063,0)            (0.000990019,0)            (0.000840236,0)            (-0.00600729,0)              (0.0116803,0)             (-0.0125508,0)               (0.011624,0)              (0.0280931,0)             (-0.0080079,0)             (-0.0230481,0)              (0.0281315,0)
     (-0.156491,0.0217368)       (0.181442,0.0129672)        (0.42301,0.0697304)    (-0.091963,0.000185266)     (-0.479803,0.00220095)      (0.693583,-0.0308403)      (0.0749503,-0.139171)       (7.88454,-0.0411713)       (-13.1957,-0.221397)    (0.0148717,-0.00362013)      (1.59214,-0.00714135)      (-3.03794,-0.0308403)      (-0.0339108,0.103844)      (0.0657064,0.0770216)    (-0.00918511,0.0443342)    (0.0131226,-0.00243798)    (-0.0352721,0.00729104)      (0.193344,-0.0308403)   (-0.0832385,-0.00570912)      (0.0597503,0.0234741)        (0.136301,0.125734)    (-0.0402935,0.00127318)     (-0.124294,0.00297039)       (0.28181,-0.0308403)
   (-0.0697302,-0.0217368)     (0.0124304,-0.0129672)      (0.058686,-0.0697304)  (-0.0421316,-0.000185266)     (-0.14179,-0.00220095)      (0.0757322,0.0308403)       (-0.156862,0.139171)       (0.191204,0.0411713)        (0.446715,0.221397)      (-1.12369,0.00362013)      (-1.55233,0.00714135)      (0.0723309,0.0308403)      (-0.058112,-0.103844)   (-0.00987624,-0.0770216)    (-0.0118713,-0.0443342)    (0.00174637,0.00243798)   (-0.0212979,-0.00729104)       (0.101317,0.0308403)    (-0.0373524,0.00570912)    (0.00164219,-0.0234741)      (0.0103474,-0.125734)   (-0.0141556,-0.00127318)   (-0.0454492,-0.00297039)      (0.0935534,0.0308403)
   (0.0207362,-0.00186637)    (0.0433012,-0.00771815)      (0.214961,-0.0415039)   (0.00808575,-0.00209862)   (6.7854e-05,-0.00124702)      (-0.121954,-0.447739)       (0.367511,0.0149293)    (0.0907628,-0.00266217)      (0.556828,-0.0143157)   (-0.0209652,-0.00394133)   (-0.448777,-0.000203819)      (-0.246326,-0.447739)    (-0.0793946,-0.0209332)    (-0.0355609,-0.0171364)   (-0.0216084,-0.00986386)    (0.0090609,6.22615e-06)  (-0.00389632,-0.00158219)      (-0.140439,-0.447739)    (-0.0219844,0.00668329)    (0.0133405,-0.00768611)     (0.0652117,-0.0411689)   (0.00364089,-0.00127249) (0.000455425,-0.000970991)      (-0.136944,-0.447739)
    (0.0208605,0.00186637)     (0.0377489,0.00771815)       (0.202993,0.0415039)    (0.00815717,0.00209862)      (-49.8225,0.00124702)       (-0.143312,0.447739)      (0.412203,-0.0149293)      (0.112104,0.00266217)        (0.60283,0.0143157)    (0.00470399,0.00394133)       (264.35,0.000203819)       (-0.143312,0.447739)     (-0.0805145,0.0209332)     (-0.0376704,0.0171364)    (-0.0216834,0.00986386)  (0.00853444,-6.22615e-06)      (-37.2219,0.00158219)       (-0.143312,0.447739)   (-0.0214601,-0.00668329)     (0.0113824,0.00768611)      (0.0609675,0.0411689)    (0.00393958,0.00127249)     (-52.8211,0.000970991)       (-0.143312,0.447739)
