             (0.0717782,0)             (0.00329554,0)              (0.0177216,0)             (-0.0118516,0)            (0.000936358,0)             (-0.0255343,0)               (0.429252,0)             (-0.0295231,0)              (-0.158759,0)             (-0.0845623,0)            (0.000582212,0)             (-0.0255343,0)            (-0.00897135,0)              (0.0111475,0)              (0.0064166,0)             (0.00557522,0)            (0.000613206,0)             (-0.0255343,0)              (0.0119539,0)             (0.00291287,0)              (0.0156021,0)            (-0.00209258,0)            (0.000372793,0)             (-0.0255343,0)
              (0.810478,0)              (0.0273533,0)               (0.147091,0)               (-0.13693,0)             (0.00899361,0)               (-0.12374,0)                (4.60041,0)              (-0.364397,0)               (-1.95952,0)              (-0.935631,0)           (-0.000335556,0)               (-0.12374,0)               (0.159473,0)             (-0.0138754,0)            (-0.00798681,0)             (-0.0435703,0)             (0.00196822,0)               (-0.12374,0)               (0.288016,0)              (0.0288243,0)               (0.154391,0)             (-0.0508739,0)             (0.00374531,0)               (-0.12374,0)
             (0.0915122,0)             (0.00250295,0)              (0.0134595,0)             (-0.0156456,0)             (0.00092168,0)              (0.0334438,0)               (0.688777,0)             (-0.0674343,0)              (-0.362624,0)              (-0.147959,0)            (-0.00181452,0)              (0.0334438,0)             (0.00337301,0)              (0.0034313,0)             (0.00197508,0)            (0.000200924,0)            (0.000301734,0)              (0.0334438,0)              (0.0119539,0)             (0.00262139,0)              (0.0140409,0)             (-0.0020958,0)            (0.000335887,0)              (0.0334438,0)
             (-0.296143,0)            (-0.00955477,0)             (-0.0513803,0)               (0.050172,0)            (-0.00321573,0)            (-0.00775045,0)              (-0.696064,0)              (0.0248531,0)               (0.133646,0)               (0.123044,0)             (-0.0040983,0)            (-0.00775045,0)              (-0.211234,0)              (0.0425852,0)              (0.0245124,0)              (0.0650066,0)           (-0.000916722,0)            (-0.00775045,0)              (-0.241216,0)             (-0.0158943,0)             (-0.0851344,0)              (0.0426982,0)            (-0.00209259,0)            (-0.00775045,0)
             (-0.606824,0)              (-0.029427,0)              (-0.158242,0)              (0.0997015,0)            (-0.00816698,0)               (0.121372,0)                (-1.6009,0)            (-0.00493669,0)             (-0.0265468,0)               (0.245012,0)             (-0.0179341,0)               (0.121372,0)              (-0.298501,0)              (0.0456214,0)                (0.02626,0)               (0.087476,0)            (-0.00231198,0)               (0.121372,0)              (-0.431983,0)             (-0.0331246,0)              (-0.177425,0)              (0.0764149,0)             (-0.0043376,0)               (0.121372,0)
            (-0.0581865,0)              (0.0259484,0)               (0.139536,0)              (0.0186323,0)             (0.00382568,0)               (-0.11772,0)               (0.412194,0)               (0.118124,0)               (0.635206,0)             (0.00838799,0)              (0.0206282,0)               (-0.11772,0)             (-0.0261146,0)              (0.0246815,0)              (0.0142068,0)               (0.013888,0)             (0.00124255,0)               (-0.11772,0)             (-0.0762319,0)             (0.00863555,0)              (0.0462544,0)              (0.0136443,0)             (0.00106812,0)               (-0.11772,0)
            (0.00393158,0)              (0.0532076,0)               (0.286121,0)              (0.0160722,0)             (0.00854591,0)              (-0.239079,0)               (0.994274,0)               (0.226809,0)                (1.21965,0)             (-0.0153182,0)              (0.0417945,0)              (-0.239079,0)             (-0.0204141,0)              (0.0502031,0)              (0.0288973,0)               (0.020171,0)             (0.00312973,0)              (-0.239079,0)             (-0.0702697,0)              (0.0219732,0)               (0.117694,0)              (0.0127315,0)              (0.0027589,0)              (-0.239079,0)
            (0.00268869,0)             (0.00117369,0)             (0.00631143,0)           (-0.000112763,0)            (0.000203316,0)            (-0.00645902,0)              (0.0108189,0)             (0.00164273,0)             (0.00883371,0)           (-0.000671424,0)            (0.000341706,0)            (-0.00645902,0)             (0.00299298,0)            (0.000720611,0)            (0.000414789,0)           (-0.000522089,0)            (0.000105445,0)            (-0.00645902,0)              (0.0011623,0)            (0.000908582,0)             (0.00486661,0)           (-0.000196581,0)             (0.00011543,0)            (-0.00645902,0)
    (0.00690125,0.0217368)     (0.00989836,0.0129672)      (0.0532279,0.0697304)   (0.00188189,0.000185266)    (0.00162493,0.00220095)     (0.0958015,-0.0308403)      (0.0476304,-0.139171)     (0.0107251,-0.0411713)      (0.0576737,-0.221397) (-0.000819524,-0.00362013)   (0.00198295,-0.00714135)     (0.0958015,-0.0308403)      (-0.0494953,0.103844)     (-0.0213311,0.0770216)     (-0.0122784,0.0443342)    (0.0057968,-0.00243798)   (-0.00240117,0.00729104)     (0.0958015,-0.0308403)  (-0.00949729,-0.00570912)     (0.00212871,0.0234741)        (0.011402,0.125734)    (0.00171146,0.00127318)   (0.000266384,0.00297039)     (0.0958015,-0.0308403)
   (0.00690125,-0.0217368)    (0.00989836,-0.0129672)     (0.0532279,-0.0697304)  (0.00188189,-0.000185266)   (0.00162493,-0.00220095)      (0.0958015,0.0308403)       (0.0476304,0.139171)      (0.0107251,0.0411713)       (0.0576737,0.221397)  (-0.000819524,0.00362013)    (0.00198295,0.00714135)      (0.0958015,0.0308403)     (-0.0494953,-0.103844)    (-0.0213311,-0.0770216)    (-0.0122784,-0.0443342)     (0.0057968,0.00243798)  (-0.00240117,-0.00729104)      (0.0958015,0.0308403)   (-0.00949729,0.00570912)    (0.00212871,-0.0234741)       (0.011402,-0.125734)   (0.00171146,-0.00127318)  (0.000266384,-0.00297039)      (0.0958015,0.0308403)
   (0.0208605,-0.00186637)    (0.0377489,-0.00771815)      (0.202993,-0.0415039)   (0.00815717,-0.00209862)   (0.00616584,-0.00124702)      (-0.143312,-0.447739)       (0.412203,0.0149293)     (0.112104,-0.00266217)       (0.60283,-0.0143157)   (0.00470399,-0.00394133)   (0.0198034,-0.000203819)      (-0.143312,-0.447739)    (-0.0805145,-0.0209332)    (-0.0376704,-0.0171364)   (-0.0216834,-0.00986386)   (0.00853444,6.22615e-06)  (-0.00411345,-0.00158219)      (-0.143312,-0.447739)    (-0.0214601,0.00668329)    (0.0113824,-0.00768611)     (0.0609675,-0.0411689)   (0.00393958,-0.00127249)  (0.00143411,-0.000970991)      (-0.143312,-0.447739)
