(-0.159779,-0.212531)
(-0.872712,0.216298)
(-1.86596,-0.0234141)
(-3.30004,0.243355)
(-2.34003,2.37825)
(-2.77125,-2.40519)
(-0.719214,5.91358)
(-0.855399,-6.19231)
(3.11406,-9.18598)
(-0.643929,11.3516)
(-12.57,0.0408332)
(-12.7567,-0.12905)
(-15.6095,0.766498)
(-15.8613,-0.177604)
(-18.4019,-0.0376002)
(-21.2453,1.58392)
(24.6241,16.5129)
(-24.384,-26.0697)
(-1.04795,0.538257)
(2.81629,0.168364)
(-0.362586,13.0835)
(-0.234532,-13.8064)
(-13.8208,0.710698)
(-26.404,0.150475)
(-0.621808,0.873496)
(-1.11479,-0.46237)
(-1.28579,0.0855618)
(1.93122,1.01281)
(-3.49452,2.54224)
(-3.10233,-4.32284)
(-0.484067,-5.90684)
(-0.604967,6.04813)
(-13.4163,1.09474)
(-15.0756,0.0887872)
(-17.0688,-1.00308)
(-19.1543,0.0646182)
(-0.586004,-0.0236279)
(-0.353469,0.530242)
(-0.822253,0.0424265)
(-0.985855,-0.0996146)
(-1.37164,0.008145)
(-1.58635,-0.031879)
(-1.60844,0.160809)
(-1.87543,0.821671)
(-1.95257,-0.721024)
(-2.51881,-0.224538)
(0.60817,4.6601)
(-0.163629,-4.86539)
(-0.466824,-5.40956)
(-0.326991,5.43262)
(-1.016,5.82799)
(-0.897888,-5.97371)
(-1.35121,7.32333)
(-1.17538,-7.80587)
(-7.87209,0.630743)
(8.57711,0.0915208)
(-12.5837,-0.00159395)
(-12.6971,-0.149154)
(-14.309,-0.682668)
(-14.4511,0.0191552)
(-15.072,0.131517)
(-15.5549,0.46985)
(-15.9148,-0.279247)
(-16.9632,0.355323)
(-18.3623,-0.0579378)
(-19.3295,0.00272498)
(0.759551,-0.410577)
(-0.894223,-0.0162937)
(-1.37653,0.301204)
(-1.39112,0.733154)
(-2.02081,-0.0145388)
(-2.2017,0.223615)
(-2.7131,-1.70233)
(-0.532635,-5.98902)
(-1.24454,6.05279)
(-3.94039,-5.28073)
(-2.32032,6.19931)
(0.324455,6.71582)
(-1.7132,-6.53344)
(2.26866,-6.72999)
(7.47839,3.43882)
(-10.0635,4.89234)
(-12.624,0.0121438)
(-12.7021,-0.0618117)
(-12.9712,-0.667648)
(-14.5512,-0.176282)
(-15.0871,0.751377)
(-17.503,0.386037)
(-19.9092,-2.20041)
(-31.2375,2.13867)
(-1.10029,-0.189726)
(-1.30935,0.0664691)
(-1.80185,0.952784)
(-2.15648,-0.523373)
(-0.44897,6.90224)
(-0.376641,-6.97082)
(0.42681,9.4561)
(-0.257978,-9.86985)
(-12.6535,-0.031409)
(-14.9466,0.0621094)
(-15.9334,-0.0265182)
(-18.072,0.117341)
(-0.566916,-0.243478)
(-0.741317,0.140762)
(-0.95038,0.373012)
(-1.31771,0.0493152)
(-1.40089,0.30105)
(-2.98669,1.16111)
(-2.22014,-2.62844)
(-4.153,0.00401793)
(-1.01362,-5.24583)
(-1.19941,5.47007)
(-0.138202,5.60981)
(0.0686129,-6.42891)
(6.80522,-2.8766)
(1.19431,-8.61811)
(1.51774,8.80885)
(-7.46148,5.59335)
(-12.5441,-0.506909)
(-14.8214,0.0593999)
(-15.3551,0.0550229)
(-15.7973,0.902657)
(-16.2678,-1.74826)
(-17.7937,0.080946)
(-18.3481,-0.395725)
(-18.9197,-0.0493707)
