"time","bus_4062.U","bus_4012.U","bus_4032.U","bus_1042.U","line_4032_4044.P1Pu","bus_1041.U"
0,1.056022792846785,1.023550187943145,1.048656087059342,1.014498371653581,7.415561698276929,1.012402812761634
6e-06,1.056022792862626,1.023550172697891,1.048656087076704,1.014498371671502,7.415561698533684,1.012402797697009
6e-06,1.056022792862626,1.023550187949977,1.048656087076704,1.014498371671502,7.415561698533684,1.012402812782986
9e-06,1.056022792870545,1.023550172701306,1.048656087085384,1.014498371680461,7.415561698662046,1.012402797707683
9e-06,1.056022792870545,1.023550187953392,1.048656087085384,1.014498371680461,7.415561698662046,1.012402812793661
9.5e-06,1.056022792871865,1.023550172701876,1.04865608708683,1.014498371681954,7.415561698683438,1.012402797709462
9.5e-06,1.056022792871865,1.023550187953962,1.04865608708683,1.014498371681954,7.415561698683438,1.012402812795439
1.05e-05,1.056022792874505,1.023550172703014,1.048656087089723,1.014498371684941,7.415561698726222,1.01240279771302
1.05e-05,1.056022792874505,1.0235501879551,1.048656087089723,1.014498371684941,7.415561698726222,1.012402812798997
0.01,1.056022816795114,1.02355018310892,1.048656113045076,1.014498398598947,7.415562091513697,1.012402829516222
0.02,1.056022836518569,1.023550191821751,1.048656133930491,1.014498420370104,7.415562427151418,1.01240285466651
0.03,1.056022847813714,1.023550195771633,1.048656144545022,1.014498431990155,7.415562634983136,1.012402866665192
0.04,1.056022858798612,1.023550199529973,1.048656154780576,1.014498443239463,7.415562837938578,1.012402878183634
0.05,1.05602286101697,1.023550194295222,1.04865615594952,1.014498445050607,7.415562812984144,1.012402878456145
0.06,1.056022862339114,1.023550188141098,1.048656156191575,1.014498445896877,7.415562764730247,1.012402877578972
0.07,1.056022863661259,1.023550181986974,1.048656156433631,1.014498446743147,7.415562716476352,1.012402876701799
0.08,1.056022864983404,1.023550175832851,1.048656156675686,1.014498447589418,7.415562668222457,1.012402875824627
0.09,1.056022858292465,1.023550157002674,1.048656160031285,1.014498442586402,7.415562137306653,1.012402873145764
0.1,1.056022849789255,1.023550135305631,1.048656164091057,1.014498436260489,7.415561497230113,1.012402870059425
0.11,1.056022841286046,1.023550113608588,1.04865616815083,1.014498429934578,7.415560857153585,1.012402866973085
0.12,1.056022832782837,1.023550091911545,1.048656172210605,1.014498423608667,7.415560217077062,1.012402863886746
0.13,1.05602282427963,1.023550070214502,1.048656176270381,1.014498417282756,7.415559577000549,1.012402860800406
0.14,1.056022815776423,1.023550048517459,1.048656180330158,1.014498410956847,7.415558936924041,1.012402857714067
0.15,1.056022807273217,1.023550026820416,1.048656184389936,1.014498404630938,7.415558296847541,1.012402854627727
0.16,1.056022798770012,1.023550005123373,1.048656188449716,1.014498398305031,7.41555765677105,1.012402851541388
0.17,1.056022781182266,1.023549982986733,1.048656214635976,1.014498389698314,7.415556526397417,1.012402857291475
0.18,1.056022758308279,1.023549960594294,1.048656253697528,1.014498379764413,7.415555110722272,1.012402868183435
0.19,1.056022735434302,1.023549938201856,1.048656292759085,1.014498369830521,7.415553695047052,1.012402879075396
0.2,1.056022712560335,1.023549915809417,1.048656331820647,1.014498359896639,7.415552279371763,1.012402889967356
0.21,1.056022689686377,1.023549893416978,1.048656370882213,1.014498349962766,7.415550863696401,1.012402900859316
0.22,1.056022666812429,1.023549871024539,1.048656409943784,1.014498340028902,7.41554944802097,1.012402911751276
0.23,1.056022643938491,1.0235498486321,1.04865644900536,1.014498330095047,7.415548032345467,1.012402922643236
0.24,1.056022621064563,1.023549826239661,1.04865648806694,1.014498320161201,7.415546616669893,1.012402933535196
0.25,1.056022598190645,1.023549803847222,1.048656527128524,1.014498310227365,7.415545200994248,1.012402944427156
0.26,1.056022575316736,1.023549781454783,1.048656566190114,1.014498300293538,7.415543785318532,1.012402955319116
0.27,1.056022552442838,1.023549759062344,1.048656605251708,1.01449829035972,7.415542369642744,1.012402966211077
0.28,1.056022529568949,1.023549736669905,1.048656644313307,1.014498280425912,7.415540953966886,1.012402977103037
0.29,1.05602250669507,1.023549714277467,1.04865668337491,1.014498270492112,7.415539538290956,1.012402987994997
0.3,1.056022483821201,1.023549691885028,1.048656722436518,1.014498260558322,7.415538122614956,1.012402998886957
0.31,1.056022460947342,1.023549669492589,1.04865676149813,1.014498250624541,7.415536706938884,1.012403009778917
0.32,1.056022438073493,1.02354964710015,1.048656800559747,1.01449824069077,7.41553529126274,1.012403020670877
0.33,1.056022408974259,1.023549629812671,1.04865683304381,1.014498226315101,7.415534013648168,1.012403024502314
0.34,1.056022362639926,1.023549626658356,1.048656847317796,1.014498199641948,7.4155331182595,1.012403008786577
0.35,1.056022316305597,1.023549623504042,1.048656861591785,1.014498172968795,7.415532222870866,1.01240299307084
0.36,1.056022269971271,1.023549620349728,1.048656875865777,1.014498146295645,7.415531327482265,1.012402977355102
0.37,1.05602222363695,1.023549617195413,1.048656890139772,1.014498119622495,7.415530432093697,1.012402961639365
0.38,1.056022177302632,1.023549614041099,1.04865690441377,1.014498092949347,7.415529536705163,1.012402945923628
0.39,1.056022130968318,1.023549610886785,1.048656918687771,1.014498066276201,7.415528641316661,1.012402930207891
0.4,1.056022084634008,1.02354960773247,1.048656932961775,1.014498039603056,7.415527745928193,1.012402914492154
0.41,1.056022038299702,1.023549604578156,1.048656947235781,1.014498012929912,7.415526850539758,1.012402898776416
