"time","deltaFrequency"
0.084,-7.911884306111006e-5
0.085,-8.00254527248967e-5
0.086,-8.093102480444259e-5
0.087,-8.183555236485063e-5
0.088,-8.273902849254e-5
0.089,-8.364144623840275e-5
0.09,-8.454279868885806e-5
0.091,-8.544307890190339e-5
0.092,-8.634227994974708e-5
0.093,-8.724039490459745e-5
0.094,-8.813741683866283e-5
0.095,-8.903333880994069e-5
0.096,-8.992815389774478e-5
0.097,-9.082185517428343e-5
0.098,-9.171443570465954e-5
0.099,-9.2605888553976e-5
0.1,-9.349620679444115e-5
0.101,-9.438538349826331e-5
0.102,-9.527341174475623e-5
0.103,-9.616028457770653e-5
0.104,-9.704599509774425e-5
0.105,-9.7930536348656e-5
0.106,-9.881390141686097e-5
0.107,-9.969608336035662e-5
0.108,-1.0057707524424586e-4
0.109,-1.0145687016205329e-4
0.11,-1.0233546116467096e-4
0.111,-1.0321284133141262e-4
0.112,-1.0408900372027574e-4
0.113,-1.0496394141057408e-4
0.114,-1.058376474603051e-4
0.115,-1.0671007115092834e-4
0.116,-1.0758114379427752e-4
0.117,-1.0845094932676602e-4
0.118,-1.093194803090114e-4
0.119,-1.1018672929452578e-4
0.12,-1.1105268882971586e-4
0.121,-1.1191735148941007e-4
0.122,-1.1278070981290966e-4
0.123,-1.1364275635372678e-4
0.124,-1.1450348369379526e-4
0.125,-1.1536288436531095e-4
0.126,-1.162209509288914e-4
0.127,-1.170776759522596e-4
0.128,-1.1793305198182225e-4
0.129,-1.187870715781969e-4
0.13,-1.1963972729489569e-4
0.131,-1.2049101168543075e-4
0.132,-1.2134091731752505e-4
0.133,-1.2218943673047988e-4
0.134,-1.2303656250622907e-4
0.135,-1.2388228716986305e-4
0.136,-1.2472660329621021e-4
0.137,-1.2556950344588813e-4
0.138,-1.2641098015819807e-4
0.139,-1.2725102601507388e-4
0.14,-1.2808963354160596e-4
0.141,-1.2892679531972817e-4
0.142,-1.297625038958472e-4
0.143,-1.305967518234752e-4
0.144,-1.3142953165612425e-4
0.145,-1.322608359615174e-4
0.146,-1.3309065729316671e-4
0.147,-1.3391898820458437e-4
0.148,-1.3474584216055518e-4
0.149,-1.35571210961416e-4
0.15,-1.363950706050332e-4
0.151,-1.372174137443949e-4
0.152,-1.3803823304670004e-4
0.153,-1.388575211720422e-4
0.154,-1.3967527076630404e-4
0.155,-1.404914745108954e-4
0.156,-1.4130612505169893e-4
0.157,-1.4211921507012448e-4
0.158,-1.4293073719784388e-4
0.159,-1.4374068412337238e-4
0.16,-1.4454904848548722e-4
0.161,-1.4535582296559824e-4
0.162,-1.4616100020248268e-4
0.163,-1.4696457287755038e-4
0.164,-1.4776653365089487e-4
0.165,-1.4856687515418798e-4
0.166,-1.4936559009015582e-4
0.167,-1.501626710904702e-4
0.168,-1.5095811082943555e-4
0.169,-1.5175190196003996e-4
0.17,-1.525440371494824e-4
0.171,-1.533345090578564e-4
0.172,-1.5412331033815008e-4
0.173,-1.5491043366466783e-4
0.174,-1.5569587168329235e-4
0.175,-1.5647961706832803e-4
0.176,-1.5726166247276296e-4
0.177,-1.5804200057090156e-4
0.178,-1.5882062400152108e-4
0.179,-1.595975254389259e-4
0.18,-1.6037269755031502e-4
0.181,-1.6114631939956325e-4
0.182,-1.6191827006650783e-4
0.183,-1.626884917484972e-4
0.184,-1.6345697773800794e-4
0.185,-1.642237213488329e-4
0.186,-1.6498871588055408e-4
0.187,-1.657519546611752e-4
0.188,-1.665134309760674e-4
0.189,-1.672731381532344e-4
0.19,-1.6803106948515278e-4
0.191,-1.6878721828561538e-4
0.192,-1.6954157786130963e-4
0.193,-1.7029414153313382e-4
0.194,-1.710449025864591e-4
0.195,-1.7179385434218375e-4
0.196,-1.7254099011410062e-4
0.197,-1.732863031946863e-4
0.198,-1.7402978690483906e-4
0.199,-1.7477143455124633e-4
0.2,-1.7551123943349012e-4
0.201,-1.762491948724687e-4
0.202,-1.769852941677641e-4
0.203,-1.7771953063316914e-4
0.204,-1.7845189756116042e-4
0.205,-1.7918238827974164e-4
0.206,-1.799109960884948e-4
0.207,-1.8063771429410735e-4
0.208,-1.8136253621037213e-4
0.209,-1.8208545513687113e-4
0.21,-1.828064643802918e-4
0.211,-1.835255572615324e-4
0.212,-1.8424272708017497e-4
0.213,-1.8495796988560187e-4
0.214,-1.8567159224858187e-4
0.215,-1.8638330020337435e-4
0.216,-1.8709308790221257e-4
0.217,-1.878009495115407e-4
0.218,-1.88506879183592e-4
0.219,-1.892108710848106e-4
0.22,-1.8991291936742982e-4
0.221,-1.9061301819789378e-4
0.222,-1.9131116172133034e-4
0.223,-1.9200734411128906e-4
0.224,-1.927015595128978e-4
0.225,-1.933938020926007e-4
0.226,-1.940840660097365e-4
0.227,-1.9477234542364386e-4
0.228,-1.954586344865561e-4
0.229,-1.9614292735781191e-4
0.23,-1.9682521820385546e-4
0.231,-1.9750550117692e-4
0.232,-1.981837704434497e-4
0.233,-1.9886002014146698e-4
0.234,-1.9953424445162682e-4
0.235,-2.002064375190571e-4
0.236,-2.0087659351730736e-4
0.237,-2.0154470658440005e-4
0.238,-2.0221077090809558e-4
0.239,-2.0287478061220554e-4
0.24,-2.0353672987738491e-4
0.241,-2.04196612855867e-4
0.242,-2.0485442370699047e-4
0.243,-2.0551015659009408e-4
0.244,-2.0616380566451653e-4
0.245,-2.0681536508959653e-4
0.246,-2.0746488711154143e-4
0.247,-2.0811250772823087e-4
0.248,-2.0875804945319487e-4
0.249,-2.0940150782422506e-4
0.25,-2.1004287840753477e-4
0.251,-2.106821567906536e-4
0.252,-2.113193385895329e-4
0.253,-2.1195441944854565e-4
0.254,-2.125873950333812e-4
0.255,-2.1321826104525599e-4
0.256,-2.1384701320670274e-4
0.257,-2.144736472686759e-4
0.258,-2.1509815901765705e-4
0.259,-2.1572054424012777e-4
0.26,-2.1634079878651846e-4
0.261,-2.1695891850725957e-4
0.262,-2.1757489929541407e-4
0.263,-2.181887370582558e-4
0.264,-2.1880042773148034e-4
0.265,-2.1940996730762663e-4
0.266,-2.200173517437065e-4
0.267,-2.2062257708910238e-4
0.268,-2.2122563937898576e-4
0.269,-2.218265346982662e-4
0.27,-2.2242525914606404e-4
0.271,-2.230218088499214e-4
0.272,-2.2361617996580208e-4
0.273,-2.24208368685197e-4
0.274,-2.2479837121380797e-4
0.275,-2.2538618378575848e-4
0.276,-2.2597180267069916e-4
0.277,-2.2655522415959695e-4
0.278,-2.2713644457184046e-4
0.279,-2.2771541541288798e-4
0.28,-2.2829212007735578e-4
0.281,-2.2886660167387163e-4
0.282,-2.2943885610260395e-4
0.283,-2.3000887925661573e-4
0.284,-2.3057666707870794e-4
0.285,-2.3114221549747072e-4
0.286,-2.3170552046991588e-4
0.287,-2.3226657797437156e-4
0.288,-2.3282538399627128e-4
0.289,-2.333819345423649e-4
0.29,-2.3393622564071848e-4
0.291,-2.3448825331939815e-4
0.292,-2.3503801364199717e-4
0.293,-2.3558550268631961e-4
0.294,-2.361307165301696e-4
0.295,-2.3667365128687834e-4
0.296,-2.3721430308398794e-4
0.297,-2.3775266804193507e-4
0.298,-2.3828874232378894e-4
0.299,-2.3882252211393507e-4
0.3,-2.3935400358965353e-4
0.301,-2.3988318295664612e-4
0.302,-2.4041005642772006e-4
0.303,-2.4093462026542056e-4
0.304,-2.414568706967657e-4
0.305,-2.4197680400561694e-4
0.306,-2.4249441648294123e-4
0.307,-2.430097044268109e-4
0.308,-2.435226641566146e-4
0.309,-2.4403329202016266e-4
0.31,-2.4454158435105455e-4
0.311,-2.450475375468386e-4
0.312,-2.4555112231183784e-4
0.313,-2.460523465046549e-4
0.314,-2.46551216513069e-4
0.315,-2.4704772855699275e-4
0.316,-2.475418788776551e-4
0.317,-2.480336637376013e-4
0.318,-2.485230794064819e-4
0.319,-2.4901012217526386e-4
0.32,-2.4949478832070326e-4
0.321,-2.4997707416218873e-4
0.322,-2.504569760191089e-4
0.323,-2.509344902179578e-4
0.324,-2.5140961310654575e-4
0.325,-2.518823410539994e-4
0.326,-2.5235267041523457e-4
0.327,-2.528205975806941e-4
0.328,-2.532861189479263e-4
0.329,-2.5374923091447954e-4
0.33,-2.542099299134293e-4
0.331,-2.5466821237074555e-4
0.332,-2.551240747408201e-4
0.333,-2.5557751346383384e-4
0.334,-2.560285250226002e-4
0.335,-2.564771059070381e-4
0.336,-2.569232526070664e-4
0.337,-2.5736696162681483e-4
0.338,-2.5780822949172943e-4
0.339,-2.5824705273436166e-4
0.34,-2.586834279014738e-4
0.341,-2.5911735155403903e-4
0.342,-2.595488202530305e-4
0.343,-2.5997783060205393e-4
0.344,-2.6040437918339876e-4
0.345,-2.608285242757802e-4
0.346,-2.612502120911131e-4
0.347,-2.6166943568028955e-4
0.348,-2.6208619208034634e-4
0.349,-2.625004782927931e-4
0.35,-2.629122913972992e-4
0.351,-2.6332162845932316e-4
0.352,-2.6372848656563974e-4
0.353,-2.6413286283855086e-4
0.354,-2.645347543861476e-4
0.355,-2.6493415838046985e-4
0.356,-2.6533107199355754e-4
0.357,-2.65725492404556e-4
0.358,-2.6611741681392687e-4
0.359,-2.6650684247897516e-4
0.36,-2.6689376663568964e-4
0.361,-2.672781865555862e-4
0.362,-2.6766009951018077e-4
0.363,-2.6803950283493805e-4
0.364,-2.684163938440065e-4
0.365,-2.687907698799563e-4
0.366,-2.691626283208848e-4
0.367,-2.695319665448892e-4
0.368,-2.69898781965594e-4
0.369,-2.702630720037291e-4
0.37,-2.7062483410844607e-4
0.371,-2.709840657502127e-4
0.372,-2.713407644137078e-4
0.373,-2.7169492759071545e-4
0.374,-2.720465528156524e-4
0.375,-2.7239563763714614e-4
0.376,-2.7274217961803515e-4
0.377,-2.7308618858512546e-4
0.378,-2.7342771492300244e-4
0.379,-2.7376669974188417e-4
0.38,-2.741031410877781e-4
0.381,-2.7443703705642974e-4
0.382,-2.747683857649008e-4
0.383,-2.750971853373585e-4
0.384,-2.754234339548134e-4
0.385,-2.7574712981248695e-4
0.386,-2.760682711340223e-4
0.387,-2.763868561714844e-4
0.388,-2.767028831982543e-4
0.389,-2.770163505303458e-4
0.39,-2.7732725651219425e-4
0.391,-2.7763559949534056e-4
0.392,-2.779413778739581e-4
0.393,-2.7824459006353663e-4
0.394,-2.7854523451509294e-4
0.395,-2.788433097080656e-4
0.396,-2.79138814136104e-4
0.397,-2.794317463425955e-4
0.398,-2.7972210487803295e-4
0.399,-2.800098883284363e-4
0.4,-2.8029509530114183e-4
0.401,-2.805777244532237e-4
0.402,-2.808577744488616e-4
0.403,-2.8113524398776235e-4
0.404,-2.8141013178384355e-4
0.405,-2.8168243660076087e-4
0.406,-2.819521572234862e-4
0.407,-2.8221929245120236e-4
0.408,-2.824838411328301e-4
0.409,-2.8274580211729017e-4
0.41,-2.8300517050894314e-4
0.411,-2.832619426129668e-4
0.412,-2.835161226855121e-4
0.413,-2.8376770963944864e-4
0.414,-2.8401670243027866e-4
0.415,-2.8426310002771515e-4
0.416,-2.8450690144410373e-4
0.417,-2.847481056988954e-4
0.418,-2.849867118612792e-4
0.419,-2.8522271900044416e-4
0.42,-2.854561262282118e-4
0.421,-2.856869326919309e-4
0.422,-2.859151375460556e-4
0.423,-2.861407399805671e-4
0.424,-2.863637392138685e-4
0.425,-2.865841344927844e-4
0.426,-2.868019250854559e-4
0.427,-2.8701711028844556e-4
0.428,-2.8722968941963245e-4
0.429,-2.874396618466335e-4
0.43,-2.8764702692996025e-4
0.431,-2.8785178408696765e-4
0.432,-2.880539327421161e-4
0.433,-2.882534723553931e-4
0.434,-2.884504024081025e-4
0.435,-2.8864472241707517e-4
0.436,-2.8883643191335295e-4
0.437,-2.890255304706102e-4
0.438,-2.892120176767321e-4
0.439,-2.893958931480256e-4
0.44,-2.8957715652921934e-4
0.441,-2.8975580750056906e-4
0.442,-2.899318457565414e-4
0.443,-2.9010527102713013e-4
0.444,-2.902760830494344e-4
0.445,-2.904442816173969e-4
0.446,-2.9060986653206555e-4
0.447,-2.907728376300156e-4
0.448,-2.909331947691385e-4
0.449,-2.9109093783574735e-4
0.45,-2.912460667445771e-4
0.451,-2.9139858143167885e-4
0.452,-2.915484818615255e-4
0.453,-2.9169576804122244e-4
0.454,-2.9184035494722593e-4
0.455,-2.9198230425464544e-4
0.456,-2.92121630046438e-4
0.457,-2.9225833203838647e-4
0.458,-2.923924099746955e-4
0.459,-2.925238636137806e-4
0.46,-2.9265269274247885e-4
0.461,-2.9277889716183836e-4
0.462,-2.929024766942234e-4
0.463,-2.930234311762092e-4
0.464,-2.9314176048700347e-4
0.465,-2.9325746449160306e-4
0.466,-2.933705431118483e-4
0.467,-2.9348099626247404e-4
0.468,-2.935888238937423e-4
0.469,-2.936940259630205e-4
0.47,-2.937966024703087e-4
0.471,-2.93896553401396e-4
0.472,-2.9399387880602035e-4
0.473,-2.9408857871970895e-4
0.474,-2.941806532064106e-4
0.475,-2.9427010236560136e-4
0.476,-2.943569262896517e-4
0.477,-2.9444112512777565e-4
0.478,-2.945226990149763e-4
0.479,-2.946016481217839e-4
0.48,-2.9467797264715045e-4
0.481,-2.947516727900279e-4
0.482,-2.9482274878489534e-4
0.483,-2.9489120088754817e-4
0.484,-2.949570293679926e-4
0.485,-2.950202345175512e-4
0.486,-2.9508081664886276e-4
0.487,-2.9513877609588235e-4
0.488,-2.951941131996705e-4
0.489,-2.9524682835102567e-4
0.49,-2.9529692194785184e-4
0.491,-2.9534439438805293e-4
0.492,-2.9538924610506e-4
0.493,-2.954314775678313e-4
0.494,-2.954710892524304e-4
0.495,-2.955080816491318e-4
0.496,-2.9554245526952627e-4
0.497,-2.955742354018298e-4
0.498,-2.956034606924618e-4
0.499,-2.9563007623778503e-4
0.5,-2.9565408292597795e-4
0.501,-2.956754816594298e-4
0.502,-2.9569427335474074e-4
0.503,-2.9571045897114345e-4
0.504,-2.957240394820815e-4
0.505,-2.957350158894201e-4
0.506,-2.957433892092354e-4
0.507,-2.9574916050023603e-4
0.508,-2.957523308353416e-4
0.509,-2.9575290130878784e-4
0.51,-2.957508730574432e-4
0.511,-2.9574624721107057e-4
0.512,-2.9573902495627635e-4
0.513,-2.9572920748677234e-4
0.514,-2.9571679602469203e-4
0.515,-2.9570179182059064e-4
0.516,-2.956841961534451e-4
0.517,-2.9566401030223233e-4
0.518,-2.9564123560277267e-4
0.519,-2.9561587339088646e-4
0.52,-2.955879250450266e-4
0.521,-2.9555739197206776e-4
0.522,-2.9552427556467364e-4
0.523,-2.9548857729366773e-4
0.524,-2.9545029861566263e-4
0.525,-2.9540944103700895e-4
0.526,-2.953660060640573e-4
0.527,-2.953199952528962e-4
0.528,-2.9527141015961433e-4
0.529,-2.952202523829328e-4
0.53,-2.951665235428891e-4
0.531,-2.951102252879423e-4
0.532,-2.95051359273657e-4
0.533,-2.949899272053358e-4
0.534,-2.949259307882812e-4
0.535,-2.9485937177753385e-4
0.536,-2.9479025193523967e-4
0.537,-2.947185730377555e-4
0.538,-2.9464433692538705e-4
0.539,-2.9456754543133457e-4
0.54,-2.944882004101146e-4
0.541,-2.944062228493749e-4
0.542,-2.943216602062648e-4
0.543,-2.942345403624813e-4
0.544,-2.9414486494516723e-4
0.545,-2.9405263558146544e-4
0.546,-2.939578539482568e-4
0.547,-2.9386052171531674e-4
0.548,-2.937606405808424e-4
0.549,-2.936582122643472e-4
0.55,-2.935532385066608e-4
0.551,-2.934457210699293e-4
0.552,-2.93335661723404e-4
0.553,-2.932230622789689e-4
0.554,-2.9310792454140255e-4
0.555,-2.929902503581161e-4
0.556,-2.9287004157652063e-4
0.557,-2.92747300072449e-4
0.558,-2.9262202775015567e-4
0.559,-2.9249422652100066e-4
0.56,-2.923638983176602e-4
0.561,-2.9223104510833764e-4
0.562,-2.9209566884702554e-4
0.563,-2.919577715445598e-4
0.564,-2.91817355204671e-4
0.565,-2.9167442186661674e-4
0.566,-2.9152897358386554e-4
0.567,-2.9138101242409675e-4
0.568,-2.9123054048341146e-4
0.569,-2.91077559879227e-4
0.57,-2.909220727360662e-4
0.571,-2.9076408120687347e-4
0.572,-2.9060358746590964e-4
0.573,-2.904405936945409e-4
0.574,-2.9027510210966057e-4
0.575,-2.901071149494783e-4
0.576,-2.8993663445220363e-4
0.577,-2.89763662884468e-4
0.578,-2.8958820254132434e-4
0.579,-2.8941025573914203e-4
0.58,-2.892298247942904e-4
0.581,-2.8904691205866584e-4
0.582,-2.888615198983757e-4
0.583,-2.886736507008436e-4
0.584,-2.8848332608788496e-4
0.585,-2.8829061321289373e-4
0.586,-2.8809543915286895e-4
0.587,-2.878978066860327e-4
0.588,-2.876977186190288e-4
0.589,-2.8749517777981737e-4
0.59,-2.8729018702478015e-4
0.591,-2.870827492458261e-4
0.592,-2.868728673206533e-4
0.593,-2.866605441909087e-4
0.594,-2.8644578281955546e-4
0.595,-2.862285861695568e-4
0.596,-2.8600895724650854e-4
0.597,-2.8578689906311183e-4
0.598,-2.8556241469601673e-4
0.599,-2.8533550718634615e-4
0.6,-2.851061796604881e-4
0.601,-2.8487443523061984e-4
0.602,-2.846402770373402e-4
0.603,-2.844037082567752e-4
0.604,-2.841647320934726e-4
0.605,-2.8392335175908556e-4
0.606,-2.8367957049368897e-4
0.607,-2.8343339157288483e-4
0.608,-2.83184818286486e-4
0.609,-2.829338539598325e-4
0.61,-2.826805019324752e-4
0.611,-2.8242476555817575e-4
0.612,-2.821666482404339e-4
0.613,-2.819061533898548e-4
0.614,-2.816432844525707e-4
0.615,-2.8137804487471385e-4
0.616,-2.8111043815925996e-4
0.617,-2.8084046781629013e-4
0.618,-2.805681373843072e-4
0.619,-2.8029345042313025e-4
0.62,-2.8001641050678927e-4
0.621,-2.797370212661576e-4
0.622,-2.7945528632500327e-4
0.623,-2.7917120933551587e-4
0.624,-2.788847939854122e-4
0.625,-2.785960439837254e-4
0.626,-2.783049630679102e-4
0.627,-2.780115549754214e-4
0.628,-2.777157393936136e-4
0.629,-2.774175487587627e-4
0.63,-2.7711703099697615e-4
0.631,-2.7681418956149173e-4
0.632,-2.765090279055471e-4
0.633,-2.762015494894854e-4
0.634,-2.7589175783049313e-4
0.635,-2.7557965641733517e-4
0.636,-2.7526524879561975e-4
0.637,-2.749485385038497e-4
0.638,-2.74629529116055e-4
0.639,-2.743082241991601e-4
0.64,-2.739846273769331e-4
0.641,-2.736587422447201e-4
0.642,-2.733305724689217e-4
0.643,-2.730001216804112e-4
0.644,-2.7266739358111636e-4
0.645,-2.723323918374376e-4
0.646,-2.719951201797244e-4
0.647,-2.7165558232411513e-4
0.648,-2.7131378203648637e-4
0.649,-2.709697230542929e-4
0.65,-2.706234091931492e-4
0.651,-2.7027484423314263e-4
0.652,-2.6992403200409854e-4
0.653,-2.695709763500531e-4
0.654,-2.6921568111504257e-4
0.655,-2.6885815018573567e-4
0.656,-2.6849838744169574e-4
0.657,-2.681363968051187e-4
0.658,-2.6777218220530585e-4
0.659,-2.6740574759287483e-4
0.66,-2.6703709692554867e-4
0.661,-2.666662341894721e-4
0.662,-2.662931633992116e-4
0.663,-2.659178885622282e-4
0.664,-2.6554041372151005e-4
0.665,-2.651607429342562e-4
0.666,-2.6477888027187646e-4
0.667,-2.643948298413079e-4
0.668,-2.640085957352767e-4
0.669,-2.6362018210335236e-4
0.67,-2.6322959307378824e-4
0.671,-2.628368367183498e-4
0.672,-2.6244195336033727e-4
0.673,-2.620449113734935e-4
0.674,-2.616457151489726e-4
0.675,-2.6124436914187754e-4
0.676,-2.608408778286275e-4
0.677,-2.604352456856418e-4
0.678,-2.600274772390776e-4
0.679,-2.5961757702219757e-4
0.68,-2.5920554958958064e-4
0.681,-2.5879139954554375e-4
0.682,-2.58375131480193e-4
0.683,-2.5795675003337237e-4
0.684,-2.575362598662423e-4
0.685,-2.5711366565417393e-4
0.686,-2.5668897209385477e-4
0.687,-2.562621839317103e-4
0.688,-2.558333059212714e-4
0.689,-2.554023428231744e-4
0.69,-2.549692994477937e-4
0.691,-2.5453418061971433e-4
0.692,-2.5409699118483786e-4
0.693,-2.536577360316983e-4
0.694,-2.532164200417242e-4
0.695,-2.5277304814608215e-4
0.696,-2.5232762529725505e-4
0.697,-2.518801564548312e-4
0.698,-2.514306466352423e-4
0.699,-2.509791008407092e-4
0.7,-2.5052552413029616e-4
0.701,-2.5006992157017294e-4
0.702,-2.4961229826203635e-4
0.703,-2.4915265931468866e-4
0.704,-2.4869100988667014e-4
0.705,-2.482273551507319e-4
0.706,-2.4776170029383593e-4
0.707,-2.4729405054557674e-4
0.708,-2.468244111497597e-4
0.709,-2.463527873857174e-4
0.71,-2.458791845398878e-4
0.711,-2.454036079413413e-4
0.712,-2.4492606294757024e-4
0.713,-2.444465549160668e-4
0.714,-2.439650892469558e-4
0.715,-2.434816218581659e-4
0.716,-2.4299615902378946e-4
0.717,-2.425087457353925e-4
0.718,-2.42019387080461e-4
0.719,-2.4152808811805926e-4
0.72,-2.410348539712004e-4
0.721,-2.4053968974158124e-4
0.722,-2.400426005664258e-4
0.723,-2.3954359156874716e-4
0.724,-2.390426679284019e-4
0.725,-2.385398348110357e-4
0.726,-2.3803509739650508e-4
0.727,-2.375284608859829e-4
0.728,-2.3701993049485282e-4
0.729,-2.365095114598148e-4
0.73,-2.359972090104634e-4
0.731,-2.3548302841192026e-4
0.732,-2.349669749364125e-4
0.733,-2.3444905387037807e-4
0.734,-2.3392927050025492e-4
0.735,-2.3340763014800814e-4
0.736,-2.328841381284974e-4
0.737,-2.3235879979921492e-4
0.738,-2.3183162049633665e-4
0.739,-2.3130260559156568e-4
0.74,-2.3077176047081593e-4
0.741,-2.3023909052000135e-4
0.742,-2.297046011534576e-4
0.743,-2.2916829777841485e-4
0.744,-2.2863018583052508e-4
0.745,-2.2809027076675648e-4
0.746,-2.2754855804407725e-4
0.747,-2.2700505311945562e-4
0.748,-2.2645976149249236e-4
0.749,-2.259126886485774e-4
0.75,-2.2536384010862776e-4
0.751,-2.248132213864551e-4
0.752,-2.2426083801718733e-4
0.753,-2.2370669556437406e-4
0.754,-2.2315079957735406e-4
0.755,-2.2259315563388782e-4
0.756,-2.2203376930463037e-4
0.757,-2.2147264620286933e-4
0.758,-2.2090979192768145e-4
0.759,-2.2034523077252288e-4
0.76,-2.1977895167424322e-4
0.761,-2.1921096018928665e-4
0.762,-2.1864126208015477e-4
0.763,-2.1806986310934917e-4
0.764,-2.1749676902516057e-4
0.765,-2.16921985646934e-4
0.766,-2.163455187584873e-4
0.767,-2.1576737417916547e-4
0.768,-2.1518755774962983e-4
0.769,-2.1460607531054166e-4
0.77,-2.1402293270256223e-4
0.771,-2.1343813581609083e-4
0.772,-2.1285169054152675e-4
0.773,-2.122636027550584e-4
0.774,-2.1167387839682306e-4
0.775,-2.1108252337853628e-4
0.776,-2.1048954364033534e-4
0.777,-2.0989494513656837e-4
0.778,-2.0929873383579434e-4
0.779,-2.0870091572788851e-4
0.78,-2.0810149680272616e-4
0.781,-2.075004830643934e-4
0.782,-2.0689788053118718e-4
0.783,-2.062936952427208e-4
0.784,-2.0568793324571288e-4
0.785,-2.05080600601093e-4
0.786,-2.0447170338400156e-4
0.787,-2.0386124767668434e-4
0.788,-2.0324923959691432e-4
0.789,-2.026356852269373e-4
0.79,-2.0202059072715883e-4
0.791,-2.014039622082464e-4
0.792,-2.0078580585192185e-4
0.793,-2.0016612779727438e-4
0.794,-1.9954493423313124e-4
0.795,-1.9892223135542508e-4
0.796,-1.9829802536008856e-4
0.797,-1.976723224643706e-4
0.798,-1.9704512889973103e-4
0.799,-1.9641645091184046e-4
0.8,-1.9578629475347498e-4
0.801,-1.951546666845161e-4
0.802,-1.945215522383137e-4
0.803,-1.9388694867927825e-4
0.804,-1.932508873423444e-4
0.805,-1.9261337432396886e-4
0.806,-1.9197441572771368e-4
0.807,-1.913340176642464e-4
0.808,-1.9069218623712914e-4
0.809,-1.9004892757124026e-4
0.81,-1.894042477772473e-4
0.811,-1.8875815300845034e-4
0.812,-1.8811064938262234e-4
0.813,-1.8746174304595797e-4
0.814,-1.8681144015175732e-4
0.815,-1.8615974685332048e-4
0.816,-1.8550666930394755e-4
0.817,-1.8485221366404403e-4
0.818,-1.8419638612243716e-4
0.819,-1.8353919283953246e-4
0.82,-1.8288064000415716e-4
0.821,-1.8222073379092762e-4
0.822,-1.8155948040288195e-4
0.823,-1.8089688602884735e-4
0.824,-1.8023295687186192e-4
0.825,-1.795676991278583e-4
0.826,-1.7890111901408545e-4
0.827,-1.7823322274068687e-4
0.828,-1.775640165249115e-4
0.829,-1.7689350660532455e-4
0.83,-1.7622169917785868e-4
0.831,-1.7554860049528997e-4
0.832,-1.7487421677486736e-4
0.833,-1.7419855427647235e-4
0.834,-1.7352161921735387e-4
0.835,-1.7284341786449886e-4
0.836,-1.7216395644226168e-4
0.837,-1.7148324122473468e-4
0.838,-1.708012784504831e-4
0.839,-1.7011807438649384e-4
0.84,-1.6943363529264843e-4
0.841,-1.6874796742172293e-4
0.842,-1.6806107706202056e-4
0.843,-1.6737297046631738e-4
0.844,-1.666836539158112e-4
