time;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;_LOAD___5_EC_load_PPu;_LOAD___5_EC_load_QPu;
0.000000;1.021440;1.066468;0.076216;0.016076;
0.000001;1.021441;1.066468;0.076216;0.016076;
0.000002;1.021441;1.066468;0.076216;0.016076;
0.000004;1.021441;1.066468;0.076216;0.016076;
0.000008;1.021441;1.066468;0.076216;0.016076;
0.000016;1.021440;1.066468;0.076216;0.016076;
0.000032;1.021440;1.066468;0.076216;0.016076;
0.000064;1.021440;1.066468;0.076216;0.016076;
0.000128;1.021440;1.066467;0.076216;0.016076;
0.000256;1.021440;1.066465;0.076216;0.016076;
0.000512;1.021439;1.066461;0.076215;0.016076;
0.001024;1.021438;1.066455;0.076215;0.016076;
0.001060;1.021438;1.066454;0.076215;0.016076;
0.001060;1.021438;1.066454;0.076215;0.016076;
0.001060;1.021438;1.066454;0.076215;0.016076;
0.002048;1.021435;1.066442;0.076215;0.016076;
0.004096;1.021430;1.066418;0.076215;0.016075;
0.007968;1.021423;1.066380;0.076214;0.016075;
0.007968;1.021423;1.066380;0.076214;0.016075;
0.007968;1.021423;1.066380;0.076214;0.016075;
0.008192;1.021423;1.066378;0.076214;0.016075;
0.013410;1.021416;1.066340;0.076213;0.016075;
0.013410;1.021416;1.066340;0.076213;0.016075;
0.013411;1.021416;1.066340;0.076213;0.016075;
0.013412;1.021416;1.066340;0.076213;0.016075;
0.013414;1.021416;1.066340;0.076213;0.016075;
0.013418;1.021416;1.066340;0.076213;0.016075;
0.013426;1.021416;1.066340;0.076213;0.016075;
0.013442;1.021416;1.066340;0.076213;0.016075;
0.013474;1.021416;1.066339;0.076213;0.016075;
0.013538;1.021416;1.066339;0.076213;0.016075;
0.013666;1.021416;1.066338;0.076213;0.016075;
0.013922;1.021415;1.066337;0.076213;0.016075;
0.014434;1.021415;1.066334;0.076213;0.016075;
0.015458;1.021414;1.066329;0.076213;0.016075;
0.017506;1.021413;1.066320;0.076213;0.016075;
0.021602;1.021411;1.066307;0.076212;0.016075;
0.029794;1.021411;1.066297;0.076212;0.016075;
0.046178;1.021420;1.066320;0.076213;0.016075;
0.078946;1.021456;1.066457;0.076217;0.016076;
0.144482;1.021538;1.066823;0.076227;0.016080;
0.275554;1.021644;1.067384;0.076238;0.016084;
0.406626;1.021711;1.067761;0.076246;0.016086;
0.668770;1.021781;1.068166;0.076254;0.016089;
0.790385;1.021796;1.068266;0.076255;0.016090;
0.790385;1.021796;1.068266;0.076255;0.016090;
0.790385;1.021796;1.068266;0.076255;0.016090;
0.809326;1.021798;1.068282;0.076256;0.016090;
0.809326;1.021798;1.068282;0.076256;0.016090;
0.809327;1.021798;1.068282;0.076256;0.016090;
0.809328;1.021798;1.068282;0.076256;0.016090;
0.809330;1.021798;1.068282;0.076256;0.016090;
0.809334;1.021798;1.068282;0.076256;0.016090;
0.809342;1.021798;1.068282;0.076256;0.016090;
0.809358;1.021798;1.068282;0.076256;0.016090;
0.809390;1.021798;1.068282;0.076256;0.016090;
0.809454;1.021798;1.068282;0.076256;0.016090;
0.809582;1.021798;1.068282;0.076256;0.016090;
0.809838;1.021798;1.068282;0.076256;0.016090;
0.810350;1.021799;1.068283;0.076256;0.016090;
0.811374;1.021799;1.068284;0.076256;0.016090;
0.813422;1.021799;1.068286;0.076256;0.016090;
0.817518;1.021800;1.068291;0.076256;0.016090;
0.825710;1.021801;1.068300;0.076256;0.016090;
0.842094;1.021804;1.068318;0.076256;0.016090;
0.874862;1.021809;1.068350;0.076257;0.016090;
0.938902;1.021818;1.068404;0.076258;0.016091;
0.938902;1.021818;1.068404;0.076258;0.016091;
0.938903;1.021818;1.068404;0.076258;0.016091;
0.938904;1.021818;1.068404;0.076258;0.016091;
0.938906;1.021818;1.068404;0.076258;0.016091;
0.938910;1.021818;1.068404;0.076258;0.016091;
0.938918;1.021818;1.068404;0.076258;0.016091;
0.938934;1.021818;1.068404;0.076258;0.016091;
0.938966;1.021818;1.068404;0.076258;0.016091;
0.939030;1.021818;1.068404;0.076258;0.016091;
0.939158;1.021818;1.068405;0.076258;0.016091;
0.939414;1.021818;1.068405;0.076258;0.016091;
0.939926;1.021818;1.068405;0.076258;0.016091;
0.940950;1.021818;1.068406;0.076258;0.016091;
0.942998;1.021818;1.068407;0.076258;0.016091;
0.947094;1.021819;1.068410;0.076258;0.016091;
0.955286;1.021820;1.068416;0.076258;0.016091;
0.956216;1.021820;1.068417;0.076258;0.016091;
0.956216;1.021820;1.068417;0.076258;0.016091;
0.956216;1.021820;1.068417;0.076258;0.016091;
0.971670;1.021821;1.068428;0.076258;0.016091;
1.004438;1.021824;1.068449;0.076259;0.016091;
1.069974;1.021829;1.068485;0.076259;0.016091;
1.201046;1.021833;1.068537;0.076260;0.016091;
1.346438;1.021835;1.068578;0.076260;0.016091;
1.346438;1.021835;1.068578;0.076260;0.016091;
1.346439;1.021835;1.068578;0.076260;0.016091;
1.346440;1.021835;1.068578;0.076260;0.016091;
1.346442;1.021835;1.068578;0.076260;0.016091;
1.346446;1.021835;1.068578;0.076260;0.016091;
1.346454;1.021835;1.068578;0.076260;0.016091;
1.346470;1.021835;1.068578;0.076260;0.016091;
1.346502;1.021835;1.068578;0.076260;0.016091;
1.346566;1.021835;1.068578;0.076260;0.016091;
1.346694;1.021835;1.068578;0.076260;0.016091;
1.346950;1.021835;1.068578;0.076260;0.016091;
1.347462;1.021835;1.068578;0.076260;0.016091;
1.348486;1.021835;1.068578;0.076260;0.016091;
1.350534;1.021835;1.068579;0.076260;0.016091;
1.354630;1.021835;1.068579;0.076260;0.016091;
1.356174;1.021835;1.068580;0.076260;0.016091;
1.356174;1.021835;1.068580;0.076260;0.016091;
1.356174;1.021835;1.068580;0.076260;0.016091;
1.362822;1.021834;1.068581;0.076260;0.016091;
1.379206;1.021834;1.068583;0.076260;0.016091;
1.411974;1.021833;1.068587;0.076260;0.016091;
1.477510;1.021832;1.068595;0.076259;0.016091;
1.608582;1.021828;1.068607;0.076259;0.016091;
1.870726;1.021825;1.068622;0.076259;0.016091;
2.395014;1.021824;1.068636;0.076259;0.016091;
3.443590;1.021823;1.068640;0.076258;0.016091;
5.540742;1.021821;1.068634;0.076258;0.016091;
9.735046;1.021821;1.068633;0.076258;0.016091;
18.123654;1.021821;1.068633;0.076258;0.016091;
19.999996;1.021821;1.068633;0.076258;0.016091;
19.999996;0.980620;1.050061;0.071693;0.762218;
19.999997;0.980619;1.050061;0.071693;0.762164;
19.999998;0.980619;1.050061;0.071693;0.762164;
20.000000;0.980619;1.050061;0.071693;0.762167;
20.000004;0.980619;1.050061;0.071693;0.762164;
20.000012;0.980619;1.050060;0.071693;0.762163;
20.000028;0.980618;1.050059;0.071693;0.762162;
20.000060;0.980617;1.050057;0.071693;0.762160;
20.000124;0.980616;1.050052;0.071692;0.762157;
20.000252;0.980612;1.050043;0.071692;0.762149;
20.000508;0.980604;1.050025;0.071691;0.762134;
20.001020;0.980589;1.049989;0.071689;0.762105;
20.002044;0.980560;1.049920;0.071686;0.762048;
20.004092;0.980504;1.049793;0.071680;0.761941;
20.004413;0.980496;1.049775;0.071679;0.761925;
20.004413;0.980496;1.049775;0.071679;0.761925;
20.004413;0.980496;1.049775;0.071679;0.761925;
20.004554;0.980492;1.049767;0.071679;0.761918;
20.004554;0.980492;1.049767;0.071679;0.761918;
20.004555;0.980492;1.049767;0.071679;0.761917;
20.004556;0.980492;1.049766;0.071679;0.761917;
20.004558;0.980492;1.049766;0.071679;0.761917;
20.004562;0.980492;1.049766;0.071679;0.761917;
20.004570;0.980492;1.049766;0.071679;0.761917;
20.004586;0.980492;1.049765;0.071679;0.761916;
20.004618;0.980491;1.049763;0.071679;0.761914;
20.004682;0.980489;1.049759;0.071678;0.761911;
20.004810;0.980486;1.049752;0.071678;0.761905;
20.005066;0.980480;1.049738;0.071677;0.761892;
20.005578;0.980467;1.049710;0.071676;0.761868;
20.006602;0.980442;1.049656;0.071673;0.761820;
20.008650;0.980396;1.049558;0.071668;0.761730;
20.012746;0.980314;1.049396;0.071659;0.761571;
20.014889;0.980276;1.049325;0.071655;0.761498;
20.014889;0.980276;1.049325;0.071655;0.761498;
