(-2.64791e-07,-6.76508e-08)
(-0.941407,0.0978104)
(-2.19961,-0.0313514)
(-2.71044,0.0200639)
(2.68489,5.78805)
(-2.72649,-6.48445)
(-0.0615124,13.1355)
(-0.460688,-13.1896)
(-14.589,-0.0080591)
(-16.9728,-0.0208273)
(-36.8907,-0.00724501)
(-46.4856,0.978743)
(-3.88288e-07,-8.8804e-07)
(-0.730394,-0.102884)
(-0.879289,0.171727)
(-1.63499,-0.447773)
(-1.93954,-0.139905)
(2.31889,0.571226)
(-3.13456,-0.0579575)
(-0.791547,5.20997)
(-0.970319,-6.47808)
(-1.06328,8.56081)
(-9.67396,-2.33003)
(10.3907,-1.67428)
(-14.8072,0.0763881)
(-16.7333,0.0731971)
(-19.9123,-0.0267621)
(-24.4169,-0.264787)
(-31.6457,2.71191)
(-47.6488,-4.97626)
(-0.594972,-0.0011027)
(-0.653156,-0.0948616)
(-1.2673,0.0303022)
(-1.68078,-0.0575999)
(0.260433,-1.93404)
(-1.96073,-0.0262855)
(0.184459,2.03932)
(-2.5542,-0.0639589)
(-0.853925,3.19595)
(-0.824652,-3.22529)
(-0.740612,6.46243)
(-0.734328,-6.47189)
(-14.4928,0.0891274)
(-14.5418,-0.0227299)
(-16.2249,0.0013252)
(-16.9599,0.00662986)
(-19.8521,0.00681759)
(-24.1001,0.0362743)
(-3.88288e-07,-8.8804e-07)
(-0.730394,-0.102884)
(-0.879289,0.171727)
(-1.63499,-0.447773)
(-1.93954,-0.139905)
(2.31889,0.571226)
(-3.13456,-0.0579575)
(-0.791547,5.20997)
(-0.970319,-6.47808)
(-1.06328,8.56081)
(-9.67396,-2.33003)
(10.3907,-1.67428)
(-14.8072,0.0763881)
(-16.7333,0.0731971)
(-19.9123,-0.0267621)
(-24.4169,-0.264787)
(-31.6457,2.71191)
(-47.6488,-4.97626)
(-3.70188e-07,8.48349e-08)
(-0.604657,0.476343)
(-0.775887,-0.633874)
(-1.94049,0.188239)
(-1.94096,-0.224527)
(-2.10186,0.00602045)
(-2.55386,0.0481012)
(-1.1491,5.45894)
(-0.921288,-5.78109)
(0.647843,8.18361)
(-10.4213,0.000177178)
(-3.30248,-10.959)
(-14.5611,0.118832)
(-17.0628,0.942576)
(16.326,-7.34324)
(-19.8613,-0.30088)
(-20.4047,-2.06641)
(-18.7321,11.8519)
