           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
  (0.00958326,0)    (0.0012308,0)   (0.00693992,0)  (-0.00208156,0)  (0.000394597,0)   (0.00768295,0)   (0.00897674,0) (-0.000224636,0)  (-0.00108215,0)   (-0.0016241,0) (-9.25473e-06,0)   (0.00768295,0)   (0.00357648,0)    (0.0400221,0)            (0,0)  (-0.00136081,0)   (0.00525358,0)   (0.00768295,0)
 (-0.00958326,0)   (-0.0012308,0)  (-0.00693992,0)   (0.00208156,0) (-0.000394597,0)  (-0.00768295,0)  (-0.00897674,0)  (0.000224636,0)   (0.00108215,0)    (0.0016241,0)  (9.25473e-06,0)  (-0.00768295,0)  (-0.00357648,0)   (-0.0400221,0)            (0,0)   (0.00136081,0)  (-0.00525358,0)  (-0.00768295,0)
 (-0.00217622,0)  (0.000556145,0)   (0.00313585,0)  (0.000905056,0)  (0.000109036,0)   (-0.0507532,0)  (-0.00186798,0)   (0.00446677,0)     (0.021518,0)  (0.000554874,0)  (0.000460367,0)   (-0.0507532,0)  (-0.00162875,0)   (-0.0105514,0)            (0,0)   (0.00056374,0)  (-0.00138505,0)   (-0.0507532,0)
  (0.00217622,0) (-0.000556145,0)  (-0.00313585,0) (-0.000905056,0) (-0.000109036,0)    (0.0507532,0)   (0.00186798,0)  (-0.00446677,0)    (-0.021518,0) (-0.000554874,0) (-0.000460367,0)    (0.0507532,0)   (0.00162875,0)    (0.0105514,0)            (0,0)  (-0.00056374,0)   (0.00138505,0)    (0.0507532,0)
   (0.0680569,0)    (0.0547828,0)     (0.308896,0)   (0.00903974,0)    (0.0137471,0)      (3.92715,0)    (0.0199683,0)     (0.225466,0)      (1.08615,0)   (0.00747654,0)    (0.0234164,0)      (3.92715,0)   (-0.0216025,0)     (0.294471,0)            (0,0)   (0.00430827,0)    (0.0386544,0)      (3.92715,0)
  (-0.0680569,0)   (-0.0547828,0)    (-0.308896,0)  (-0.00903974,0)   (-0.0137471,0)     (-3.92715,0)   (-0.0199683,0)    (-0.225466,0)     (-1.08615,0)  (-0.00747654,0)   (-0.0234164,0)     (-3.92715,0)    (0.0216025,0)    (-0.294471,0)            (0,0)  (-0.00430827,0)   (-0.0386544,0)     (-3.92715,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
