   (0.00345418,-0.00131254)       (0.0257068,-0.004486)     (0.0131339,-0.00332574)      (-0.069455,-0.0038663)         (-1.07691,0.383845)    (-0.0141323,-0.00911297)   (0.00100509,-2.13503e-05)     (0.00447112,-0.0023899)      (0.0104507,-0.0006548)    (-0.0395865,-0.00164318)      (-0.727347,-0.0571173)     (0.0110177,-0.00365143)   (6.06791e-05,4.10178e-05)     (0.00164069,0.00772817)    (-0.0510564,7.62911e-08)    (-0.0116664,0.000616932)         (1.49893,-0.179085)      (0.00762828,0.0185849)
   (-0.00734469,0.00316882)     (-0.0137991,0.00533324)    (-0.00567141,0.00606047)      (0.0297443,0.00412103)         (-0.3137,-0.686406)      (-0.0161021,0.0140591) (-0.000394387,-0.000198046)    (-0.00839518,0.00631132)     (0.0174943,0.000848036)      (0.0175895,0.00201003)        (-0.621733,0.875978)      (0.00598059,0.0119528) (-0.000646962,-0.000104649)    (7.56567e-05,-0.0183417)    (0.0248177,-1.76739e-07)     (0.0126607,-0.00182128)          (0.897626,0.46409)     (0.00410952,-0.0435382)
    (-0.0209027,0.00934486)       (0.0303945,0.0197048)     (-0.00999784,0.0193438)       (-0.136848,0.0138267)         (-4.59132,-1.47312)       (-0.0835807,0.050466)    (0.00692051,-0.00071023)     (0.000318012,0.0136521)      (0.111083,0.000706377)     (-0.0316079,0.00318394)          (-4.32468,3.02107)       (0.0339838,0.0301616)  (-0.00500939,-0.000347416)     (0.00452929,-0.0600875)   (-0.0119099,-5.75973e-07)      (0.148532,-0.00629218)           (7.21968,1.53741)       (0.0353091,-0.142233)
     (0.0947175,-0.0403104)          (0.200063,0.12159)     (-0.146627,-0.00823431)        (-0.41993,0.0819718)          (-20.1684,16.0889)         (0.362709,0.165154)       (0.061668,0.00450294)       (-0.172139,-0.197488)      (-0.234812,-0.0356803)       (-0.23461,-0.0478554)          (20.6815,-15.6148)       (-0.435719,-0.320938)     (0.0153745,0.000600077)      (-0.0417696,0.0979841)     (-0.295258,9.26359e-07)     (-0.0799746,0.00955235)          (2.26432,-2.86057)        (-0.0057693,0.23024)
 (0.000657102,-0.000281793)  (-0.00318003,-0.000806488)  (0.000687838,-0.000660314)   (0.00993658,-0.000574918)        (0.154225,0.0387217)    (0.00204556,-0.00189586)    (-0.00046882,1.8117e-05)     (-0.00206,-0.000296369)   (-0.00471566,-1.5655e-06)   (0.00167936,-8.56386e-05)       (0.171936,-0.0826772)  (-0.00081599,-0.000730142)   (0.000349376,1.11451e-05)   (-0.000344241,0.00194335)  (-0.000212551,1.86765e-08)    (-0.0128043,0.000200922)      (-0.204227,-0.0490974)    (-0.00107628,0.00460646)
  (0.00240153,-0.000433118)      (0.0225482,-0.0450419)     (0.00851347,-0.0254378)    (-0.0446017,-0.00845076)         (-0.755186,1.16315)  (-0.00444344,-0.000780779)    (0.000988498,0.00149364)     (0.00263895,0.00239204)    (0.00609922,-0.00964408)      (-0.0253056,0.0147336)      (-0.261098,-0.0121803)    (0.00278407,-0.00664251)  (-0.000127121,0.000488524)   (0.00122234,-0.000942812)     (-0.0292292,0.00768303)    (0.00208017,-0.00197517)        (0.817959,-0.461319)     (0.00350852,0.00940483)
   (0.00242734,-0.00154226)       (0.0223799,0.0421122)       (0.0084813,0.0218164)     (-0.0445145,0.00558445)       (-0.839429,-0.520373)   (-0.00503009,-0.00636903)    (0.00101447,-0.00145049)     (0.00326518,-0.0078282)     (0.00635979,0.00842363)      (-0.0248602,-0.017178)       (-0.343374,-0.275702)    (0.00334393,-0.00193623) (-0.000122991,-0.000436614)      (0.00178466,0.0105065)    (-0.0292292,-0.00768293)     (0.00219337,0.00276245)         (0.799709,0.231145)      (0.00476643,0.0135171)
        (-0.0110012,0.0109)      (-0.0522942,0.0402446)      (-0.0152895,0.0198695)       (0.194853,-0.0598596)          (1.85476,-2.92238)       (0.0220512,0.0208218)    (-0.00505095,0.00204784)     (-0.00553889,0.0129311)     (-0.0085664,0.00467198)        (0.10227,-0.0346987)          (1.46699,0.812521)     (-6.1687e-05,0.0189547)  (-0.000866816,0.000261545)      (-0.010773,-0.0261814)       (0.133504,-0.0507534)      (0.0279486,-0.0135497)           (-2.90273,1.8379)      (-0.0403516,-0.059043)
   (-0.0156528,-0.00047752)      (-0.0547125,-0.021811)    (-0.0221993,0.000332272)        (0.191761,0.0765336)         (3.37698,-0.159876)       (0.0126076,0.0231762)   (-0.00483243,-0.00232627)        (-0.0200697,0.01269)    (-0.0114986,0.000755421)       (0.0969353,0.0461351)         (0.461587,0.895715)       (-0.0236146,0.022903) (-0.000752091,-0.000558368)     (0.00986267,-0.0279454)        (0.133504,0.0507529)      (0.0297454,0.00887172)        (-3.41652,-0.524435)     (0.00890849,-0.0704199)
       (-0.429094,-0.19065)        (-0.993431,-1.21047)        (0.135754,-0.495291)           (1.49323,5.61347)          (90.0273,-4.90168)          (-1.9386,0.668969)       (-0.199068,-0.100033)        (0.293961,-0.133821)        (0.617207,-0.405018)          (0.818891,2.91101)          (-61.0437,105.179)       (0.942802,-0.0399116)      (-0.0453056,-0.016224)        (0.933858,-0.361157)           (1.28982,3.92715)         (0.472393,0.984221)          (-36.807,-85.2575)          (1.84345,-1.34585)
       (-0.193865,0.449012)       (0.00357782,0.596015)         (0.802352,0.607791)          (2.30542,-6.01291)          (34.8392,-94.9191)        (0.0726085,-1.44209)       (-0.195804,0.0742119)           (0.56436,1.31715)         (0.689611,0.621997)          (1.05563,-2.60587)         (-47.1782,-13.1513)             (1.40137,1.962)      (-0.0537629,0.0119252)       (-0.637672,-0.359927)          (1.28981,-3.92715)         (0.338171,-1.05232)        (0.00433976,105.419)        (-1.92551,-0.356311)
    (0.0225269,-0.00942675)       (0.100139,0.00756832)     (-0.018891,-0.00949523)      (-0.345169,0.00368205)          (-3.71335,3.18836)      (0.0442328,0.00179303)     (0.0170196,0.000734545)      (0.0497844,-0.0347627)    (0.00436012,-0.00635981)      (-0.115381,-0.0100922)         (0.687246,-2.84229)      (-0.043455,-0.0573682)   (-0.00220291,0.000206892)     (-0.00154624,0.0359412)     (-0.122253,3.46146e-07)       (0.167738,0.00335512)         (1.58122,-0.941646)       (0.0081457,0.0852909)
 (0.000783197,-0.000417674)    (-0.0228726,1.10347e-05) (-0.000613504,-0.000546408)     (0.0850808,0.000281075)       (0.797999,0.00841688)     (0.0135306,-0.00105018)   (-0.00268056,8.00371e-05)   (-0.0180039,-0.000581797)     (-0.0244777,0.00014645)     (0.0240372,0.000280986)         (1.15422,-0.279483)   (-0.00989058,-0.00178533)     (0.0017644,1.75304e-05)    (-0.00201478,0.00278112)     (0.0204792,2.57914e-08)    (-0.0627634,0.000364608)        (-1.2524,-0.0787412)    (-0.00685325,0.00646885)
        (-0.012966,0.00497)      (-0.0325651,0.0081119)      (-0.007063,0.00938769)       (0.187311,0.00742868)          (2.23441,-1.48189)         (0.014785,0.019813)  (-0.00554498,-0.000145899)      (-0.0131598,0.0125475)    (-0.00561393,0.00263156)      (0.0883379,0.00545162)         (0.812427,0.849671)     (-0.00892119,0.0205094)  (-0.00101038,-0.000139765)     (0.00216388,-0.0254393)     (0.124182,-2.48493e-07)     (0.0288091,-0.00220475)         (-2.92487,0.619201)     (-0.0143226,-0.0608291)
     (-0.007328,0.00353166)       (0.0456559,0.0247239)      (-0.0226112,0.0136036)        (-0.18292,0.0169112)         (-5.41827,0.311759)      (-0.0368516,0.0513342)    (0.0119871,-0.000171074)   (-0.00457922,-0.00677425)     (0.0725142,-0.00263661)    (-0.0546092,-0.00196241)         (-1.97372,0.998664)   (-0.00762595,-0.00477173)   (-0.00316574,-0.00020966)   (-3.77279e-05,-0.0366236)   (-0.0452222,-3.51691e-07)      (0.132859,-0.00393617)          (6.11565,0.910806)      (0.0287848,-0.0867749)
    (0.0237541,-0.00923869)     (0.0548317,-0.00639218)     (0.00162496,-0.0143012)     (-0.306977,-0.00727819)          (-4.34747,2.96493)     (-0.00735556,-0.021627)     (0.0115208,0.000415971)        (0.01213,-0.0278978)   (-0.00115136,-0.00562562)      (-0.144404,-0.0104265)        (-0.350705,-1.95492)    (-0.00599797,-0.0453753)    (0.00223432,0.000233798)     (-0.00572293,0.0420942)     (-0.202489,4.09961e-07)     (-0.0466159,0.00367765)          (4.68104,-1.04511)        (0.0220911,0.100493)
   (-0.00598879,0.00245195)   (-0.00687722,5.41945e-05)     (0.00246042,0.00320551)     (0.0387855,0.000456737)        (0.590036,-0.743635)     (-0.0102318,0.00323881)   (-0.00214766,-0.00017289)     (0.00119684,0.00774565)       (0.0112619,0.0013656)      (0.0202599,0.00234624)         (-0.568273,0.70109)       (0.0101482,0.0130908) (-0.000883418,-6.20418e-05)     (0.00194615,-0.0108503)    (0.0304822,-1.04635e-07)     (0.0171191,-0.00102948)        (-0.197042,0.279304)   (-0.000561943,-0.0257665)
 (-4.50699e-16,1.89698e-16)  (5.49905e-16,-3.49608e-16)   (7.06872e-16,1.19841e-16) (-1.05015e-15,-2.35796e-16)  (3.74216e-14,-6.43185e-14) (-1.77901e-15,-3.60633e-16) (-1.39393e-16,-2.00234e-17)   (1.22188e-15,7.74323e-16)   (1.95126e-15,1.29842e-16)    (1.44171e-16,1.8324e-16)  (-1.17629e-13,7.19146e-14)   (1.87885e-15,1.30118e-15) (-1.41136e-16,-3.84568e-18)  (3.00413e-16,-6.42018e-16)      (8.20508e-16,-6.1e-21)  (3.24561e-15,-6.53571e-17)   (3.44706e-14,1.77648e-14)  (2.60272e-16,-1.51258e-15)
