    (-15.1911,0)     (0.225192,0)     (0.540656,0)       (10.112,0)     (-1.77363,0)     (-0.59787,0)     (0.629138,0)    (0.0834594,0)     (0.169564,0)     (0.449273,0)      (1.18489,0)     (0.307623,0)   (0.00972822,0) (-0.000511805,0)  (1.55506e-07,0)     (0.044131,0)    (0.0651021,0)   (-0.0135466,0)
   (0.0119735,0)     (-4.92306,0)      (4.33545,0)    (0.0189266,0)    (0.0450403,0)    (-0.293594,0)   (-0.0859048,0)    (0.0669028,0)     (0.134546,0)  (-0.00463513,0)   (-0.0601205,0)     (0.253716,0)   (-0.0061706,0)   (0.00322286,0)  (4.64513e-08,0)  (-0.00320396,0)  (-0.00742477,0)    (0.0360223,0)
   (0.0715649,0)      (10.1412,0)     (-13.4328,0)     (0.107259,0)     (0.254781,0)     (-1.80729,0)    (-0.428938,0)     (0.386751,0)     (0.804485,0)   (-0.0356309,0)    (-0.337919,0)      (1.27875,0)    (-0.130873,0)   (0.00768776,0)  (2.61918e-07,0)    (0.0107254,0)   (-0.0432412,0)    (0.0512677,0)
   (-0.392092,0)     (0.202788,0)     (0.656841,0)     (-1.59063,0)     (-2.34014,0)    (-0.304897,0)   (-0.0863688,0)     (0.233946,0)      (1.09581,0)     (-0.14343,0)    (-0.343867,0)    (-0.278569,0)  (-0.00915532,0)     (0.240112,0) (-2.00767e-08,0)   (-0.0149568,0)   (0.00897243,0)    (-0.300102,0)
  (-0.0261703,0)   (-0.0194193,0)    (-0.047676,0)   (-0.0150825,0)    (-0.442625,0)   (-0.0817245,0)    (0.0106009,0)    (0.0169147,0)    (0.0343788,0) (-0.000683941,0)  (-0.00162683,0)    (0.0580181,0)    (0.0103376,0)   (0.00130312,0)  (1.26976e-08,0)  (-0.00379276,0)  (-0.00100071,0)   (0.00285026,0)
 (-0.00426972,0) (-2.22614e-05,0) (-0.000125522,0)   (0.00119963,0)      (225.909,0)   (-0.0292292,0)  (-0.00612527,0)  (0.000980184,0)    (0.0047219,0)   (0.00114878,0)     (-81.6186,0)   (-0.0292292,0)  (-0.00794684,0)   (-0.0110929,0)            (0,0)   (0.00245594,0)     (-18.2199,0)   (-0.0292292,0)
      (1.0523,0)    (-0.217411,0)    (-0.524378,0)     (0.497859,0)      (2.00997,0)    (-0.401432,0)     (-19.6558,0)     (0.159322,0)     (0.332977,0)      (14.1865,0)     (-3.48301,0)     (0.144856,0)    (0.0193585,0)   (0.00789142,0)   (1.9151e-07,0)     (0.113051,0)     (0.168602,0)    (0.0169655,0)
    (0.137637,0)      (0.12493,0)     (0.300359,0)    (0.0621477,0)     (0.070771,0)     (0.642653,0)   (-0.0519569,0)     (-7.07944,0)      (5.86935,0)   (-0.0385757,0)   (-0.0519277,0)    (-0.729022,0)   (0.00251074,0)    (0.0289874,0)  (1.58169e-07,0)  (-0.00935391,0)   (-0.0104343,0)     (0.171657,0)
    (0.650873,0)     (0.602922,0)      (1.45308,0)     (0.303404,0)     (0.341059,0)      (2.58626,0)    (-0.260001,0)      (13.6726,0)      (-19.429,0)    (-0.183473,0)    (-0.248868,0)      (-4.0216,0)  (-0.00495557,0)    (0.0888405,0)  (7.61955e-07,0)   (-0.0395947,0)   (-0.0569347,0)     (0.317297,0)
   (-0.439609,0)     (-0.10611,0)    (-0.744194,0)   (-0.0917227,0)    (-0.396415,0)      (1.38169,0)     (-0.45797,0)    (-0.619174,0)     (-3.01093,0)     (-1.42042,0)     (-1.79651,0)      (1.21621,0)   (-0.0415137,0)    (-0.840405,0) (-2.66513e-08,0)  (-0.00323942,0)    (-0.141127,0)      (1.28339,0)
    (-0.24075,0)    (-0.138672,0)    (-0.822719,0)   (0.00175497,0)    (-0.028211,0)      (1.34204,0)    (-0.267708,0)    (-0.655438,0)     (-3.08611,0)   (0.00784836,0)    (-0.436465,0)      (1.20063,0)   (-0.0366713,0)    (-0.836107,0)  (1.67048e-08,0)    (0.0163741,0)    (-0.110968,0)      (1.29385,0)
  (0.00475616,0)    (0.0106602,0)     (0.060108,0)   (0.00416647,0)     (-88.2477,0)    (-0.122253,0)    (0.0423346,0)    (0.0303559,0)     (0.146235,0)   (-0.0061176,0)      (232.544,0)    (-0.122253,0)    (-0.165323,0)    (0.0470147,0)            (0,0)     (0.049066,0)     (-18.2123,0)    (-0.122253,0)
    (0.198366,0)   (-0.0474365,0)    (-0.117396,0)    (0.0815472,0)      (0.35959,0)   (-0.0760292,0)     (0.299441,0)   (-0.0174609,0)   (-0.0344446,0)     (0.179432,0)     (0.504737,0)   (-0.0108738,0)     (-10.6546,0)    (0.0403039,0)  (3.88352e-07,0)      (7.74237,0)     (-1.83024,0)     (0.114154,0)
   (0.0737893,0)    (0.0511483,0)       (0.1202,0)    (0.0345589,0)    (0.0595335,0)     (0.343396,0)    (0.0314714,0)    (0.0896712,0)     (0.175412,0)    (0.0205596,0)     (0.033024,0)     (0.443864,0)  (-0.00668002,0)     (-2.26101,0)  (1.09709e-05,0)   (-0.0381161,0)   (-0.0581616,0)    (-0.918775,0)
  (-0.0694039,0)   (0.00686085,0)    (0.0386852,0)    (0.0232368,0)  (0.000892069,0)   (-0.0452224,0)    (-0.226458,0)    (0.0195087,0)    (0.0939805,0)    (0.0416507,0)   (0.00166913,0)   (-0.0452224,0)    (-0.119321,0)    (0.0118265,0)            (0,0)    (0.0355744,0)   (0.00155243,0)   (-0.0452224,0)
  (-0.0516788,0)    (0.0175306,0)    (0.0552213,0)   (-0.0250055,0)     (-0.10693,0)    (-0.175245,0)   (-0.0821891,0)    (0.0207747,0)    (0.0871059,0)   (-0.0543338,0)    (-0.149395,0)    (-0.195451,0)    (-0.254002,0)    (0.0138595,0) (-8.45225e-08,0)     (-1.85308,0)     (-2.47001,0)    (-0.222878,0)
  (0.00159311,0)   (0.00556801,0)   (0.00931611,0)   (0.00623911,0)    (0.0074562,0)    (0.0592579,0)    (-0.016264,0)   (0.00656908,0)  (-0.00203309,0)   (0.00610844,0)   (0.00376353,0)    (0.0724461,0)   (-0.0086299,0)   (-0.0657774,0) (-5.67574e-07,0)  (-0.00262181,0)     (-0.83849,0)    (-0.106424,0)
(-1.06662e-15,0) (-1.52841e-16,0) (-8.61799e-16,0)  (2.23477e-16,0)     (-88.2503,0)  (8.20509e-16,0) (-2.01327e-15,0) (-8.00321e-16,0) (-3.85543e-15,0)  (3.22498e-16,0)     (-81.6187,0)  (8.20509e-16,0) (-2.46585e-15,0) (-1.33345e-15,0)            (0,0)  (7.46679e-16,0)      (295.941,0)  (8.20509e-16,0)
