"time","B1.UPu","B2.UPu","B10_G1.PGenPu","B10_G1.QGenPu","B10.UPu","B20.UPu","B50.UPu","B55_G1.PGenPu","B55_G1.QGenPu","B100.UPu","B100_G1.PGenPu","B100_G1.QGenPu"
0,0.9550039908421827,0.9705053512440133,4.494899103317097,0.8211535707866651,1.048425189750004,0.9501600484639202,0.9985538265387025,-1.561251128379126e-17,0.09359168613881029,1.016462915547863,2.514899103317088,1.51702619235851
10,0.9550036444818594,0.9704937528871354,4.498787936869212,0.8219080405528066,1.048424282523317,0.9497768212668283,0.998524617511958,0,0.09373928112012553,1.016455759260166,2.518787936885681,1.522927940580851
20,0.9550035151692681,0.9704894149890412,4.500292411796375,0.822200168083402,1.04842393124956,0.9496251821947501,0.9985136285022779,0,0.09379578993126303,1.016452939972423,2.520292411803921,1.525253036630721
30,0.9550034666801961,0.9704877853217118,4.500875956837456,0.8223135078275083,1.048423794963773,0.9495654271425713,0.998509481871663,0,0.0938174454733874,1.016451829775402,2.520875956790553,1.526168656938807
40,0.9550034486830415,0.9704871787116042,4.501100419101007,0.8223571065106481,1.048423742537704,0.9495421380258393,0.9985079320630884,0,0.09382566351155734,1.016451396638196,2.52110041901759,1.526525902468524
50,0.9550034419121222,0.9704869522865137,4.501187013115908,0.8223739267313748,1.048423722310676,0.9495330423798986,0.9985073512998555,0,0.09382879008835612,1.016451227225422,2.521187013115438,1.526665610561686
60,0.9550034394473557,0.9704868676569964,4.501220460711128,0.8223804223956709,1.048423714498339,0.9495295003268768,0.9985071333412272,0,0.09382997982617122,1.016451161046389,2.521220460661382,1.526720216556941
70,0.9550034384445195,0.970486835892186,4.50123344451441,0.8223829447528019,1.048423711467465,0.9495281029998439,0.9985070512095995,0,0.0938304356520407,1.016451134943702,2.52123344453218,1.526741716013366
80,0.955003438103727,0.9704868238531132,4.501238550987061,0.8223839361845557,1.048423710274709,0.9495275529155865,0.9985070199257424,0,0.09383061155373423,1.016451124600086,2.52123855098425,1.526750255479456
90,0.9550034379589427,0.9704868190331234,4.501240661308493,0.8223843459913444,1.048423709782055,0.9495273229100634,0.9985070073507778,0,0.09383068329349374,1.016451120270849,2.521240661337016,1.526753825323141
100,0.9550034379072085,0.9704868172222071,4.501241481872481,0.8223845052881673,1.04842370959039,0.9495272331601359,0.9985070026038531,0,0.0938307107197769,1.016451118573533,2.521241481873209,1.526755226277044
110,0.9550034379079461,0.9704868172439339,4.501241504357086,0.8223845096388235,1.048423709585159,0.9495272299890061,0.998507002635366,0,0.09383071097454672,1.016451118507341,2.521241504362437,1.526755280930821
120,0.9550034379082589,0.9704868172558767,4.501241516349539,0.8223845119600631,1.048423709582367,0.9495272282981116,0.9985070026530156,0,0.09383071110444906,1.016451118471912,2.521241516349868,1.526755310142819
130,0.9550034379084206,0.9704868172620935,4.501241522508164,0.822384513152088,1.048423709580932,0.949527227433399,0.9985070026622728,0,0.09383071116906988,1.016451118453719,2.521241522505736,1.526755325143353
140,0.955003437908518,0.9704868172648861,4.501241525260401,0.8223845136845288,1.048423709580292,0.9495272270519848,0.9985070026664365,0,0.09383071119674437,1.016451118445626,2.521241525258694,1.526755331827302
150,0.9550034379086155,0.9704868172676786,4.501241528012637,0.8223845142169696,1.048423709579652,0.9495272266705705,0.9985070026706003,0,0.09383071122441886,1.016451118437534,2.521241528011653,1.526755338511252
160,0.9550034379086365,0.9704868172683315,4.501241528681401,0.8223845143462727,1.048423709579497,0.9495272265787786,0.998507002671555,0,0.09383071123105928,1.016451118435577,2.52124152868069,1.526755340126844
170,0.9550034379086502,0.9704868172687837,4.501241529154882,0.8223845144377898,1.048423709579387,0.9495272265141328,0.9985070026722088,0,0.0938307112357282,1.016451118434195,2.521241529154401,1.52675534126738
180,0.9550034379086637,0.970486817269236,4.501241529628362,0.8223845145293069,1.048423709579277,0.9495272264494871,0.9985070026728627,0,0.0938307112403971,1.016451118432813,2.521241529628112,1.526755342407915
190,0.9550034379086775,0.9704868172696883,4.501241530101843,0.822384514620824,1.048423709579167,0.9495272263848413,0.9985070026735166,0,0.093830711245066,1.016451118431431,2.521241530101823,1.526755343548451
200,0.955003437908691,0.9704868172701406,4.501241530575323,0.8223845147123411,1.048423709579057,0.9495272263201956,0.9985070026741705,0,0.09383071124973492,1.016451118430049,2.521241530575534,1.526755344688986
210,0.9550034379086964,0.9704868172703163,4.501241530760777,0.8223845147482127,1.048423709579014,0.9495272262949551,0.9985070026744232,0,0.093830711251553,1.016451118429508,2.521241530761039,1.526755345135024
220,0.9550034379086976,0.9704868172703565,4.501241530805236,0.8223845147568444,1.048423709579003,0.9495272262890043,0.9985070026744794,0,0.09383071125197551,1.01645111842938,2.521241530805459,1.526755345241086
